#===============================================================================
## The subset V3 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 95 complexes in 19 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
3g0w    1.95     2009    9.52     Ki=0.3nM    40    0.96     508.0     0.40     S3    V3    H3
4mgd    1.90     2014    4.69     Kd=20.19uM  44    0.94     455.1     0.38     S3    V3    H3
2qe4    2.40     2007    7.96     Ki=11.0nM   44    0.90     487.6     0.30     S3    V3    H3
1qkt    2.20     2000    9.04     Kd=0.92nM   44    0.87     426.4     0.25     S3    V3    H3
2pog    1.84     2007    9.54     Ki=0.29nM   44    0.90     465.2     0.39     S3    V3    H3
2p15    1.94     2007   10.30     Kd=50pM     44    0.94     666.0     0.35     S3    V3    H3
1nc3    2.20     2003    5.00     Ki=10uM     46    0.95     364.0    -0.27     S3    V3    H2
1nc1    2.00     2003    6.12     Ki=0.75uM   46    0.94     403.6    -0.28     S3    V3    H2
1y6r    2.20     2005   10.11     Ki=77pM     46    0.94     420.8    -0.29     S3    V3    H2
4f2w    2.00     2013   11.30     Ki=5.0pM    46    0.95     430.4    -0.29     S3    V3    H2
4f3c    1.93     2013   11.82     Ki=1.5pM    46    0.91     469.4    -0.24     S3    V3    H2
3ozt    1.48     2011    4.13     Ki=74.9uM   51    0.79     432.8    -0.46     S2    V3    H1
3ozs    1.44     2011    5.33     Ki=4645nM   51    0.80     469.2    -0.45     S2    V3    H1
3oe5    1.52     2011    6.88     Ki=132nM    51    0.79     456.8    -0.43     S2    V3    H1
3oe4    1.49     2011    7.47     Ki=34nM     51    0.79     462.5    -0.44     S2    V3    H1
3nw9    1.65     2011    9.00     Ki=1nM      51    0.77     452.6    -0.50     S2    V3    H1
3lka    1.80     2010    2.82     Kd=1.5mM    56    0.79     266.6     0.03     S1    V3    H2
3ehy    1.90     2009    5.85     Ki=1.4uM    56    0.78     287.5    -0.03     S1    V3    H2
3tsk    2.00     2012    7.17     Kd=67nM     56    0.62     444.5    -0.13     S1    V3    H2
3nx7    1.80     2010    8.10     Kd=7.88nM   56    0.71     289.9    -0.11     S1    V3    H2
4gr0    1.50     2013    9.55     Ki=0.28nM   56    0.68     512.8    -0.24     S1    V3    H2
