,Datatype,Modeltype,Featuretype,Scoretype,Top1: # correct binding poses:,Top1: '%' correct binding poses:,Top2: # correct binding poses:,Top2: '%' correct binding poses:,Top3: # correct binding poses:,Top3: '%' correct binding poses:,Spearman correlation coefficient in rmsd range [0-2]:,90'%' confidence interval in rmsd range [0-2]:,Spearman correlation coefficient in rmsd range [0-3]:,90'%' confidence interval in rmsd range [0-3]:,Spearman correlation coefficient in rmsd range [0-4]:,90'%' confidence interval in rmsd range [0-4]:,Spearman correlation coefficient in rmsd range [0-5]:,90'%' confidence interval in rmsd range [0-5]:,Spearman correlation coefficient in rmsd range [0-6]:,90'%' confidence interval in rmsd range [0-6]:,Spearman correlation coefficient in rmsd range [0-7]:,90'%' confidence interval in rmsd range [0-7]:,Spearman correlation coefficient in rmsd range [0-8]:,90'%' confidence interval in rmsd range [0-8]:,Spearman correlation coefficient in rmsd range [0-9]:,90'%' confidence interval in rmsd range [0-9]:,Spearman correlation coefficient in rmsd range [0-10]:,90'%' confidence interval in rmsd range [0-10]:
15,all,DecisionTree,final,delta_G,137,48.1%,167,58.6%,178,62.5%,0.142,[-0.05~0.324],0.136,[-0.034~0.299],0.167,[0.003~0.322],0.182,[0.031~0.325],0.186,[0.044~0.321],0.185,[0.049~0.314],0.192,[0.058~0.319],0.187,[0.054~0.313],0.185,[0.054~0.31]
16,all,DecisionTree,final,Affinity_Data_Value,38,13.3%,72,25.3%,89,31.2%,-0.174,[-0.274~-0.07],-0.222,[-0.316~-0.123],-0.214,[-0.308~-0.116],-0.198,[-0.293~-0.099],-0.168,[-0.264~-0.069],-0.139,[-0.236~-0.039],-0.122,[-0.22~-0.022],-0.108,[-0.206~-0.008],-0.098,[-0.197~0.003]
17,all,DecisionTree,final,pKd_pKi_pIC50,89,31.2%,124,43.5%,148,51.9%,0.162,[0.044~0.276],0.178,[0.075~0.277],0.173,[0.072~0.271],0.150,[0.049~0.248],0.136,[0.035~0.234],0.117,[0.016~0.215],0.103,[0.002~0.202],0.088,[-0.013~0.187],0.078,[-0.023~0.177]
18,all,RandomForest,final,delta_G,36,12.6%,65,22.8%,88,30.9%,-0.136,[-0.234~-0.036],-0.188,[-0.283~-0.089],-0.180,[-0.276~-0.081],-0.153,[-0.25~-0.053],-0.128,[-0.226~-0.028],-0.087,[-0.186~0.014],-0.061,[-0.161~0.04],-0.041,[-0.141~0.06],-0.026,[-0.126~0.075]
19,all,RandomForest,final,Affinity_Data_Value,34,11.9%,54,18.9%,73,25.6%,-0.094,[-0.193~0.007],-0.156,[-0.253~-0.056],-0.150,[-0.247~-0.05],-0.140,[-0.237~-0.04],-0.133,[-0.23~-0.033],-0.106,[-0.204~-0.006],-0.096,[-0.195~0.005],-0.086,[-0.185~0.015],-0.074,[-0.173~0.027]
20,all,RandomForest,final,pKd_pKi_pIC50,42,14.7%,81,28.4%,102,35.8%,0.050,[-0.051~0.15],0.099,[-0.002~0.198],0.077,[-0.024~0.176],0.050,[-0.051~0.15],0.039,[-0.062~0.139],0.015,[-0.086~0.115],0.004,[-0.097~0.104],-0.008,[-0.108~0.093],-0.019,[-0.119~0.082]
21,ki,linearRegression,final,delta_G,23,8.1%,51,17.9%,73,25.6%,-0.560,[-0.626~-0.487],-0.587,[-0.649~-0.517],-0.554,[-0.62~-0.48],-0.514,[-0.584~-0.436],-0.481,[-0.555~-0.4],-0.443,[-0.52~-0.358],-0.417,[-0.497~-0.33],-0.391,[-0.473~-0.302],-0.371,[-0.455~-0.281]
22,ki,linearRegression,final,Affinity_Data_Value,21,7.4%,47,16.5%,71,24.9%,-0.554,[-0.62~-0.48],-0.584,[-0.647~-0.514],-0.551,[-0.617~-0.477],-0.509,[-0.58~-0.431],-0.475,[-0.549~-0.393],-0.435,[-0.513~-0.35],-0.407,[-0.488~-0.32],-0.380,[-0.463~-0.291],-0.360,[-0.444~-0.269]
23,ki,linearRegression,final,pKd_pKi_pIC50,212,74.4%,240,84.2%,255,89.5%,0.555,[0.481~0.621],0.585,[0.515~0.647],0.553,[0.479~0.619],0.514,[0.436~0.584],0.481,[0.4~0.555],0.443,[0.358~0.52],0.417,[0.33~0.497],0.391,[0.302~0.473],0.371,[0.281~0.455]
24,ki,Ridge,final,delta_G,28,9.8%,54,18.9%,76,26.7%,-0.559,[-0.625~-0.486],-0.587,[-0.649~-0.517],-0.555,[-0.621~-0.481],-0.515,[-0.585~-0.437],-0.483,[-0.556~-0.402],-0.445,[-0.522~-0.361],-0.418,[-0.498~-0.331],-0.393,[-0.475~-0.305],-0.372,[-0.455~-0.282]
25,ki,Ridge,final,Affinity_Data_Value,29,10.2%,54,18.9%,74,26.0%,-0.557,[-0.623~-0.483],-0.586,[-0.648~-0.516],-0.553,[-0.619~-0.479],-0.512,[-0.583~-0.434],-0.478,[-0.552~-0.397],-0.438,[-0.516~-0.353],-0.410,[-0.49~-0.323],-0.383,[-0.466~-0.294],-0.363,[-0.447~-0.272]
26,ki,Ridge,final,pKd_pKi_pIC50,216,75.8%,240,84.2%,255,89.5%,0.559,[0.486~0.625],0.587,[0.517~0.649],0.555,[0.481~0.621],0.515,[0.437~0.585],0.483,[0.402~0.556],0.445,[0.361~0.522],0.418,[0.331~0.498],0.393,[0.305~0.475],0.372,[0.282~0.455]
27,ki,Lasso,final,delta_G,29,10.2%,54,18.9%,76,26.7%,-0.559,[-0.625~-0.486],-0.586,[-0.648~-0.516],-0.553,[-0.619~-0.479],-0.513,[-0.583~-0.435],-0.481,[-0.555~-0.4],-0.442,[-0.519~-0.357],-0.415,[-0.495~-0.328],-0.389,[-0.471~-0.3],-0.369,[-0.453~-0.279]
28,ki,Lasso,final,Affinity_Data_Value,29,10.2%,54,18.9%,76,26.7%,-0.558,[-0.624~-0.484],-0.584,[-0.647~-0.514],-0.553,[-0.619~-0.479],-0.513,[-0.583~-0.435],-0.480,[-0.554~-0.399],-0.441,[-0.519~-0.356],-0.414,[-0.494~-0.327],-0.388,[-0.47~-0.299],-0.368,[-0.452~-0.278]
29,ki,Lasso,final,pKd_pKi_pIC50,217,76.1%,239,83.9%,257,90.2%,0.559,[0.486~0.625],0.587,[0.517~0.649],0.554,[0.48~0.62],0.514,[0.436~0.584],0.482,[0.401~0.556],0.444,[0.36~0.521],0.417,[0.33~0.497],0.391,[0.302~0.473],0.371,[0.281~0.455]
30,ki,ElasticNet,final,delta_G,28,9.8%,54,18.9%,76,26.7%,-0.559,[-0.625~-0.486],-0.588,[-0.65~-0.518],-0.555,[-0.621~-0.481],-0.515,[-0.585~-0.437],-0.483,[-0.556~-0.402],-0.445,[-0.522~-0.361],-0.419,[-0.499~-0.332],-0.393,[-0.475~-0.305],-0.372,[-0.455~-0.282]
31,ki,ElasticNet,final,Affinity_Data_Value,27,9.5%,55,19.3%,73,25.6%,-0.553,[-0.619~-0.479],-0.588,[-0.65~-0.518],-0.556,[-0.622~-0.482],-0.516,[-0.586~-0.438],-0.487,[-0.56~-0.406],-0.450,[-0.527~-0.366],-0.426,[-0.505~-0.34],-0.402,[-0.483~-0.314],-0.382,[-0.465~-0.293]
32,ki,ElasticNet,final,pKd_pKi_pIC50,217,76.1%,238,83.5%,256,89.8%,0.559,[0.486~0.625],0.587,[0.517~0.649],0.555,[0.481~0.621],0.514,[0.436~0.584],0.482,[0.401~0.556],0.444,[0.36~0.521],0.418,[0.331~0.498],0.392,[0.303~0.474],0.371,[0.281~0.455]
33,ki,SVR,final,delta_G,34,11.9%,60,21.1%,82,28.8%,0.089,[-0.017~0.193],0.072,[-0.031~0.174],0.065,[-0.037~0.166],0.058,[-0.044~0.158],0.075,[-0.026~0.175],0.092,[-0.009~0.191],0.097,[-0.004~0.196],0.097,[-0.004~0.196],0.104,[0.004~0.202]
34,ki,SVR,final,Affinity_Data_Value,29,10.2%,53,18.6%,76,26.7%,-0.555,[-0.621~-0.481],-0.586,[-0.648~-0.516],-0.554,[-0.62~-0.48],-0.514,[-0.584~-0.436],-0.482,[-0.556~-0.401],-0.445,[-0.522~-0.361],-0.418,[-0.498~-0.331],-0.392,[-0.474~-0.303],-0.372,[-0.455~-0.282]
35,ki,SVR,final,pKd_pKi_pIC50,63,22.1%,98,34.4%,119,41.8%,0.160,[0.056~0.261],0.145,[0.043~0.244],0.131,[0.03~0.23],0.122,[0.021~0.221],0.096,[-0.005~0.195],0.078,[-0.023~0.177],0.063,[-0.038~0.162],0.055,[-0.046~0.155],0.050,[-0.051~0.15]
36,ki,DecisionTree,final,delta_G,44,15.4%,64,22.5%,86,30.2%,-0.135,[-0.24~-0.027],-0.171,[-0.268~-0.07],-0.147,[-0.244~-0.047],-0.128,[-0.226~-0.027],-0.117,[-0.215~-0.016],-0.086,[-0.185~0.015],-0.066,[-0.166~0.035],-0.054,[-0.154~0.047],-0.039,[-0.139~0.062]
37,ki,DecisionTree,final,Affinity_Data_Value,71,24.9%,101,35.4%,122,42.8%,-0.076,[-0.189~0.039],-0.121,[-0.222~-0.018],-0.116,[-0.215~-0.014],-0.105,[-0.204~-0.004],-0.087,[-0.186~0.014],-0.073,[-0.172~0.028],-0.067,[-0.167~0.034],-0.053,[-0.153~0.048],-0.044,[-0.144~0.057]
38,ki,DecisionTree,final,pKd_pKi_pIC50,79,27.7%,110,38.6%,130,45.6%,0.089,[-0.026~0.201],0.087,[-0.016~0.188],0.067,[-0.035~0.167],0.056,[-0.045~0.156],0.060,[-0.041~0.16],0.042,[-0.059~0.142],0.039,[-0.062~0.139],0.030,[-0.071~0.13],0.024,[-0.077~0.124]
39,ki,RandomForest,final,delta_G,34,11.9%,55,19.3%,80,28.1%,-0.125,[-0.223~-0.024],-0.157,[-0.254~-0.057],-0.156,[-0.253~-0.056],-0.132,[-0.229~-0.032],-0.120,[-0.218~-0.02],-0.090,[-0.189~0.011],-0.075,[-0.174~0.026],-0.063,[-0.162~0.038],-0.049,[-0.149~0.052]
40,ki,RandomForest,final,Affinity_Data_Value,30,10.5%,43,15.1%,65,22.8%,-0.094,[-0.193~0.007],-0.155,[-0.252~-0.055],-0.141,[-0.238~-0.041],-0.122,[-0.22~-0.022],-0.111,[-0.209~-0.011],-0.084,[-0.183~0.017],-0.065,[-0.164~0.036],-0.050,[-0.15~0.051],-0.036,[-0.136~0.065]
41,ki,RandomForest,final,pKd_pKi_pIC50,49,17.2%,82,28.8%,106,37.2%,0.051,[-0.05~0.151],0.121,[0.021~0.219],0.110,[0.01~0.208],0.085,[-0.016~0.184],0.072,[-0.029~0.171],0.050,[-0.051~0.15],0.039,[-0.062~0.139],0.030,[-0.071~0.13],0.015,[-0.086~0.115]
42,kd,linearRegression,final,delta_G,26,9.1%,51,17.9%,70,24.6%,-0.543,[-0.61~-0.468],-0.572,[-0.636~-0.5],-0.542,[-0.609~-0.467],-0.506,[-0.577~-0.427],-0.474,[-0.548~-0.392],-0.436,[-0.514~-0.351],-0.409,[-0.489~-0.322],-0.382,[-0.465~-0.293],-0.362,[-0.446~-0.271]
43,kd,linearRegression,final,Affinity_Data_Value,27,9.5%,51,17.9%,76,26.7%,-0.541,[-0.609~-0.466],-0.567,[-0.632~-0.495],-0.534,[-0.602~-0.458],-0.498,[-0.57~-0.418],-0.467,[-0.542~-0.385],-0.429,[-0.508~-0.343],-0.403,[-0.484~-0.315],-0.380,[-0.463~-0.291],-0.361,[-0.445~-0.27]
44,kd,linearRegression,final,pKd_pKi_pIC50,200,70.2%,233,81.8%,250,87.7%,0.542,[0.467~0.61],0.569,[0.497~0.633],0.541,[0.466~0.608],0.504,[0.425~0.575],0.473,[0.391~0.547],0.434,[0.349~0.512],0.407,[0.32~0.488],0.379,[0.29~0.462],0.359,[0.268~0.444]
45,kd,Ridge,final,delta_G,30,10.5%,56,19.6%,75,26.3%,-0.563,[-0.628~-0.49],-0.590,[-0.652~-0.52],-0.557,[-0.623~-0.484],-0.516,[-0.586~-0.438],-0.483,[-0.556~-0.402],-0.443,[-0.52~-0.358],-0.415,[-0.495~-0.328],-0.389,[-0.471~-0.3],-0.368,[-0.452~-0.278]
46,kd,Ridge,final,Affinity_Data_Value,27,9.5%,52,18.2%,74,26.0%,-0.563,[-0.628~-0.49],-0.591,[-0.653~-0.521],-0.558,[-0.624~-0.485],-0.518,[-0.588~-0.44],-0.486,[-0.559~-0.405],-0.448,[-0.525~-0.364],-0.422,[-0.501~-0.336],-0.396,[-0.478~-0.308],-0.375,[-0.458~-0.285]
47,kd,Ridge,final,pKd_pKi_pIC50,221,77.5%,245,86.0%,257,90.2%,0.562,[0.489~0.627],0.589,[0.519~0.651],0.557,[0.484~0.623],0.516,[0.438~0.586],0.483,[0.402~0.556],0.443,[0.358~0.52],0.416,[0.329~0.496],0.390,[0.301~0.472],0.369,[0.279~0.453]
48,kd,Lasso,final,delta_G,29,10.2%,54,18.9%,76,26.7%,-0.562,[-0.627~-0.489],-0.588,[-0.65~-0.518],-0.555,[-0.621~-0.481],-0.515,[-0.585~-0.437],-0.482,[-0.556~-0.401],-0.443,[-0.52~-0.358],-0.416,[-0.496~-0.329],-0.390,[-0.472~-0.301],-0.369,[-0.453~-0.279]
49,kd,Lasso,final,Affinity_Data_Value,28,9.8%,54,18.9%,75,26.3%,-0.561,[-0.626~-0.488],-0.588,[-0.65~-0.518],-0.555,[-0.621~-0.481],-0.515,[-0.585~-0.437],-0.482,[-0.556~-0.401],-0.443,[-0.52~-0.358],-0.416,[-0.496~-0.329],-0.390,[-0.472~-0.301],-0.369,[-0.453~-0.279]
50,kd,Lasso,final,pKd_pKi_pIC50,218,76.5%,239,83.9%,255,89.5%,0.561,[0.488~0.626],0.587,[0.517~0.649],0.555,[0.481~0.621],0.515,[0.437~0.585],0.482,[0.401~0.556],0.443,[0.358~0.52],0.416,[0.329~0.496],0.390,[0.301~0.472],0.370,[0.28~0.454]
51,kd,ElasticNet,final,delta_G,29,10.2%,54,18.9%,76,26.7%,-0.560,[-0.626~-0.487],-0.588,[-0.65~-0.518],-0.556,[-0.622~-0.482],-0.515,[-0.585~-0.437],-0.482,[-0.556~-0.401],-0.443,[-0.52~-0.358],-0.416,[-0.496~-0.329],-0.390,[-0.472~-0.301],-0.370,[-0.454~-0.28]
52,kd,ElasticNet,final,Affinity_Data_Value,28,9.8%,52,18.2%,75,26.3%,-0.557,[-0.623~-0.483],-0.582,[-0.645~-0.511],-0.550,[-0.616~-0.476],-0.511,[-0.582~-0.433],-0.480,[-0.554~-0.399],-0.441,[-0.519~-0.356],-0.416,[-0.496~-0.329],-0.391,[-0.473~-0.302],-0.370,[-0.454~-0.28]
53,kd,ElasticNet,final,pKd_pKi_pIC50,218,76.5%,239,83.9%,255,89.5%,0.561,[0.488~0.626],0.587,[0.517~0.649],0.555,[0.481~0.621],0.515,[0.437~0.585],0.482,[0.401~0.556],0.443,[0.358~0.52],0.416,[0.329~0.496],0.390,[0.301~0.472],0.370,[0.28~0.454]
54,kd,SVR,final,delta_G,31,10.9%,65,22.8%,92,32.3%,0.336,[0.24~0.426],0.273,[0.175~0.365],0.256,[0.158~0.349],0.256,[0.159~0.348],0.253,[0.156~0.345],0.267,[0.171~0.358],0.271,[0.175~0.362],0.273,[0.177~0.364],0.276,[0.18~0.366]
55,kd,SVR,final,Affinity_Data_Value,28,9.8%,54,18.9%,74,26.0%,-0.567,[-0.632~-0.494],-0.595,[-0.656~-0.526],-0.562,[-0.627~-0.489],-0.522,[-0.591~-0.445],-0.490,[-0.563~-0.41],-0.452,[-0.529~-0.368],-0.426,[-0.505~-0.34],-0.400,[-0.481~-0.312],-0.379,[-0.462~-0.29]
56,kd,SVR,final,pKd_pKi_pIC50,29,10.2%,62,21.8%,73,25.6%,-0.319,[-0.41~-0.222],-0.256,[-0.349~-0.158],-0.243,[-0.336~-0.145],-0.243,[-0.336~-0.145],-0.240,[-0.333~-0.142],-0.257,[-0.349~-0.16],-0.262,[-0.353~-0.166],-0.264,[-0.355~-0.168],-0.269,[-0.36~-0.173]
57,kd,DecisionTree,final,delta_G,105,36.8%,135,47.4%,154,54.0%,0.062,[-0.059~0.181],0.086,[-0.018~0.189],0.061,[-0.042~0.163],0.052,[-0.05~0.153],0.050,[-0.051~0.15],0.037,[-0.064~0.138],0.029,[-0.072~0.13],0.022,[-0.079~0.123],0.019,[-0.082~0.12]
58,kd,DecisionTree,final,Affinity_Data_Value,67,23.5%,105,36.8%,122,42.8%,-0.049,[-0.172~0.076],-0.035,[-0.147~0.077],-0.048,[-0.158~0.063],-0.042,[-0.15~0.067],-0.048,[-0.155~0.061],-0.046,[-0.153~0.062],-0.037,[-0.144~0.071],-0.030,[-0.137~0.077],-0.029,[-0.136~0.078]
59,kd,DecisionTree,final,pKd_pKi_pIC50,144,50.5%,164,57.5%,177,62.1%,-0.280,[-0.611~0.135],-0.263,[-0.57~0.109],-0.184,[-0.472~0.139],-0.157,[-0.432~0.145],-0.147,[-0.424~0.155],-0.126,[-0.395~0.162],-0.125,[-0.39~0.159],-0.130,[-0.394~0.154],-0.132,[-0.396~0.152]
60,kd,RandomForest,final,delta_G,34,11.9%,60,21.1%,84,29.5%,-0.085,[-0.184~0.016],-0.145,[-0.242~-0.045],-0.158,[-0.254~-0.058],-0.138,[-0.235~-0.038],-0.123,[-0.221~-0.023],-0.084,[-0.183~0.017],-0.062,[-0.162~0.039],-0.041,[-0.141~0.06],-0.025,[-0.125~0.076]
61,kd,RandomForest,final,Affinity_Data_Value,36,12.6%,62,21.8%,85,29.8%,-0.066,[-0.166~0.035],-0.122,[-0.22~-0.022],-0.108,[-0.206~-0.008],-0.081,[-0.18~0.02],-0.069,[-0.168~0.032],-0.036,[-0.136~0.065],-0.023,[-0.123~0.078],-0.006,[-0.106~0.095],0.007,[-0.094~0.107]
62,kd,RandomForest,final,pKd_pKi_pIC50,47,16.5%,82,28.8%,108,37.9%,0.123,[0.022~0.221],0.166,[0.067~0.262],0.164,[0.065~0.26],0.139,[0.039~0.236],0.119,[0.019~0.217],0.083,[-0.018~0.182],0.061,[-0.04~0.161],0.045,[-0.056~0.145],0.034,[-0.067~0.134]
