## The subset S1 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 95 complexes in 19 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
4eo8    1.80     2012    8.15     Kd=7nM      15    0.63     267.2     0.30     S1    V2    H2
3gnw    2.39     2009    9.10     Kd=0.79nM   15    0.68     428.8    -0.26     S1    V2    H2
4jfs    2.00     2013    5.27     Ki=5.4uM    20    0.67     209.1    -0.25     S1    V1    H2
4j28    1.73     2013    5.70     Ki=2.0uM    20    0.66     183.8    -0.12     S1    V1    H2
2wvt    1.80     2010    6.12     Kd=755nM    20    0.87     216.1    -0.17     S1    V1    H2
2xii    1.80     2010    7.20     Kd=63.3nM   20    0.70     265.4    -0.17     S1    V1    H2
4pcs    1.77     2014    7.85     Ki=14nM     20    0.65     188.8    -0.25     S1    V1    H2
3gv9    1.80     2009    2.12     Ki=7.5mM    24    0.74     194.8    -0.20     S1    V1    H2
3gr2    1.80     2009    2.52     Ki=3mM      24    0.56     112.9    -0.22     S1    V1    H2
4kz6    1.68     2014    3.10     Ki=0.8mM    24    0.67     207.1    -0.09     S1    V1    H2
4jxs    1.90     2014    4.74     Ki=18uM     24    0.68     274.2    -0.24     S1    V1    H2
2r9w    1.80     2008    5.10     Ki=8uM      24    0.58     213.4    -0.31     S1    V1    H2
3fcq    1.75     2009    2.77     Ki=1.7mM    27    0.79     218.9    -0.35     S1    V2    H2
1z9g    1.70     2005    5.64     Ki=2.3uM    27    0.75     267.4    -0.21     S1    V2    H2
1qf1    2.00     1999    7.32     Ki=48nM     27    0.73     339.9    -0.22     S1    V2    H2
5tmn    1.60     1989    8.04     Ki=9.1nM    27    0.65     353.6    -0.19     S1    V2    H2
4tmn    1.70     1989   10.17     Ki=0.068nM  27    0.69     449.9    -0.24     S1    V2    H2
1bcu    2.00     1998    3.28     Kd=0.53mM   34    0.64     216.1    -0.22     S1    V2    H1
3bv9    1.80     2008    5.36     Ki=4.4uM    34    0.58     366.9    -0.25     S1    V2    H1
1oyt    1.67     2003    7.24     Ki=0.057uM  34    0.75     391.8    -0.20     S1    V2    H1
2zda    1.73     2008    8.40     Ki=4nM      34    0.75     394.6    -0.25     S1    V2    H1
3utu    1.55     2012   10.92     Ki=0.012nM  34    0.71     445.5    -0.40     S1    V2    H1
3kgp    2.35     2009    2.57     Ki=2.68mM   37    0.74     187.8    -0.11     S1    V1    H1
1c5z    1.85     2000    4.01     Ki=97uM     37    0.85     193.1    -0.14     S1    V1    H1
1o5b    1.85     2004    5.77     Ki=1.7uM    37    0.78     223.1    -0.24     S1    V1    H1
1owh    1.61     2003    7.40     Ki=40nM     37    0.64     240.0    -0.31     S1    V1    H1
1sqa    2.00     2004    9.21     Ki=0.62nM   37    0.61     277.2    -0.39     S1    V1    H1
3g2z    1.50     2009    2.36     Ki=4.4mM    42    0.52     117.0    -0.61     S1    V1    H1
3g31    1.70     2009    2.89     Ki=1.3mM    42    0.43      64.1    -0.68     S1    V1    H1
4de2    1.40     2012    4.12     Ki=76.0uM   42    0.64     227.2    -0.74     S1    V1    H1
4de3    1.44     2012    5.52     Ki=3.0uM    42    0.70     232.8    -0.80     S1    V1    H1
4de1    1.26     2012    5.96     Ki=1.1uM    42    0.70     228.0    -0.80     S1    V1    H1
2y5h    1.33     2011    5.79     Ki=1620nM   45    0.69     340.8    -0.17     S1    V2    H1
1lpg    2.00     2003    7.09     Ki=82nM     45    0.65     367.5    -0.46     S1    V2    H1
2xbv    1.66     2010    8.43     Kd=3.7nM    45    0.75     397.5    -0.34     S1    V2    H1
1z6e    1.80     2006    9.72     Ki=0.19nM   45    0.71     403.9    -0.42     S1    V2    H1
1mq6    2.10     2003   11.15     Ki=7pM      45    0.69     392.1    -0.42     S1    V2    H1
1uto    1.15     2004    2.27     Kd=5.32mM   47    0.73     181.0    -0.24     S1    V1    H3
4abg    1.52     2012    3.57     Kd=271uM    47    0.63     178.6    -0.14     S1    V1    H3
3gy4    1.55     2010    5.10     Kd=8uM      47    0.80     197.9    -0.08     S1    V1    H3
1k1i    2.20     2001    6.58     Kd=264nM    47    0.53     231.0    -0.09     S1    V1    H3
1o3f    1.55     2003    7.96     Ki=0.011uM  47    0.65     232.8     0.05     S1    V1    H3
2ymd    1.96     2012    3.16     Kd=693uM    50    0.95     279.9     0.76     S1    V2    H3
2wnc    2.20     2009    6.32     Kd=479nM    50    0.73     319.4     0.40     S1    V2    H3
2xys    1.91     2011    7.42     Ki=38nM     50    0.83     334.8     0.16     S1    V2    H3
2wn9    1.75     2009    8.52     Kd=3.0nM    50    0.69     261.8    -0.05     S1    V2    H3
2x00    2.40     2010   11.33     Kd=4.7pM    50    0.70     414.2     0.00     S1    V2    H3
4bkt    2.35     2013    3.62     Kd=240uM    54    0.57     123.8     0.12     S1    V1    H3
4w9c    2.20     2014    4.65     Kd=22.2uM   54    0.58     214.6     0.24     S1    V1    H3
4w9l    2.20     2014    5.02     Kd=9.52uM   54    0.59     278.2     0.04     S1    V1    H3
4w9i    2.40     2014    5.96     Kd=1.10uM   54    0.57     242.5     0.37     S1    V1    H3
4w9h    2.10     2014    6.73     Kd=0.185uM  54    0.61     274.5     0.16     S1    V1    H3
3lka    1.80     2010    2.82     Kd=1.5mM    56    0.79     266.6     0.03     S1    V3    H2
3ehy    1.90     2009    5.85     Ki=1.4uM    56    0.78     287.5    -0.03     S1    V3    H2
3tsk    2.00     2012    7.17     Kd=67nM     56    0.62     444.5    -0.13     S1    V3    H2
3nx7    1.80     2010    8.10     Kd=7.88nM   56    0.71     289.9    -0.11     S1    V3    H2
4gr0    1.50     2013    9.55     Ki=0.28nM   56    0.68     512.8    -0.24     S1    V3    H2
3dxg    1.39     2009    2.40     Ki=4.0mM    57    0.42     137.2    -0.57     S1    V1    H1
3d6q    1.60     2009    3.76     Ki=172uM    57    0.41     132.1    -0.88     S1    V1    H1
1w4o    1.60     2005    5.22     Ki=6uM      57    0.58     158.6    -0.88     S1    V1    H1
1o0h    1.20     2003    5.92     Ki=1.2uM    57    0.59     145.1    -0.74     S1    V1    H1
1u1b    2.00     2005    7.80     Kd=16nM     57    0.50     302.4    -0.72     S1    V1    H1
