## The subset H3 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 95 complexes in 19 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
1gpn    2.35     2002    6.48     Ki=0.334uM 16    0.88     391.6     0.15     S2    V3    H3
1h23    2.15     2002    8.35     Ki=4.5nM   16    0.77     600.4     0.30     S2    V3    H3
1h22    2.15     2002    9.10     Ki=0.8nM   16    0.76     573.0     0.17     S2    V3    H3
1e66    2.10     2001    9.89     Ki=0.13nM  16    0.89     445.2     0.15     S2    V3    H3
3f3a    2.00     2008    4.19     Ki=64.8uM  17    0.91     299.2     0.06     S3    V2    H3
3f3c    2.10     2008    6.02     Ki=950nM   17    0.96     263.6     0.00     S3    V2    H3
4mme    2.50     2013    6.50     Kd=318nM   17    0.87     385.1     0.00     S3    V2    H3
3f3d    2.30     2008    7.16     Kd=69nM    17    0.98     229.8     0.07     S3    V2    H3
3f3e    1.80     2008    7.70     Kd=20nM    17    0.98     219.4     0.11     S3    V2    H3
4dli    1.91     2013    5.62     Kd=2.40uM  22    0.84     394.0    -0.39     S2    V3    H3
2zb1    2.50     2008    6.32     Kd=0.48uM  22    0.84     499.9    -0.13     S2    V3    H3
4f9w    2.00     2013    6.94     Ki=114nM   22    0.75     364.9    -0.15     S2    V3    H3
3e92    2.00     2008    8.00     Ki=10nM    22    0.91     536.0     0.00     S2    V3    H3
3e93    2.00     2008    8.85     Ki=1.4nM   22    0.77     583.2     0.08     S2    V3    H3
4ddk    1.75     2013    2.29     Kd=5.13mM  28    0.82     248.0    -0.34     S3    V3    H3
4ddh    2.07     2013    3.32     Kd=0.48mM  28    0.85     306.2    -0.41     S3    V3    H3
3ivg    1.95     2009    4.30     Kd=50uM    28    0.84     500.4    -0.20     S3    V3    H3
3coz    2.00     2008    5.57     Kd=2.7uM   28    0.86     533.5    -0.11     S3    V3    H3
3coy    2.03     2008    6.02     Kd=0.96uM  28    0.87     554.6    -0.07     S3    V3    H3
3u9q    1.52     2011    4.38     Ki=41.7uM  35    0.90     321.1     0.42     S2    V3    H3
2yfe    2.00     2012    6.63     Ki=0.236uM 35    0.75     432.0     0.11     S2    V3    H3
3fur    2.30     2009    8.00     Ki=10nM    35    0.80     523.6     0.15     S2    V3    H3
3b1m    1.60     2011    8.48     Ki=3.3nM   35    0.70     509.6     0.29     S2    V3    H3
2p4y    2.25     2008    9.00     Ki=1nM     35    0.80     635.2     0.15     S2    V3    H3
4jsz    1.90     2013    2.30     Ki=5000uM  38    0.66     147.8    -0.28     S2    V1    H3
3kwa    2.00     2010    4.08     Ki=84uM    38    0.81     251.1     0.12     S2    V1    H3
2weg    1.10     2009    6.50     Kd=314nM   38    0.81     211.8    -0.11     S2    V1    H3
3ryj    1.39     2011    7.80     Kd=16nM    38    0.70     226.5    -0.06     S2    V1    H3
3dd0    1.48     2009    9.00     Ki=1nM     38    0.72     227.8    -0.07     S2    V1    H3
2xdl    1.98     2010    3.10     Kd=790uM   39    0.84     355.8    -0.30     S3    V3    H3
3b27    1.50     2011    5.16     Kd=6.9uM   39    0.74     297.0    -0.26     S3    V3    H3
1yc1    1.70     2005    6.17     Kd=680nM   39    0.76     372.0    -0.19     S3    V3    H3
3rlr    1.70     2011    7.52     Ki=30nM    39    0.78     389.8     0.02     S3    V3    H3
2yki    1.67     2011    9.46     Kd=0.35nM  39    0.85     607.6     0.23     S3    V3    H3
1z95    1.80     2005    7.12     Ki=76nM    40    0.94     595.2     0.27     S3    V3    H3
3b68    1.90     2008    8.40     Ki=4nM     40    0.95     620.5     0.21     S3    V3    H3
3b5r    1.80     2008    8.77     Ki=1.7nM   40    0.95     584.9     0.23     S3    V3    H3
3b65    1.80     2008    9.27     Ki=0.54nM  40    0.94     572.5     0.23     S3    V3    H3
3g0w    1.95     2009    9.52     Ki=0.3nM   40    0.96     508.0     0.40     S3    V3    H3
4mgd    1.90     2014    4.69     Kd=20.19uM 44    0.94     455.1     0.38     S3    V3    H3
2qe4    2.40     2007    7.96     Ki=11.0nM  44    0.90     487.6     0.30     S3    V3    H3
1qkt    2.20     2000    9.04     Kd=0.92nM  44    0.87     426.4     0.25     S3    V3    H3
2pog    1.84     2007    9.54     Ki=0.29nM  44    0.90     465.2     0.39     S3    V3    H3
2p15    1.94     2007   10.30     Kd=50pM    44    0.94     666.0     0.35     S3    V3    H3
1uto    1.15     2004    2.27     Kd=5.32mM  47    0.73     181.0    -0.24     S1    V1    H3
4abg    1.52     2012    3.57     Kd=271uM   47    0.63     178.6    -0.14     S1    V1    H3
3gy4    1.55     2010    5.10     Kd=8uM     47    0.80     197.9    -0.08     S1    V1    H3
1k1i    2.20     2001    6.58     Kd=264nM   47    0.53     231.0    -0.09     S1    V1    H3
1o3f    1.55     2003    7.96     Ki=0.011uM 47    0.65     232.8     0.05     S1    V1    H3
2ymd    1.96     2012    3.16     Kd=693uM   50    0.95     279.9     0.76     S1    V2    H3
2wnc    2.20     2009    6.32     Kd=479nM   50    0.73     319.4     0.40     S1    V2    H3
2xys    1.91     2011    7.42     Ki=38nM    50    0.83     334.8     0.16     S1    V2    H3
2wn9    1.75     2009    8.52     Kd=3.0nM   50    0.69     261.8    -0.05     S1    V2    H3
2x00    2.40     2010   11.33     Kd=4.7pM   50    0.70     414.2     0.00     S1    V2    H3
4bkt    2.35     2013    3.62     Kd=240uM   54    0.57     123.8     0.12     S1    V1    H3
4w9c    2.20     2014    4.65     Kd=22.2uM  54    0.58     214.6     0.24     S1    V1    H3
4w9l    2.20     2014    5.02     Kd=9.52uM  54    0.59     278.2     0.04     S1    V1    H3
4w9i    2.40     2014    5.96     Kd=1.10uM  54    0.57     242.5     0.37     S1    V1    H3
4w9h    2.10     2014    6.73     Kd=0.185uM 54    0.61     274.5     0.16     S1    V1    H3
3nq9    1.90     2010    4.03     Kd=92.6uM  55    0.68     183.2     0.13     S2    V1    H3
3ueu    2.10     2011    5.24     Kd=5.81uM  55    0.72     302.1     0.67     S2    V1    H3
3uev    1.90     2011    5.89     Kd=1.29uM  55    0.76     311.2     0.46     S2    V1    H3
3uew    2.00     2011    6.31     Kd=0.49uM  55    0.68     307.8     0.10     S2    V1    H3
3uex    2.10     2011    6.92     Kd=0.12uM  55    0.72     355.9     0.21     S2    V1    H3
