,Datatype,Modeltype,Featuretype,Scoretype,The regression equation: logKa =,Number of favorable sample (N):,Pearson correlation coefficient (R),Confidence interval of 90% Pearson R,Standard deviation in fitting (SD)
38,all,RandomForest,final,pKd_pKi_pIC50,1.47 + -4.11 * Score,285,0.091,[-0.007 ~ 0.187] ,2.17
39,all,RandomForest,GAP,delta_G,-0.04 + 7.47 * Score,285,-0.022,[-0.12 ~ 0.076] ,2.17
40,all,RandomForest,GAP,Affinity_Data_Value,0.00 + 5.13 * Score,285,0.125,[0.028 ~ 0.22] ,2.16
41,all,RandomForest,GAP,pKd_pKi_pIC50,0.61 + 2.16 * Score,285,0.063,[-0.035 ~ 0.16] ,2.17
42,ki,linearRegression,final,delta_G,-0.00 + 6.50 * Score,285,-0.080,[-0.176 ~ 0.018] ,2.17
43,ki,linearRegression,final,Affinity_Data_Value,-0.00 + 6.50 * Score,285,-0.080,[-0.176 ~ 0.018] ,2.17
44,ki,linearRegression,final,pKd_pKi_pIC50,-0.00 + 6.50 * Score,285,-0.080,[-0.176 ~ 0.018] ,2.17
45,ki,linearRegression,GAP,delta_G,0.00 + 2.14 * Score,284,0.660,[0.601 ~ 0.712] ,1.63
46,ki,linearRegression,GAP,Affinity_Data_Value,0.00 + 2.62 * Score,284,0.649,[0.589 ~ 0.702] ,1.65
47,ki,linearRegression,GAP,pKd_pKi_pIC50,0.01 + 2.12 * Score,284,0.659,[0.6 ~ 0.711] ,1.63
48,ki,Ridge,final,delta_G,0.01 + 2.21 * Score,285,0.658,[0.599 ~ 0.71] ,1.64
49,ki,Ridge,final,Affinity_Data_Value,0.00 + 2.47 * Score,285,0.648,[0.587 ~ 0.701] ,1.66
50,ki,Ridge,final,pKd_pKi_pIC50,0.03 + 2.16 * Score,285,0.657,[0.597 ~ 0.709] ,1.64
51,ki,Ridge,GAP,delta_G,0.00 + 2.16 * Score,285,0.659,[0.599 ~ 0.711] ,1.64
52,ki,Ridge,GAP,Affinity_Data_Value,0.00 + 2.33 * Score,285,0.648,[0.587 ~ 0.701] ,1.66
53,ki,Ridge,GAP,pKd_pKi_pIC50,0.02 + 2.13 * Score,285,0.658,[0.599 ~ 0.71] ,1.64
54,ki,Lasso,final,delta_G,0.01 + 2.21 * Score,285,0.656,[0.597 ~ 0.709] ,1.64
55,ki,Lasso,final,Affinity_Data_Value,0.00 + 2.49 * Score,285,0.654,[0.594 ~ 0.706] ,1.64
56,ki,Lasso,final,pKd_pKi_pIC50,0.03 + 2.15 * Score,285,0.657,[0.598 ~ 0.709] ,1.64
57,ki,Lasso,GAP,delta_G,0.00 + 2.15 * Score,285,0.657,[0.598 ~ 0.709] ,1.64
58,ki,Lasso,GAP,Affinity_Data_Value,0.00 + 2.36 * Score,285,0.639,[0.577 ~ 0.693] ,1.67
59,ki,Lasso,GAP,pKd_pKi_pIC50,0.02 + 2.16 * Score,285,0.658,[0.599 ~ 0.71] ,1.64
60,ki,ElasticNet,final,delta_G,0.01 + 2.17 * Score,285,0.657,[0.598 ~ 0.709] ,1.64
61,ki,ElasticNet,final,Affinity_Data_Value,0.00 + 4.50 * Score,276,0.590,[0.521 ~ 0.651] ,1.70
62,ki,ElasticNet,final,pKd_pKi_pIC50,0.04 + 2.13 * Score,285,0.657,[0.598 ~ 0.709] ,1.64
63,ki,ElasticNet,GAP,delta_G,0.00 + 2.15 * Score,285,0.658,[0.598 ~ 0.71] ,1.64
64,ki,ElasticNet,GAP,Affinity_Data_Value,0.00 + 2.43 * Score,285,0.628,[0.565 ~ 0.683] ,1.69
65,ki,ElasticNet,GAP,pKd_pKi_pIC50,0.02 + 2.14 * Score,285,0.658,[0.599 ~ 0.71] ,1.64
66,ki,SVR,final,delta_G,-5.33 + 122.69 * Score,285,-0.170,[-0.264 ~ -0.074] ,2.14
67,ki,SVR,final,Affinity_Data_Value,0.00 + 2.47 * Score,285,0.659,[0.6 ~ 0.711] ,1.64
68,ki,SVR,final,pKd_pKi_pIC50,-19.14 + 133.24 * Score,285,-0.164,[-0.257 ~ -0.067] ,2.14
69,ki,SVR,GAP,delta_G,-0.17 + 10.17 * Score,285,nan,[nan ~ nan] ,2.17
70,ki,SVR,GAP,Affinity_Data_Value,-0.02 + 9.36 * Score,285,nan,[nan ~ nan] ,2.17
71,ki,SVR,GAP,pKd_pKi_pIC50,-0.68 + 11.06 * Score,285,nan,[nan ~ nan] ,2.17
72,ki,DecisionTree,final,delta_G,0.00 + 6.44 * Score,285,0.003,[-0.095 ~ 0.101] ,2.17
73,ki,DecisionTree,final,Affinity_Data_Value,-0.00 + 6.53 * Score,285,-0.146,[-0.241 ~ -0.049] ,2.15
74,ki,DecisionTree,final,pKd_pKi_pIC50,0.12 + 5.58 * Score,285,0.061,[-0.037 ~ 0.157] ,2.17
75,ki,DecisionTree,GAP,delta_G,-0.02 + 6.80 * Score,285,-0.026,[-0.123 ~ 0.072] ,2.17
76,ki,DecisionTree,GAP,Affinity_Data_Value,0.00 + 6.45 * Score,285,0.038,[-0.06 ~ 0.135] ,2.17
77,ki,DecisionTree,GAP,pKd_pKi_pIC50,0.66 + 0.28 * Score,285,0.306,[0.215 ~ 0.392] ,2.07
78,ki,RandomForest,final,delta_G,0.24 + 0.33 * Score,285,0.175,[0.078 ~ 0.268] ,2.14
79,ki,RandomForest,final,Affinity_Data_Value,0.00 + 2.28 * Score,285,0.229,[0.134 ~ 0.319] ,2.12
80,ki,RandomForest,final,pKd_pKi_pIC50,0.41 + 3.21 * Score,285,0.059,[-0.039 ~ 0.155] ,2.17
81,ki,RandomForest,GAP,delta_G,0.08 + 4.09 * Score,285,0.064,[-0.034 ~ 0.161] ,2.17
82,ki,RandomForest,GAP,Affinity_Data_Value,0.00 + 6.14 * Score,285,0.051,[-0.047 ~ 0.148] ,2.17
83,ki,RandomForest,GAP,pKd_pKi_pIC50,1.53 + -5.53 * Score,285,0.217,[0.122 ~ 0.308] ,2.12
84,kd,linearRegression,final,delta_G,0.00 + 6.50 * Score,283,0.026,[-0.072 ~ 0.123] ,2.17
85,kd,linearRegression,final,Affinity_Data_Value,0.00 + 2.33 * Score,278,0.660,[0.6 ~ 0.712] ,1.63
86,kd,linearRegression,final,pKd_pKi_pIC50,-0.00 + 6.51 * Score,284,-0.080,[-0.177 ~ 0.018] ,2.16
87,kd,linearRegression,GAP,delta_G,0.01 + 2.61 * Score,282,0.642,[0.581 ~ 0.696] ,1.66
88,kd,linearRegression,GAP,Affinity_Data_Value,-0.00 + 6.81 * Score,220,-0.101,[-0.21 ~ 0.01] ,2.15
89,kd,linearRegression,GAP,pKd_pKi_pIC50,0.00 + 6.48 * Score,281,0.071,[-0.028 ~ 0.168] ,2.15
90,kd,Ridge,final,delta_G,0.01 + 2.23 * Score,285,0.649,[0.588 ~ 0.702] ,1.65
91,kd,Ridge,final,Affinity_Data_Value,0.00 + 2.31 * Score,285,0.657,[0.598 ~ 0.71] ,1.64
92,kd,Ridge,final,pKd_pKi_pIC50,0.06 + 2.09 * Score,285,0.651,[0.591 ~ 0.704] ,1.65
93,kd,Ridge,GAP,delta_G,0.01 + 2.36 * Score,285,0.653,[0.593 ~ 0.706] ,1.65
94,kd,Ridge,GAP,Affinity_Data_Value,0.00 + 4.19 * Score,277,0.545,[0.471 ~ 0.611] ,1.81
95,kd,Ridge,GAP,pKd_pKi_pIC50,0.03 + 2.82 * Score,285,0.630,[0.567 ~ 0.685] ,1.69
96,kd,Lasso,final,delta_G,0.02 + 2.10 * Score,285,0.654,[0.594 ~ 0.706] ,1.65
97,kd,Lasso,final,Affinity_Data_Value,0.00 + 2.45 * Score,285,0.655,[0.596 ~ 0.707] ,1.64
98,kd,Lasso,final,pKd_pKi_pIC50,0.07 + 1.96 * Score,285,0.654,[0.595 ~ 0.707] ,1.64
99,kd,Lasso,GAP,delta_G,0.01 + 2.02 * Score,285,0.655,[0.596 ~ 0.708] ,1.64
100,kd,Lasso,GAP,Affinity_Data_Value,0.00 + 2.24 * Score,285,0.651,[0.591 ~ 0.704] ,1.65
101,kd,Lasso,GAP,pKd_pKi_pIC50,0.03 + 2.27 * Score,285,0.655,[0.595 ~ 0.707] ,1.64
102,kd,ElasticNet,final,delta_G,0.02 + 2.05 * Score,285,0.652,[0.593 ~ 0.705] ,1.65
103,kd,ElasticNet,final,Affinity_Data_Value,0.00 + 4.53 * Score,274,0.594,[0.526 ~ 0.655] ,1.68
104,kd,ElasticNet,final,pKd_pKi_pIC50,0.07 + 1.95 * Score,285,0.654,[0.594 ~ 0.707] ,1.64
105,kd,ElasticNet,GAP,delta_G,0.01 + 1.98 * Score,285,0.654,[0.594 ~ 0.706] ,1.65
106,kd,ElasticNet,GAP,Affinity_Data_Value,0.00 + 2.42 * Score,285,0.625,[0.562 ~ 0.681] ,1.70
107,kd,ElasticNet,GAP,pKd_pKi_pIC50,0.03 + 2.20 * Score,285,0.656,[0.596 ~ 0.708] ,1.64
108,kd,SVR,final,delta_G,-7.57 + 150.73 * Score,285,-0.201,[-0.293 ~ -0.105] ,2.13
109,kd,SVR,final,Affinity_Data_Value,0.00 + 2.64 * Score,285,0.648,[0.588 ~ 0.702] ,1.66
110,kd,SVR,final,pKd_pKi_pIC50,-38.10 + 244.47 * Score,285,-0.195,[-0.287 ~ -0.099] ,2.13
111,kd,SVR,GAP,delta_G,0.00 + 6.49 * Score,285,nan,[nan ~ nan] ,2.17
112,kd,SVR,GAP,Affinity_Data_Value,-0.01 + 10.49 * Score,285,nan,[nan ~ nan] ,2.17
113,kd,SVR,GAP,pKd_pKi_pIC50,0.00 + 6.49 * Score,285,nan,[nan ~ nan] ,2.17
114,kd,DecisionTree,final,delta_G,0.02 + 6.08 * Score,285,0.133,[0.035 ~ 0.227] ,2.16
115,kd,DecisionTree,final,Affinity_Data_Value,0.00 + 6.44 * Score,285,0.086,[-0.012 ~ 0.182] ,2.17
116,kd,DecisionTree,final,pKd_pKi_pIC50,0.07 + 6.10 * Score,285,0.026,[-0.072 ~ 0.123] ,2.17
117,kd,DecisionTree,GAP,delta_G,0.05 + 4.41 * Score,285,0.128,[0.031 ~ 0.223] ,2.16
118,kd,DecisionTree,GAP,Affinity_Data_Value,-0.00 + 6.53 * Score,285,-0.048,[-0.145 ~ 0.05] ,2.17
119,kd,DecisionTree,GAP,pKd_pKi_pIC50,0.39 + 2.98 * Score,285,0.192,[0.097 ~ 0.285] ,2.13
120,kd,RandomForest,final,delta_G,0.59 + -8.24 * Score,285,0.172,[0.075 ~ 0.265] ,2.14
121,kd,RandomForest,final,Affinity_Data_Value,-0.00 + 6.73 * Score,285,-0.051,[-0.148 ~ 0.047] ,2.17
122,kd,RandomForest,final,pKd_pKi_pIC50,3.52 + -19.78 * Score,285,0.238,[0.144 ~ 0.328] ,2.11
123,kd,RandomForest,GAP,delta_G,0.30 + -0.34 * Score,285,0.176,[0.08 ~ 0.269] ,2.14
124,kd,RandomForest,GAP,Affinity_Data_Value,0.00 + 5.69 * Score,285,0.166,[0.069 ~ 0.259] ,2.14
125,kd,RandomForest,GAP,pKd_pKi_pIC50,0.46 + 3.08 * Score,285,0.064,[-0.034 ~ 0.161] ,2.17
