,Datatype,Modeltype,Featuretype,Scoretype,The regression equation: logKa =,Number of favorable sample (N):,Pearson correlation coefficient (R),Standard deviation in fitting (SD)
40,all,Ridge,basic-vdw,Affinity_Data_Value,0.00 + 4.21 * Score,283,0.552,1.81
41,all,Ridge,basic-vdw,pKd_pKi_pIC50,0.03 + 4.13 * Score,283,0.540,1.83
42,all,Ridge,-w-vdw,delta_G,0.01 + 4.17 * Score,283,0.541,1.83
43,all,Ridge,-w-vdw,Affinity_Data_Value,0.00 + 4.21 * Score,283,0.552,1.81
44,all,Ridge,-w-vdw,pKd_pKi_pIC50,0.03 + 4.13 * Score,283,0.540,1.83
45,all,Ridge,basic-el-vdw,delta_G,0.01 + 2.47 * Score,282,0.655,1.64
46,all,Ridge,basic-el-vdw,Affinity_Data_Value,0.00 + 2.27 * Score,281,0.658,1.64
47,all,Ridge,basic-el-vdw,pKd_pKi_pIC50,0.04 + 2.73 * Score,280,0.634,1.68
48,all,Ridge,-w-el-vdw,delta_G,0.01 + 1.99 * Score,281,0.642,1.67
49,all,Ridge,-w-el-vdw,Affinity_Data_Value,0.00 + 2.51 * Score,280,0.606,1.73
50,all,Ridge,-w-el-vdw,pKd_pKi_pIC50,0.06 + 2.21 * Score,280,0.619,1.71
51,all,Ridge,final,delta_G,0.01 + 2.24 * Score,285,0.653,1.65
52,all,Ridge,final,Affinity_Data_Value,0.00 + 2.34 * Score,285,0.655,1.64
53,all,Ridge,final,pKd_pKi_pIC50,0.04 + 2.17 * Score,285,0.653,1.65
54,all,Lasso,basic,delta_G,0.01 + 4.16 * Score,283,0.541,1.83
55,all,Lasso,basic,Affinity_Data_Value,0.00 + 4.22 * Score,283,0.551,1.81
56,all,Lasso,basic,pKd_pKi_pIC50,0.04 + 4.11 * Score,283,0.540,1.83
57,all,Lasso,-w,delta_G,0.03 + 2.95 * Score,283,0.560,1.80
58,all,Lasso,-w,Affinity_Data_Value,0.00 + 3.24 * Score,283,0.554,1.81
59,all,Lasso,-w,pKd_pKi_pIC50,0.13 + 2.84 * Score,283,0.557,1.80
60,all,Lasso,basic-el,delta_G,0.01 + 4.17 * Score,283,0.541,1.83
61,all,Lasso,basic-el,Affinity_Data_Value,0.00 + 4.21 * Score,283,0.552,1.81
62,all,Lasso,basic-el,pKd_pKi_pIC50,0.04 + 4.11 * Score,283,0.540,1.83
63,all,Lasso,-w-el,delta_G,0.03 + 2.97 * Score,283,0.560,1.80
64,all,Lasso,-w-el,Affinity_Data_Value,0.00 + 3.24 * Score,283,0.555,1.81
65,all,Lasso,-w-el,pKd_pKi_pIC50,0.13 + 2.84 * Score,283,0.557,1.80
66,all,Lasso,basic-vdw,delta_G,0.01 + 4.16 * Score,283,0.541,1.83
67,all,Lasso,basic-vdw,Affinity_Data_Value,0.00 + 4.22 * Score,283,0.551,1.81
68,all,Lasso,basic-vdw,pKd_pKi_pIC50,0.04 + 4.12 * Score,283,0.540,1.83
69,all,Lasso,-w-vdw,delta_G,0.01 + 4.16 * Score,283,0.541,1.83
70,all,Lasso,-w-vdw,Affinity_Data_Value,0.00 + 4.22 * Score,283,0.551,1.81
71,all,Lasso,-w-vdw,pKd_pKi_pIC50,0.04 + 4.11 * Score,283,0.540,1.83
72,all,Lasso,basic-el-vdw,delta_G,0.01 + 2.14 * Score,282,0.666,1.62
73,all,Lasso,basic-el-vdw,Affinity_Data_Value,0.00 + 2.31 * Score,281,0.646,1.66
74,all,Lasso,basic-el-vdw,pKd_pKi_pIC50,0.04 + 2.66 * Score,280,0.637,1.68
75,all,Lasso,-w-el-vdw,delta_G,0.01 + 1.98 * Score,281,0.630,1.69
76,all,Lasso,-w-el-vdw,Affinity_Data_Value,0.00 + 2.56 * Score,281,0.609,1.73
77,all,Lasso,-w-el-vdw,pKd_pKi_pIC50,0.06 + 2.15 * Score,280,0.619,1.71
78,all,Lasso,final,delta_G,0.01 + 2.18 * Score,285,0.655,1.64
79,all,Lasso,final,Affinity_Data_Value,0.00 + 2.43 * Score,285,0.656,1.64
80,all,Lasso,final,pKd_pKi_pIC50,0.05 + 2.08 * Score,285,0.655,1.64
81,all,ElasticNet,basic,delta_G,0.01 + 4.18 * Score,283,0.540,1.83
82,all,ElasticNet,basic,Affinity_Data_Value,0.00 + 5.33 * Score,256,0.469,1.83
83,all,ElasticNet,basic,pKd_pKi_pIC50,0.04 + 4.12 * Score,283,0.540,1.83
84,all,ElasticNet,-w,delta_G,0.03 + 2.83 * Score,283,0.562,1.80
85,all,ElasticNet,-w,Affinity_Data_Value,-0.00 + 7.42 * Score,197,-0.426,1.89
86,all,ElasticNet,-w,pKd_pKi_pIC50,0.13 + 2.80 * Score,283,0.557,1.80
87,all,ElasticNet,basic-el,delta_G,0.01 + 4.18 * Score,283,0.540,1.83
88,all,ElasticNet,basic-el,Affinity_Data_Value,0.00 + 5.33 * Score,256,0.469,1.83
89,all,ElasticNet,basic-el,pKd_pKi_pIC50,0.04 + 4.13 * Score,283,0.539,1.83
90,all,ElasticNet,-w-el,delta_G,0.03 + 2.83 * Score,283,0.562,1.80
91,all,ElasticNet,-w-el,Affinity_Data_Value,-0.00 + 7.42 * Score,197,-0.427,1.89
92,all,ElasticNet,-w-el,pKd_pKi_pIC50,0.13 + 2.80 * Score,283,0.557,1.80
93,all,ElasticNet,basic-vdw,delta_G,0.01 + 4.18 * Score,283,0.540,1.83
94,all,ElasticNet,basic-vdw,Affinity_Data_Value,0.00 + 5.33 * Score,256,0.469,1.83
95,all,ElasticNet,basic-vdw,pKd_pKi_pIC50,0.04 + 4.12 * Score,283,0.539,1.83
96,all,ElasticNet,-w-vdw,delta_G,0.01 + 4.18 * Score,283,0.540,1.83
97,all,ElasticNet,-w-vdw,Affinity_Data_Value,0.00 + 5.33 * Score,256,0.469,1.83
98,all,ElasticNet,-w-vdw,pKd_pKi_pIC50,0.04 + 4.12 * Score,283,0.540,1.83
99,all,ElasticNet,basic-el-vdw,delta_G,0.01 + 2.40 * Score,282,0.658,1.64
100,all,ElasticNet,basic-el-vdw,Affinity_Data_Value,0.00 + 4.39 * Score,283,0.568,1.79
101,all,ElasticNet,basic-el-vdw,pKd_pKi_pIC50,0.05 + 2.60 * Score,280,0.639,1.67
102,all,ElasticNet,-w-el-vdw,delta_G,0.02 + 1.93 * Score,281,0.634,1.68
103,all,ElasticNet,-w-el-vdw,Affinity_Data_Value,0.00 + 5.22 * Score,281,0.448,1.93
104,all,ElasticNet,-w-el-vdw,pKd_pKi_pIC50,0.07 + 2.17 * Score,280,0.618,1.71
105,all,ElasticNet,final,delta_G,0.01 + 2.18 * Score,285,0.655,1.64
106,all,ElasticNet,final,Affinity_Data_Value,0.00 + 4.23 * Score,280,0.610,1.69
107,all,ElasticNet,final,pKd_pKi_pIC50,0.05 + 2.07 * Score,285,0.655,1.64
108,all,SVR,basic,delta_G,-1.09 + 27.43 * Score,283,-0.122,2.16
109,all,SVR,basic,Affinity_Data_Value,0.00 + 4.45 * Score,283,0.536,1.83
110,all,SVR,basic,pKd_pKi_pIC50,-4.23 + 32.81 * Score,283,-0.113,2.16
111,all,SVR,-w,delta_G,-0.69 + 19.83 * Score,283,-0.326,2.05
112,all,SVR,-w,Affinity_Data_Value,0.00 + 3.75 * Score,283,0.550,1.81
113,all,SVR,-w,pKd_pKi_pIC50,-3.01 + 25.88 * Score,283,-0.327,2.05
114,all,SVR,basic-el,delta_G,-1.17 + 29.06 * Score,283,-0.126,2.16
115,all,SVR,basic-el,Affinity_Data_Value,0.00 + 4.46 * Score,283,0.535,1.83
116,all,SVR,basic-el,pKd_pKi_pIC50,-13.10 + 90.77 * Score,283,-0.105,2.16
117,all,SVR,-w-el,delta_G,-0.67 + 19.48 * Score,283,-0.338,2.04
118,all,SVR,-w-el,Affinity_Data_Value,0.00 + 3.77 * Score,283,0.548,1.82
119,all,SVR,-w-el,pKd_pKi_pIC50,-2.96 + 25.64 * Score,283,-0.330,2.05
120,all,SVR,basic-vdw,delta_G,-1.09 + 27.43 * Score,283,-0.122,2.16
121,all,SVR,basic-vdw,Affinity_Data_Value,0.00 + 4.45 * Score,283,0.536,1.83
122,all,SVR,basic-vdw,pKd_pKi_pIC50,-8.71 + 62.32 * Score,283,-0.109,2.16
123,all,SVR,-w-vdw,delta_G,-1.09 + 27.43 * Score,283,-0.122,2.16
124,all,SVR,-w-vdw,Affinity_Data_Value,0.00 + 4.45 * Score,283,0.536,1.83
125,all,SVR,-w-vdw,pKd_pKi_pIC50,-8.70 + 62.30 * Score,283,-0.109,2.16
126,all,SVR,basic-el-vdw,delta_G,0.00 + 6.47 * Score,283,nan,2.17
127,all,SVR,basic-el-vdw,Affinity_Data_Value,0.00 + 3.04 * Score,282,0.643,1.66
128,all,SVR,basic-el-vdw,pKd_pKi_pIC50,0.13 + 5.62 * Score,283,nan,2.17
129,all,SVR,-w-el-vdw,delta_G,109412321.56 + -2091328020.73 * Score,283,0.098,2.16
130,all,SVR,-w-el-vdw,Affinity_Data_Value,0.00 + 2.23 * Score,281,0.646,1.66
131,all,SVR,-w-el-vdw,pKd_pKi_pIC50,5590872364.70 + -35435536809.79 * Score,283,0.098,2.16
132,all,SVR,final,delta_G,-5.27 + 113.65 * Score,285,-0.179,2.14
133,all,SVR,final,Affinity_Data_Value,0.00 + 2.49 * Score,285,0.657,1.64
134,all,SVR,final,pKd_pKi_pIC50,-24.59 + 167.56 * Score,285,-0.159,2.15
135,all,DecisionTree,basic,delta_G,0.01 + 6.27 * Score,283,0.018,2.17
136,all,DecisionTree,basic,Affinity_Data_Value,-0.00 + 6.55 * Score,283,-0.061,2.17
137,all,DecisionTree,basic,pKd_pKi_pIC50,-0.42 + 8.69 * Score,283,-0.286,2.08
138,all,DecisionTree,-w,delta_G,0.12 + 4.45 * Score,283,0.328,2.05
139,all,DecisionTree,-w,Affinity_Data_Value,-0.00 + 6.49 * Score,283,-0.025,2.17
140,all,DecisionTree,-w,pKd_pKi_pIC50,-0.70 + 9.89 * Score,283,-0.188,2.13
141,all,DecisionTree,basic-el,delta_G,-0.02 + 7.20 * Score,283,-0.059,2.17
142,all,DecisionTree,basic-el,Affinity_Data_Value,-0.00 + 6.49 * Score,283,-0.029,2.17
143,all,DecisionTree,basic-el,pKd_pKi_pIC50,-0.08 + 6.99 * Score,283,-0.055,2.17
144,all,DecisionTree,-w-el,delta_G,0.04 + 5.03 * Score,283,0.221,2.12
145,all,DecisionTree,-w-el,Affinity_Data_Value,0.00 + 6.47 * Score,283,0.020,2.17
146,all,DecisionTree,-w-el,pKd_pKi_pIC50,-0.19 + 7.68 * Score,283,-0.152,2.15
147,all,DecisionTree,basic-vdw,delta_G,-0.07 + 7.29 * Score,283,-0.112,2.16
148,all,DecisionTree,basic-vdw,Affinity_Data_Value,-0.00 + 6.55 * Score,283,-0.085,2.16
149,all,DecisionTree,basic-vdw,pKd_pKi_pIC50,-0.10 + 7.23 * Score,283,-0.046,2.17
150,all,DecisionTree,-w-vdw,delta_G,-0.01 + 6.67 * Score,283,-0.020,2.17
151,all,DecisionTree,-w-vdw,Affinity_Data_Value,0.00 + 6.13 * Score,283,0.065,2.17
152,all,DecisionTree,-w-vdw,pKd_pKi_pIC50,0.66 + 3.03 * Score,283,0.228,2.12
153,all,DecisionTree,basic-el-vdw,delta_G,-0.05 + 7.51 * Score,283,-0.086,2.16
154,all,DecisionTree,basic-el-vdw,Affinity_Data_Value,0.00 + 6.47 * Score,283,0.001,2.17
155,all,DecisionTree,basic-el-vdw,pKd_pKi_pIC50,-0.27 + 8.38 * Score,283,-0.082,2.17
156,all,DecisionTree,-w-el-vdw,delta_G,0.01 + 6.28 * Score,283,0.029,2.17
157,all,DecisionTree,-w-el-vdw,Affinity_Data_Value,0.00 + 6.25 * Score,283,0.192,2.13
158,all,DecisionTree,-w-el-vdw,pKd_pKi_pIC50,0.32 + 4.25 * Score,283,0.285,2.08
159,all,DecisionTree,final,delta_G,-0.10 + 9.55 * Score,285,-0.344,2.04
160,all,DecisionTree,final,Affinity_Data_Value,-0.00 + 6.70 * Score,285,-0.164,2.14
161,all,DecisionTree,final,pKd_pKi_pIC50,0.11 + 5.55 * Score,285,0.036,2.17
162,all,RandomForest,basic,delta_G,-0.29 + 13.22 * Score,283,-0.197,2.13
163,all,RandomForest,basic,Affinity_Data_Value,0.00 + 5.78 * Score,283,0.234,2.11
164,all,RandomForest,basic,pKd_pKi_pIC50,-0.60 + 10.64 * Score,283,-0.069,2.17
165,all,RandomForest,-w,delta_G,-0.32 + 13.95 * Score,283,-0.178,2.14
166,all,RandomForest,-w,Affinity_Data_Value,0.00 + 5.81 * Score,283,0.231,2.11
167,all,RandomForest,-w,pKd_pKi_pIC50,-0.95 + 13.13 * Score,283,-0.100,2.16
168,all,RandomForest,basic-el,delta_G,-0.26 + 12.59 * Score,283,-0.133,2.15
169,all,RandomForest,basic-el,Affinity_Data_Value,0.00 + 5.92 * Score,283,0.158,2.15
170,all,RandomForest,basic-el,pKd_pKi_pIC50,-0.30 + 8.61 * Score,283,-0.035,2.17
171,all,RandomForest,-w-el,delta_G,-0.12 + 9.30 * Score,283,-0.075,2.17
172,all,RandomForest,-w-el,Affinity_Data_Value,0.00 + 5.53 * Score,283,0.253,2.10
173,all,RandomForest,-w-el,pKd_pKi_pIC50,-1.03 + 13.70 * Score,283,-0.100,2.16
174,all,RandomForest,basic-vdw,delta_G,-0.42 + 16.26 * Score,283,-0.215,2.12
175,all,RandomForest,basic-vdw,Affinity_Data_Value,0.00 + 5.77 * Score,283,0.192,2.13
176,all,RandomForest,basic-vdw,pKd_pKi_pIC50,-0.34 + 8.86 * Score,283,-0.032,2.17
177,all,RandomForest,-w-vdw,delta_G,-0.37 + 15.03 * Score,283,-0.198,2.13
178,all,RandomForest,-w-vdw,Affinity_Data_Value,0.00 + 5.96 * Score,283,0.177,2.14
179,all,RandomForest,-w-vdw,pKd_pKi_pIC50,-0.90 + 12.92 * Score,283,-0.082,2.17
180,all,RandomForest,basic-el-vdw,delta_G,-0.28 + 12.80 * Score,283,-0.125,2.16
181,all,RandomForest,basic-el-vdw,Affinity_Data_Value,0.00 + 5.90 * Score,283,0.251,2.10
182,all,RandomForest,basic-el-vdw,pKd_pKi_pIC50,-0.13 + 7.36 * Score,283,-0.017,2.17
183,all,RandomForest,-w-el-vdw,delta_G,-0.47 + 17.26 * Score,283,-0.247,2.11
184,all,RandomForest,-w-el-vdw,Affinity_Data_Value,0.00 + 5.80 * Score,283,0.251,2.10
185,all,RandomForest,-w-el-vdw,pKd_pKi_pIC50,-1.08 + 13.81 * Score,283,-0.127,2.15
186,all,RandomForest,final,delta_G,0.60 + -8.59 * Score,285,0.245,2.11
187,all,RandomForest,final,Affinity_Data_Value,0.00 + 6.36 * Score,285,0.034,2.17
188,all,RandomForest,final,pKd_pKi_pIC50,1.47 + -4.11 * Score,285,0.091,2.17
189,ki,linearRegression,basic,delta_G,0.01 + 4.36 * Score,283,0.528,1.84
190,ki,linearRegression,basic,Affinity_Data_Value,0.00 + 4.34 * Score,282,0.536,1.83
191,ki,linearRegression,basic,pKd_pKi_pIC50,0.03 + 4.30 * Score,283,0.529,1.84
192,ki,linearRegression,-w,delta_G,0.03 + 2.87 * Score,283,0.559,1.80
193,ki,linearRegression,-w,Affinity_Data_Value,0.00 + 3.87 * Score,283,0.480,1.91
194,ki,linearRegression,-w,pKd_pKi_pIC50,0.12 + 2.90 * Score,283,0.552,1.81
195,ki,linearRegression,basic-el,delta_G,0.01 + 4.36 * Score,283,0.528,1.85
196,ki,linearRegression,basic-el,Affinity_Data_Value,0.00 + 4.32 * Score,282,0.538,1.82
197,ki,linearRegression,basic-el,pKd_pKi_pIC50,0.03 + 4.30 * Score,283,0.529,1.84
198,ki,linearRegression,-w-el,delta_G,0.03 + 2.88 * Score,283,0.559,1.80
199,ki,linearRegression,-w-el,Affinity_Data_Value,0.00 + 3.85 * Score,283,0.484,1.90
200,ki,linearRegression,-w-el,pKd_pKi_pIC50,0.12 + 2.91 * Score,283,0.552,1.81
201,ki,linearRegression,basic-vdw,delta_G,0.01 + 4.36 * Score,283,0.528,1.84
202,ki,linearRegression,basic-vdw,Affinity_Data_Value,0.00 + 4.34 * Score,282,0.536,1.83
203,ki,linearRegression,basic-vdw,pKd_pKi_pIC50,0.03 + 4.30 * Score,283,0.529,1.84
204,ki,linearRegression,-w-vdw,delta_G,0.01 + 4.36 * Score,283,0.528,1.84
205,ki,linearRegression,-w-vdw,Affinity_Data_Value,0.00 + 4.34 * Score,282,0.536,1.83
206,ki,linearRegression,-w-vdw,pKd_pKi_pIC50,0.03 + 4.30 * Score,283,0.529,1.84
207,ki,linearRegression,basic-el-vdw,delta_G,0.01 + 2.92 * Score,282,0.636,1.68
208,ki,linearRegression,basic-el-vdw,Affinity_Data_Value,0.00 + 2.38 * Score,280,0.651,1.65
209,ki,linearRegression,basic-el-vdw,pKd_pKi_pIC50,0.03 + 3.29 * Score,280,0.604,1.74
210,ki,linearRegression,-w-el-vdw,delta_G,0.01 + 2.04 * Score,281,0.639,1.67
211,ki,linearRegression,-w-el-vdw,Affinity_Data_Value,0.00 + 2.56 * Score,279,0.605,1.73
212,ki,linearRegression,-w-el-vdw,pKd_pKi_pIC50,0.06 + 2.12 * Score,278,0.633,1.69
213,ki,linearRegression,final,delta_G,-0.00 + 6.50 * Score,285,-0.080,2.17
214,ki,linearRegression,final,Affinity_Data_Value,-0.00 + 6.50 * Score,285,-0.080,2.17
215,ki,linearRegression,final,pKd_pKi_pIC50,-0.00 + 6.50 * Score,285,-0.080,2.17
216,ki,Ridge,basic,delta_G,0.01 + 4.37 * Score,283,0.527,1.85
217,ki,Ridge,basic,Affinity_Data_Value,0.00 + 4.34 * Score,282,0.537,1.82
218,ki,Ridge,basic,pKd_pKi_pIC50,0.03 + 4.32 * Score,283,0.528,1.85
219,ki,Ridge,-w,delta_G,0.03 + 2.92 * Score,283,0.546,1.82
220,ki,Ridge,-w,Affinity_Data_Value,0.00 + 3.82 * Score,283,0.488,1.90
221,ki,Ridge,-w,pKd_pKi_pIC50,0.13 + 2.90 * Score,283,0.551,1.81
222,ki,Ridge,basic-el,delta_G,0.01 + 4.38 * Score,283,0.527,1.85
223,ki,Ridge,basic-el,Affinity_Data_Value,0.00 + 4.32 * Score,282,0.539,1.82
224,ki,Ridge,basic-el,pKd_pKi_pIC50,0.03 + 4.32 * Score,283,0.528,1.85
225,ki,Ridge,-w-el,delta_G,0.03 + 2.93 * Score,283,0.545,1.82
226,ki,Ridge,-w-el,Affinity_Data_Value,0.00 + 3.79 * Score,283,0.492,1.89
227,ki,Ridge,-w-el,pKd_pKi_pIC50,0.13 + 2.90 * Score,283,0.551,1.81
228,ki,Ridge,basic-vdw,delta_G,0.01 + 4.37 * Score,283,0.527,1.85
229,ki,Ridge,basic-vdw,Affinity_Data_Value,0.00 + 4.34 * Score,282,0.537,1.82
230,ki,Ridge,basic-vdw,pKd_pKi_pIC50,0.03 + 4.32 * Score,283,0.528,1.85
231,ki,Ridge,-w-vdw,delta_G,0.01 + 4.37 * Score,283,0.527,1.85
232,ki,Ridge,-w-vdw,Affinity_Data_Value,0.00 + 4.34 * Score,282,0.537,1.82
233,ki,Ridge,-w-vdw,pKd_pKi_pIC50,0.03 + 4.32 * Score,283,0.528,1.85
234,ki,Ridge,basic-el-vdw,delta_G,0.01 + 2.95 * Score,282,0.635,1.68
235,ki,Ridge,basic-el-vdw,Affinity_Data_Value,0.00 + 2.38 * Score,280,0.652,1.65
236,ki,Ridge,basic-el-vdw,pKd_pKi_pIC50,0.03 + 3.30 * Score,280,0.603,1.74
237,ki,Ridge,-w-el-vdw,delta_G,0.01 + 2.02 * Score,281,0.639,1.68
238,ki,Ridge,-w-el-vdw,Affinity_Data_Value,0.00 + 2.71 * Score,280,0.592,1.75
239,ki,Ridge,-w-el-vdw,pKd_pKi_pIC50,0.07 + 2.07 * Score,278,0.633,1.69
240,ki,Ridge,final,delta_G,0.01 + 2.21 * Score,285,0.658,1.64
241,ki,Ridge,final,Affinity_Data_Value,0.00 + 2.47 * Score,285,0.648,1.66
242,ki,Ridge,final,pKd_pKi_pIC50,0.03 + 2.16 * Score,285,0.657,1.64
243,ki,Lasso,basic,delta_G,0.01 + 4.37 * Score,283,0.527,1.85
244,ki,Lasso,basic,Affinity_Data_Value,0.00 + 4.33 * Score,283,0.541,1.83
245,ki,Lasso,basic,pKd_pKi_pIC50,0.03 + 4.31 * Score,283,0.528,1.84
246,ki,Lasso,-w,delta_G,0.03 + 2.92 * Score,283,0.546,1.82
247,ki,Lasso,-w,Affinity_Data_Value,0.00 + 3.88 * Score,283,0.489,1.89
248,ki,Lasso,-w,pKd_pKi_pIC50,0.13 + 2.89 * Score,283,0.549,1.82
249,ki,Lasso,basic-el,delta_G,0.01 + 4.37 * Score,283,0.527,1.85
250,ki,Lasso,basic-el,Affinity_Data_Value,0.00 + 4.31 * Score,283,0.543,1.82
251,ki,Lasso,basic-el,pKd_pKi_pIC50,0.03 + 4.33 * Score,283,0.526,1.85
252,ki,Lasso,-w-el,delta_G,0.03 + 2.94 * Score,283,0.544,1.82
253,ki,Lasso,-w-el,Affinity_Data_Value,0.00 + 5.01 * Score,276,0.432,1.94
254,ki,Lasso,-w-el,pKd_pKi_pIC50,0.13 + 2.90 * Score,283,0.550,1.82
255,ki,Lasso,basic-vdw,delta_G,0.01 + 4.37 * Score,283,0.527,1.85
256,ki,Lasso,basic-vdw,Affinity_Data_Value,0.00 + 4.33 * Score,283,0.542,1.83
257,ki,Lasso,basic-vdw,pKd_pKi_pIC50,0.03 + 4.32 * Score,283,0.527,1.85
258,ki,Lasso,-w-vdw,delta_G,0.01 + 4.37 * Score,283,0.527,1.85
259,ki,Lasso,-w-vdw,Affinity_Data_Value,0.00 + 4.32 * Score,283,0.542,1.83
260,ki,Lasso,-w-vdw,pKd_pKi_pIC50,0.03 + 4.32 * Score,283,0.527,1.85
261,ki,Lasso,basic-el-vdw,delta_G,0.01 + 2.95 * Score,282,0.634,1.68
262,ki,Lasso,basic-el-vdw,Affinity_Data_Value,0.00 + 2.38 * Score,280,0.647,1.66
263,ki,Lasso,basic-el-vdw,pKd_pKi_pIC50,0.03 + 3.29 * Score,280,0.604,1.73
264,ki,Lasso,-w-el-vdw,delta_G,0.01 + 1.97 * Score,281,0.637,1.68
265,ki,Lasso,-w-el-vdw,Affinity_Data_Value,0.00 + 2.76 * Score,283,0.591,1.75
266,ki,Lasso,-w-el-vdw,pKd_pKi_pIC50,0.07 + 2.03 * Score,278,0.633,1.69
267,ki,Lasso,final,delta_G,0.01 + 2.21 * Score,285,0.656,1.64
268,ki,Lasso,final,Affinity_Data_Value,0.00 + 2.49 * Score,285,0.654,1.64
269,ki,Lasso,final,pKd_pKi_pIC50,0.03 + 2.15 * Score,285,0.657,1.64
270,ki,ElasticNet,basic,delta_G,0.01 + 4.38 * Score,283,0.527,1.85
271,ki,ElasticNet,basic,Affinity_Data_Value,0.00 + 5.26 * Score,258,0.468,1.85
272,ki,ElasticNet,basic,pKd_pKi_pIC50,0.03 + 4.33 * Score,283,0.526,1.85
273,ki,ElasticNet,-w,delta_G,0.03 + 2.95 * Score,283,0.541,1.83
274,ki,ElasticNet,-w,Affinity_Data_Value,-0.00 + 7.34 * Score,165,-0.446,1.85
275,ki,ElasticNet,-w,pKd_pKi_pIC50,0.13 + 2.88 * Score,283,0.548,1.82
276,ki,ElasticNet,basic-el,delta_G,0.01 + 4.38 * Score,283,0.527,1.85
277,ki,ElasticNet,basic-el,Affinity_Data_Value,0.00 + 5.26 * Score,258,0.468,1.85
278,ki,ElasticNet,basic-el,pKd_pKi_pIC50,0.03 + 4.33 * Score,283,0.526,1.85
