,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
222,2xbv,Kd,3.7,8.43,-11.5,0.27027
230,1uto,Kd,5320000,2.27,-3.1,0.0
231,4abg,Kd,271000,3.57,-4.86,0.0
232,3gy4,Kd,8000,5.10,-6.95,0.00013
233,1k1i,Kd,264,6.58,-8.97,0.00379
235,2yge,Kd,8620,5.06,-6.91,0.00012
236,2fxs,Kd,870,6.06,-8.26,0.00115
237,2iwx,Kd,210,6.68,-9.1,0.00476
238,2wer,Kd,90,7.05,-9.61,0.01111
239,2vw5,Kd,3,8.52,-11.62,0.33333
240,4kzq,Kd,788,6.10,-8.32,0.00127
242,4j21,Kd,39,7.41,-10.1,0.02564
243,4j3l,Kd,16,7.80,-10.63,0.0625
244,3kr8,Kd,8,8.10,-11.04,0.125
245,2ymd,Kd,693000,3.16,-4.31,0.0
246,2wnc,Kd,479,6.32,-8.62,0.00209
248,2wn9,Kd,3.0,8.52,-11.62,0.33333
249,2x00,Kd,0.0047,11.33,-15.44,212.76596
255,3ao4,Kd,8500000,2.07,-2.82,0.0
256,3zt2,Kd,1435000,2.84,-3.88,0.0
257,3zsx,Kd,519000,3.28,-4.48,0.0
258,4cig,Kd,214000,3.67,-5.0,0.0
259,3zso,Kd,7600,5.12,-6.98,0.00013
265,4bkt,Kd,240000,3.62,-4.94,0.0
266,4w9c,Kd,22200,4.65,-6.34,5e-05
267,4w9l,Kd,9520,5.02,-6.85,0.00011
268,4w9i,Kd,1100,5.96,-8.12,0.00091
269,4w9h,Kd,185,6.73,-9.18,0.00541
270,3nq9,Kd,92600,4.03,-5.5,1e-05
271,3ueu,Kd,5810,5.24,-7.14,0.00017
272,3uev,Kd,1290,5.89,-8.03,0.00078
273,3uew,Kd,490,6.31,-8.6,0.00204
274,3uex,Kd,120,6.92,-9.44,0.00833
275,3lka,Kd,1500000,2.82,-3.85,0.0
277,3tsk,Kd,67,7.17,-9.78,0.01493
278,3nx7,Kd,7.88,8.10,-11.05,0.1269
284,1u1b,Kd,16,7.80,-10.63,0.0625
