2cet 9.6 8.02
3udh 1400000 2.85
3rsx 38800 4.41
4djv 190 6.72
2vkm 1.8 8.74
4gid 0.017 10.77
4jfs 5400 5.27
4j28 2000 5.70
2wvt 755 6.12
2xii 63.3 7.20
4pcs 14 7.85
3rr4 28050 4.55
1s38 7000 5.15
1r5y 350 6.46
3gc5 55 7.26
3ge7 2 8.70
4dli 2400 5.62
2zb1 480 6.32
4f9w 114 6.94
3e92 10 8.00
3e93 1.4 8.85
4owm 1090000 2.96
3twp 119000 3.92
3r88 15000 4.82
4gkm 6800 5.17
3qqs 1500 5.82
3gv9 7500000 2.12
3gr2 3000000 2.52
4kz6 800000 3.10
4jxs 18000 4.74
2r9w 8000 5.10
2hb1 160000 3.80
1bzc 12000 4.92
2qbr 470 6.33
2qbq 36 7.44
2qbp 4 8.40
1q8t 17500 4.76
1ydr 3000 5.52
1q8u 1100 5.96
1ydt 48 7.32
3ag9 9 8.05
3fcq 1700000 2.77
1z9g 2300 5.64
1qf1 48 7.32
5tmn 9.1 8.04
4tmn 0.068 10.17
4ddk 5130000 2.29
4ddh 480000 3.32
3ivg 50000 4.30
3coz 2700 5.57
3coy 960 6.02
3pxf 37000 4.43
4eor 500 6.30
2xnb 149 6.83
1pxn 70 7.15
2fvd 3 8.52
4k77 235 6.63
4e5w 22 7.66
4ivb 1.9 8.72
4ivd 0.3 9.52
4ivc 0.1 10.00
4f09 200 6.70
4gfm 60 7.22
4hge 11.9 7.92
4e6q 4.4 8.36
4jia 0.6 9.22
2brb 13700 4.86
2br1 7200 5.14
3jvr 1890 5.72
3jvs 290 6.54
1nvq 5.6 8.25
3acw 17500 4.76
4ea2 360 6.44
2zcr 135 6.87
2zy1 40 7.40
2zcq 1.5 8.82
1bcu 530000 3.28
3bv9 4400 5.36
1oyt 57 7.24
2zda 4 8.40
3utu 0.012 10.92
3u9q 41700 4.38
2yfe 236 6.63
3fur 10 8.00
3b1m 3.3 8.48
2p4y 1 9.00
3uo4 299 6.52
3up2 40 7.40
3e5a 5.9 8.23
2wtv 1.8 8.74
3myg 0.02 10.70
3kgp 2680000 2.57
1c5z 97000 4.01
1o5b 1700 5.77
1owh 40 7.40
1sqa 0.62 9.21
4jsz 5000000 2.30
3kwa 84000 4.08
2weg 314 6.50
3ryj 16 7.80
3dd0 1 9.00
2xdl 790000 3.10
3b27 6900 5.16
1yc1 680 6.17
3rlr 30 7.52
2yki 0.35 9.46
1z95 76 7.12
3b68 4 8.40
3b5r 1.7 8.77
3b65 0.54 9.27
3g0w 0.3 9.52
4u4s 1200000 2.92
1p1q 12800 4.89
1syi 3590 5.44
1p1n 160 6.80
2al5 4 8.40
3g2z 4400000 2.36
3g31 1300000 2.89
4de2 76000 4.12
4de3 3000 5.52
4de1 1100 5.96
1vso 18980 4.72
4dld 1500 5.82
3gbb 126 6.90
3fv2 7.7 8.11
3fv1 0.5 9.30
4mgd 20190 4.69
2qe4 11.0 7.96
1qkt 0.92 9.04
2pog 0.29 9.54
2p15 0.05 10.30
2y5h 1620 5.79
1lpg 82 7.09
2xbv 3.7 8.43
1z6e 0.19 9.72
1mq6 0.007 11.15
1nc3 10000 5.00
1nc1 750 6.12
1y6r 0.077 10.11
4f2w 0.005 11.30
4f3c 0.0015 11.82
1uto 5320000 2.27
4abg 271000 3.57
3gy4 8000 5.10
1k1i 264 6.58
1o3f 11 7.96
2yge 8620 5.06
2fxs 870 6.06
2iwx 210 6.68
2wer 90 7.05
2vw5 3 8.52
4kzq 788 6.10
4kzu 313 6.50
4j21 39 7.41
4j3l 16 7.80
3kr8 8 8.10
2ymd 693000 3.16
2wnc 479 6.32
2xys 38 7.42
2wn9 3.0 8.52
2x00 0.0047 11.33
3ozt 74900 4.13
3ozs 4645 5.33
3oe5 132 6.88
3oe4 34 7.47
3nw9 1 9.00
3ao4 8500000 2.07
3zt2 1435000 2.84
3zsx 519000 3.28
4cig 214000 3.67
3zso 7600 5.12
3n7a 200000 3.70
4ciw 15000 4.82
3n86 2300 5.64
3n76 140 6.85
2xb8 26 7.59
4bkt 240000 3.62
4w9c 22200 4.65
4w9l 9520 5.02
4w9i 1100 5.96
4w9h 185 6.73
3nq9 92600 4.03
3ueu 5810 5.24
3uev 1290 5.89
3uew 490 6.31
3uex 120 6.92
3lka 1500000 2.82
3ehy 1400 5.85
3tsk 67 7.17
3nx7 7.88 8.10
4gr0 0.28 9.55
3dxg 4000000 2.40
3d6q 172000 3.76
1w4o 6000 5.22
1o0h 1200 5.92
1u1b 16 7.80
