,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
115,3gv9,Ki,7500000,2.12,1936.65,0.0
116,3gr2,Ki,3000000,2.52,2382.13,0.0
117,4kz6,Ki,800000,3.10,2916.01,0.0
118,4jxs,Ki,18000,4.74,4010.44,6e-05
119,2r9w,Ki,8000,5.10,4199.11,0.00013
120,2hb1,Ki,160000,3.80,3440.75,1e-05
121,1bzc,Ki,12000,4.92,4106.5,8e-05
122,2qbr,Ki,470,6.33,4755.97,0.00213
123,2qbq,Ki,36,7.44,5172.39,0.02778
124,2qbp,Ki,4,8.40,5485.18,0.25
125,1q8t,Kd,17500,4.76,4021.29,6e-05
126,1ydr,Ki,3000,5.52,4403.07,0.00033
127,1q8u,Kd,1100,5.96,4600.73,0.00091
128,1ydt,Ki,48,7.32,5130.48,0.02083
129,3ag9,Ki,9,8.05,5375.49,0.11111
130,3fcq,Ki,1700000,2.77,2625.92,0.0
131,1z9g,Ki,2300,5.64,4458.5,0.00043
132,1qf1,Ki,48,7.32,5130.48,0.02083
133,5tmn,Ki,9.1,8.04,5372.28,0.10989
134,4tmn,Ki,0.068,10.17,5977.99,14.70588
135,4ddk,Kd,5130000,2.29,2135.46,0.0
136,4ddh,Kd,480000,3.32,3092.72,0.0
137,3ivg,Kd,50000,4.30,3759.35,2e-05
138,3coz,Kd,2700,5.57,4426.31,0.00037
139,3coy,Kd,960,6.02,4626.55,0.00104
140,3pxf,Kd,37000,4.43,3836.11,3e-05
141,4eor,Ki,500,6.30,4743.72,0.002
142,2xnb,Ki,149,6.83,4951.91,0.00671
143,1pxn,Ki,70,7.15,5069.92,0.01429
144,2fvd,Ki,3,8.52,5521.74,0.33333
145,4k77,Ki,235,6.63,4875.31,0.00426
146,4e5w,Ki,22,7.66,5247.5,0.04545
147,4ivb,Ki,1.9,8.72,5581.54,0.52632
148,4ivd,Ki,0.3,9.52,5807.76,3.33333
149,4ivc,Ki,0.1,10.00,5934.54,10.0
150,4f09,Ki,200,6.70,4902.38,0.005
151,4gfm,Ki,60,7.22,5095.03,0.01667
152,4hge,Ki,11.9,7.92,5333.52,0.08403
153,4e6q,Ki,4.4,8.36,5472.87,0.22727
154,4jia,Ki,0.6,9.22,5725.24,1.66667
155,2brb,Ki,13700,4.86,4074.87,7e-05
156,2br1,Ki,7200,5.14,4219.24,0.00014
157,3jvr,Ki,1890,5.72,4494.8,0.00053
158,3jvs,Kd,290,6.54,4840.08,0.00345
159,1nvq,Ki,5.6,8.25,5438.74,0.17857
160,3acw,Ki,17500,4.76,4021.29,6e-05
161,4ea2,Ki,360,6.44,4800.37,0.00278
162,2zcr,Ki,135,6.87,4966.96,0.00741
163,2zy1,Ki,40,7.40,5158.49,0.025
164,2zcq,Ki,1.5,8.82,5610.93,0.66667
165,1bcu,Kd,530000,3.28,3061.48,0.0
166,3bv9,Ki,4400,5.36,4327.26,0.00023
167,1oyt,Ki,57,7.24,5102.16,0.01754
168,2zda,Ki,4,8.40,5485.18,0.25
169,3utu,Ki,0.012,10.92,6161.38,83.33333
170,3u9q,Ki,41700,4.38,3806.86,2e-05
171,2yfe,Ki,236,6.63,4875.31,0.00424
172,3fur,Ki,10,8.00,5359.43,0.1
173,3b1m,Ki,3.3,8.48,5509.61,0.30303
174,2p4y,Ki,1,9.00,5662.99,1.0
175,3uo4,Kd,299,6.52,4832.19,0.00334
176,3up2,Kd,40,7.40,5158.49,0.025
177,3e5a,Ki,5.9,8.23,5432.48,0.16949
178,2wtv,Ki,1.8,8.74,5587.44,0.55556
179,3myg,Kd,0.02,10.70,6108.92,50.0
180,3kgp,Ki,2680000,2.57,2432.77,0.0
181,1c5z,Ki,97000,4.01,3579.39,1e-05
182,1o5b,Ki,1700,5.77,4517.23,0.00059
183,1owh,Ki,40,7.40,5158.49,0.025
184,1sqa,Ki,0.62,9.21,5722.44,1.6129
185,4jsz,Ki,5000000,2.30,2146.69,0.0
186,3kwa,Ki,84000,4.08,3623.99,1e-05
187,2weg,Kd,314,6.50,4824.27,0.00318
188,3ryj,Kd,16,7.80,5294.18,0.0625
189,3dd0,Ki,1,9.00,5662.99,1.0
190,2xdl,Kd,790000,3.10,2916.01,0.0
191,3b27,Kd,6900,5.16,4229.25,0.00014
192,1yc1,Kd,680,6.17,4689.98,0.00147
193,3rlr,Ki,30,7.52,5199.95,0.03333
194,2yki,Kd,0.35,9.46,5791.47,2.85714
195,1z95,Ki,76,7.12,5059.08,0.01316
196,3b68,Ki,4,8.40,5485.18,0.25
197,3b5r,Ki,1.7,8.77,5596.27,0.58824
198,3b65,Ki,0.54,9.27,5739.18,1.85185
199,3g0w,Ki,0.3,9.52,5807.76,3.33333
200,4u4s,Kd,1200000,2.92,2761.84,0.0
201,1p1q,Kd,12800,4.89,4090.73,8e-05
202,1syi,Ki,3590,5.44,4365.44,0.00028
203,1p1n,Kd,160,6.80,4940.56,0.00625
204,2al5,Ki,4,8.40,5485.18,0.25
205,3g2z,Ki,4400000,2.36,2213.06,0.0
206,3g31,Ki,1300000,2.89,2735.22,0.0
207,4de2,Ki,76000,4.12,3649.13,1e-05
208,4de3,Ki,3000,5.52,4403.07,0.00033
209,4de1,Ki,1100,5.96,4600.73,0.00091
210,1vso,Ki,18980,4.72,3999.54,5e-05
211,4dld,Ki,1500,5.82,4539.47,0.00067
212,3gbb,Ki,126,6.90,4978.19,0.00794
213,3fv2,Ki,7.7,8.11,5394.62,0.12987
214,3fv1,Ki,0.5,9.30,5747.51,2.0
215,4mgd,Kd,20190,4.69,3983.11,5e-05
216,2qe4,Ki,11.0,7.96,5346.51,0.09091
217,1qkt,Kd,0.92,9.04,5674.42,1.08696
218,2pog,Ki,0.29,9.54,5813.17,3.44828
219,2p15,Kd,0.05,10.30,6010.73,20.0
220,2y5h,Ki,1620,5.79,4526.15,0.00062
221,1lpg,Ki,82,7.09,5048.2,0.0122
222,2xbv,Kd,3.7,8.43,5494.37,0.27027
223,1z6e,Ki,0.19,9.72,5861.35,5.26316
224,1mq6,Ki,0.007,11.15,6215.1,142.85714
225,1nc3,Ki,10000,5.00,4148.07,0.0001
226,1nc1,Ki,750,6.12,4669.01,0.00133
227,1y6r,Ki,0.077,10.11,5962.74,12.98701
228,4f2w,Ki,0.005,11.30,6249.54,200.0
229,4f3c,Ki,0.0015,11.82,6365.5,666.66667
230,1uto,Kd,5320000,2.27,2112.85,0.0
231,4abg,Kd,271000,3.57,3279.83,0.0
232,3gy4,Kd,8000,5.10,4199.11,0.00013
233,1k1i,Kd,264,6.58,4855.8,0.00379
234,1o3f,Ki,11,7.96,5346.51,0.09091
235,2yge,Kd,8620,5.06,4178.81,0.00012
236,2fxs,Kd,870,6.06,4643.62,0.00115
237,2iwx,Kd,210,6.68,4894.67,0.00476
238,2wer,Kd,90,7.05,5033.62,0.01111
239,2vw5,Kd,3,8.52,5521.74,0.33333
240,4kzq,Kd,788,6.10,4660.57,0.00127
241,4kzu,Ki,313,6.50,4824.27,0.00319
242,4j21,Kd,39,7.41,5161.98,0.02564
243,4j3l,Kd,16,7.80,5294.18,0.0625
244,3kr8,Kd,8,8.10,5391.44,0.125
245,2ymd,Kd,693000,3.16,2965.42,0.0
246,2wnc,Kd,479,6.32,4751.89,0.00209
247,2xys,Ki,38,7.42,5165.45,0.02632
248,2wn9,Kd,3.0,8.52,5521.74,0.33333
249,2x00,Kd,0.0047,11.33,6256.37,212.76596
250,3ozt,Ki,74900,4.13,3655.38,1e-05
251,3ozs,Ki,4645,5.33,4312.8,0.00022
252,3oe5,Ki,132,6.88,4970.71,0.00758
253,3oe4,Ki,34,7.47,5182.76,0.02941
254,3nw9,Ki,1,9.00,5662.99,1.0
255,3ao4,Kd,8500000,2.07,1875.14,0.0
256,3zt2,Kd,1435000,2.84,2690.24,0.0
257,3zsx,Kd,519000,3.28,3061.48,0.0
258,4cig,Kd,214000,3.67,3351.04,0.0
259,3zso,Kd,7600,5.12,4209.19,0.00013
260,3n7a,Ki,200000,3.70,3372.02,1e-05
261,4ciw,Ki,15000,4.82,4053.57,7e-05
262,3n86,Ki,2300,5.64,4458.5,0.00043
263,3n76,Ki,140,6.85,4959.44,0.00714
264,2xb8,Ki,26,7.59,5223.83,0.03846
265,4bkt,Kd,240000,3.62,3315.68,0.0
266,4w9c,Kd,22200,4.65,3961.03,5e-05
267,4w9l,Kd,9520,5.02,4158.36,0.00011
268,4w9i,Kd,1100,5.96,4600.73,0.00091
269,4w9h,Kd,185,6.73,4913.89,0.00541
270,3nq9,Kd,92600,4.03,3592.21,1e-05
271,3ueu,Kd,5810,5.24,4268.9,0.00017
272,3uev,Kd,1290,5.89,4570.28,0.00078
273,3uew,Kd,490,6.31,4747.81,0.00204
274,3uex,Kd,120,6.92,4985.65,0.00833
275,3lka,Kd,1500000,2.82,2672.02,0.0
276,3ehy,Ki,1400,5.85,4552.72,0.00071
277,3tsk,Kd,67,7.17,5077.12,0.01493
278,3nx7,Kd,7.88,8.10,5391.44,0.1269
279,4gr0,Ki,0.28,9.55,5815.87,3.57143
280,3dxg,Ki,4000000,2.40,2256.38,0.0
281,3d6q,Ki,172000,3.76,3413.48,1e-05
282,1w4o,Ki,6000,5.22,4259.05,0.00017
283,1o0h,Ki,1200,5.92,4583.38,0.00083
284,1u1b,Kd,16,7.80,5294.18,0.0625
