Unnamed: 0,PDB code,Affinity Data Type,Affinity Data Value,pKd pKi pIC50,delta G,1/K
85,2wbg,Ki,35200.0,4.45,3847.72,3e-05
86,2cbv,Kd,3300.0,5.48,4384.33,0.0003
87,2j78,Kd,384.0,6.42,4792.35,0.0026
88,2j7h,Kd,65.0,7.19,5084.3,0.01538
89,2cet,Kd,9.6,8.02,5365.86,0.10417
90,3udh,Kd,1400000.0,2.85,2699.3,0.0
91,3rsx,Kd,38800.0,4.41,3824.45,3e-05
92,4djv,Ki,190.0,6.72,4910.06,0.00526
94,4gid,Ki,0.017,10.77,6125.73,58.82353
98,2xii,Kd,63.3,7.2,5087.88,0.0158
115,3gv9,Ki,7500000.0,2.12,1936.65,0.0
116,3gr2,Ki,3000000.0,2.52,2382.13,0.0
117,4kz6,Ki,800000.0,3.1,2916.01,0.0
118,4jxs,Ki,18000.0,4.74,4010.44,6e-05
119,2r9w,Ki,8000.0,5.1,4199.11,0.00013
120,2hb1,Ki,160000.0,3.8,3440.75,1e-05
121,1bzc,Ki,12000.0,4.92,4106.5,8e-05
122,2qbr,Ki,470.0,6.33,4755.97,0.00213
123,2qbq,Ki,36.0,7.44,5172.39,0.02778
124,2qbp,Ki,4.0,8.4,5485.18,0.25
130,3fcq,Ki,1700000.0,2.77,2625.92,0.0
131,1z9g,Ki,2300.0,5.64,4458.5,0.00043
132,1qf1,Ki,48.0,7.32,5130.48,0.02083
133,5tmn,Ki,9.1,8.04,5372.28,0.10989
134,4tmn,Ki,0.068,10.17,5977.99,14.70588
165,1bcu,Kd,530000.0,3.28,3061.48,0.0
166,3bv9,Ki,4400.0,5.36,4327.26,0.00023
167,1oyt,Ki,57.0,7.24,5102.16,0.01754
168,2zda,Ki,4.0,8.4,5485.18,0.25
169,3utu,Ki,0.012,10.92,6161.38,83.33333
180,3kgp,Ki,2680000.0,2.57,2432.77,0.0
181,1c5z,Ki,97000.0,4.01,3579.39,1e-05
182,1o5b,Ki,1700.0,5.77,4517.23,0.00059
183,1owh,Ki,40.0,7.4,5158.49,0.025
184,1sqa,Ki,0.62,9.21,5722.44,1.6129
205,3g2z,Ki,4400000.0,2.36,2213.06,0.0
206,3g31,Ki,1300000.0,2.89,2735.22,0.0
207,4de2,Ki,76000.0,4.12,3649.13,1e-05
208,4de3,Ki,3000.0,5.52,4403.07,0.00033
209,4de1,Ki,1100.0,5.96,4600.73,0.00091
220,2y5h,Ki,1620.0,5.79,4526.15,0.00062
221,1lpg,Ki,82.0,7.09,5048.2,0.0122
222,2xbv,Kd,3.7,8.43,5494.37,0.27027
223,1z6e,Ki,0.19,9.72,5861.35,5.26316
224,1mq6,Ki,0.007,11.15,6215.1,142.85714
225,1nc3,Ki,10000.0,5.0,4148.07,0.0001
226,1nc1,Ki,750.0,6.12,4669.01,0.00133
227,1y6r,Ki,0.077,10.11,5962.74,12.98701
228,4f2w,Ki,0.005,11.3,6249.54,200.0
229,4f3c,Ki,0.0015,11.82,6365.5,666.66667
230,1uto,Kd,5320000.0,2.27,2112.85,0.0
231,4abg,Kd,271000.0,3.57,3279.83,0.0
232,3gy4,Kd,8000.0,5.1,4199.11,0.00013
233,1k1i,Kd,264.0,6.58,4855.8,0.00379
234,1o3f,Ki,11.0,7.96,5346.51,0.09091
275,3lka,Kd,1500000.0,2.82,2672.02,0.0
276,3ehy,Ki,1400.0,5.85,4552.72,0.00071
277,3tsk,Kd,67.0,7.17,5077.12,0.01493
278,3nx7,Kd,7.88,8.1,5391.44,0.1269
279,4gr0,Ki,0.28,9.55,5815.87,3.57143
280,3dxg,Ki,4000000.0,2.4,2256.38,0.0
281,3d6q,Ki,172000.0,3.76,3413.48,1e-05
282,1w4o,Ki,6000.0,5.22,4259.05,0.00017
283,1o0h,Ki,1200.0,5.92,4583.38,0.00083
284,1u1b,Kd,16.0,7.8,5294.18,0.0625
