## The subset H2 of PDBbind core set v.2016, latest update: Nov 2016
### A total of 95 complexes in 19 clusters
### PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
###===============================================================================
#code   reso     year    logKa    Ka        target dSAS     VOL       HScale   GSAS  GVOL  GHScale
2al5    1.65     2005    8.40     Ki=4nM     41    0.96     273.2    -0.16     S3    V1    H2
1vso    1.85     2007    4.72     Ki=18.98uM 43    0.64     204.2    -0.38     S3    V2    H2
4dld    2.00     2012    5.82     Ki=1.5uM   43    0.86     381.4    -0.29     S3    V2    H2
3gbb    2.10     2009    6.90     Ki=126nM   43    0.92     340.9    -0.35     S3    V2    H2
3fv2    1.50     2010    8.11     Ki=7.7nM   43    0.94     357.5    -0.35     S3    V2    H2
3fv1    1.50     2010    9.30     Ki=0.5nM   43    0.95     371.0    -0.29     S3    V2    H2
1nc3    2.20     2003    5.00     Ki=10uM    46    0.95     364.0    -0.27     S3    V3    H2
1nc1    2.00     2003    6.12     Ki=0.75uM  46    0.94     403.6    -0.28     S3    V3    H2
1y6r    2.20     2005   10.11     Ki=77pM    46    0.94     420.8    -0.29     S3    V3    H2
4f2w    2.00     2013   11.30     Ki=5.0pM   46    0.95     430.4    -0.29     S3    V3    H2
4f3c    1.93     2013   11.82     Ki=1.5pM   46    0.91     469.4    -0.24     S3    V3    H2
4kzq    2.25     2013    6.10     Kd=788nM   49    0.87     348.8    -0.14     S3    V2    H2
4kzu    2.10     2013    6.50     Ki=313nM   49    0.87     356.6    -0.06     S3    V2    H2
4j21    1.93     2013    7.41     Kd=39nM    49    0.83     337.2    -0.10     S3    V2    H2
4j3l    2.09     2013    7.80     Kd=16nM    49    0.68     328.0    -0.05     S3    V2    H2
3kr8    2.10     2009    8.10     Kd=8nM     49    0.88     387.6    -0.15     S3    V2    H2
3lka    1.80     2010    2.82     Kd=1.5mM   56    0.79     266.6     0.03     S1    V3    H2
3ehy    1.90     2009    5.85     Ki=1.4uM   56    0.78     287.5    -0.03     S1    V3    H2
3tsk    2.00     2012    7.17     Kd=67nM    56    0.62     444.5    -0.13     S1    V3    H2
3nx7    1.80     2010    8.10     Kd=7.88nM  56    0.71     289.9    -0.11     S1    V3    H2
4gr0    1.50     2013    9.55     Ki=0.28nM  56    0.68     512.8    -0.24     S1    V3    H2
