#===============================================================================
## The subset S3 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 85 complexes in 17 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
3rsx    2.48     2011    4.41     Kd=38.8uM   19    0.74     214.4    -0.53     S3    V3    H2
4djv    1.73     2012    6.72     Ki=0.19uM   19    0.74     342.0    -0.05     S3    V3    H2
2vkm    2.05     2008    8.74     Ki=1.8nM    19    0.81     730.1    -0.20     S3    V3    H2
4gid    2.00     2012   10.77     Ki=0.017nM  19    0.84     775.9    -0.25     S3    V3    H2
4ddk    1.75     2013    2.29     Kd=5.13mM   28    0.82     248.0    -0.34     S3    V3    H3
4ddh    2.07     2013    3.32     Kd=0.48mM   28    0.85     306.2    -0.41     S3    V3    H3
3ivg    1.95     2009    4.30     Kd=50uM     28    0.84     500.4    -0.20     S3    V3    H3
3coz    2.00     2008    5.57     Kd=2.7uM    28    0.86     533.5    -0.11     S3    V3    H3
3coy    2.03     2008    6.02     Kd=0.96uM   28    0.87     554.6    -0.07     S3    V3    H3
4f09    2.40     2012    6.70     Ki=200nM    31    0.80     302.2    -0.26     S3    V2    H1
4gfm    2.30     2013    7.22     Ki=0.06uM   31    0.83     344.4    -0.37     S3    V2    H1
4hge    2.30     2012    7.92     Ki=11.9nM   31    0.83     433.2    -0.42     S3    V2    H1
4e6q    1.95     2012    8.36     Ki=4.4nM    31    0.82     421.4    -0.51     S3    V2    H1
4jia    1.85     2013    9.22     Ki=0.6nM    31    0.53     282.0    -0.04     S3    V2    H1
2xdl    1.98     2010    3.10     Kd=790uM    39    0.84     355.8    -0.30     S3    V3    H3
3b27    1.50     2011    5.16     Kd=6.9uM    39    0.74     297.0    -0.26     S3    V3    H3
1yc1    1.70     2005    6.17     Kd=680nM    39    0.76     372.0    -0.19     S3    V3    H3
3rlr    1.70     2011    7.52     Ki=30nM     39    0.78     389.8     0.02     S3    V3    H3
2yki    1.67     2011    9.46     Kd=0.35nM   39    0.85     607.6     0.23     S3    V3    H3
1z95    1.80     2005    7.12     Ki=76nM     40    0.94     595.2     0.27     S3    V3    H3
3b68    1.90     2008    8.40     Ki=4nM      40    0.95     620.5     0.21     S3    V3    H3
3b5r    1.80     2008    8.77     Ki=1.7nM    40    0.95     584.9     0.23     S3    V3    H3
3b65    1.80     2008    9.27     Ki=0.54nM   40    0.94     572.5     0.23     S3    V3    H3
3g0w    1.95     2009    9.52     Ki=0.3nM    40    0.96     508.0     0.40     S3    V3    H3
4u4s    1.90     2014    2.92     Kd=1200uM   41    0.87     272.9    -0.24     S3    V1    H2
1p1q    2.00     2003    4.89     Kd=12.8uM   41    0.91     253.9    -0.29     S3    V1    H2
1syi    2.10     2005    5.44     Ki=3590nM   41    0.94     317.1    -0.22     S3    V1    H2
1p1n    1.60     2003    6.80     Kd=0.16uM   41    0.85     308.4    -0.30     S3    V1    H2
2al5    1.65     2005    8.40     Ki=4nM      41    0.96     273.2    -0.16     S3    V1    H2
1vso    1.85     2007    4.72     Ki=18.98uM  43    0.64     204.2    -0.38     S3    V2    H2
4dld    2.00     2012    5.82     Ki=1.5uM    43    0.86     381.4    -0.29     S3    V2    H2
3gbb    2.10     2009    6.90     Ki=126nM    43    0.92     340.9    -0.35     S3    V2    H2
3fv2    1.50     2010    8.11     Ki=7.7nM    43    0.94     357.5    -0.35     S3    V2    H2
3fv1    1.50     2010    9.30     Ki=0.5nM    43    0.95     371.0    -0.29     S3    V2    H2
4mgd    1.90     2014    4.69     Kd=20.19uM  44    0.94     455.1     0.38     S3    V3    H3
2qe4    2.40     2007    7.96     Ki=11.0nM   44    0.90     487.6     0.30     S3    V3    H3
1qkt    2.20     2000    9.04     Kd=0.92nM   44    0.87     426.4     0.25     S3    V3    H3
2pog    1.84     2007    9.54     Ki=0.29nM   44    0.90     465.2     0.39     S3    V3    H3
2p15    1.94     2007   10.30     Kd=50pM     44    0.94     666.0     0.35     S3    V3    H3
1nc3    2.20     2003    5.00     Ki=10uM     46    0.95     364.0    -0.27     S3    V3    H2
1nc1    2.00     2003    6.12     Ki=0.75uM   46    0.94     403.6    -0.28     S3    V3    H2
1y6r    2.20     2005   10.11     Ki=77pM     46    0.94     420.8    -0.29     S3    V3    H2
4f2w    2.00     2013   11.30     Ki=5.0pM    46    0.95     430.4    -0.29     S3    V3    H2
4f3c    1.93     2013   11.82     Ki=1.5pM    46    0.91     469.4    -0.24     S3    V3    H2
4kzq    2.25     2013    6.10     Kd=788nM    49    0.87     348.8    -0.14     S3    V2    H2
4kzu    2.10     2013    6.50     Ki=313nM    49    0.87     356.6    -0.06     S3    V2    H2
4j21    1.93     2013    7.41     Kd=39nM     49    0.83     337.2    -0.10     S3    V2    H2
4j3l    2.09     2013    7.80     Kd=16nM     49    0.68     328.0    -0.05     S3    V2    H2
3kr8    2.10     2009    8.10     Kd=8nM      49    0.88     387.6    -0.15     S3    V2    H2
3n7a    2.00     2011    3.70     Ki=200uM    53    0.94     238.9    -0.39     S3    V2    H1
4ciw    2.20     2014    4.82     Ki=15.0uM   53    0.93     309.6    -0.39     S3    V2    H1
3n86    1.90     2011    5.64     Ki=2.3uM    53    0.97     459.9    -0.63     S3    V2    H1
3n76    1.90     2011    6.85     Ki=0.14uM   53    0.95     451.0    -0.61     S3    V2    H1
2xb8    2.40     2010    7.59     Ki=26nM     53    0.93     433.1    -0.51     S3    V2    H1
