#===============================================================================
## The subset V1 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 95 complexes in 19 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
2xj7    2.00     2010    6.66     Ki=220nM    13    0.93     322.8    -0.26     S3    V1    H2
2vvn    1.85     2008    7.30     Kd=50nM     13    0.94     338.5    -0.25     S3    V1    H2
3aru    1.90     2011    3.22     Kd=600uM    14    0.55     174.9    -0.17     S1    V1    H3
3arv    1.50     2011    5.64     Kd=2.3uM    14    0.40      89.2    -0.21     S1    V1    H3
3ary    1.35     2011    6.00     Kd=1.0uM    14    0.50      88.5    -0.54     S1    V1    H3
3arq    1.50     2011    6.40     Kd=0.4uM    14    0.49     151.8    -0.40     S1    V1    H3
3arp    1.55     2011    7.15     Kd=0.07uM   14    0.53     276.9     0.04     S1    V1    H3
2wbg    1.85     2009    4.45     Ki=35.2uM   18    0.69     290.6    -0.11     S2    V1    H2
2cbv    1.95     2006    5.48     Kd=3.3uM    18    0.90     215.9    -0.19     S2    V1    H2
2j78    1.65     2006    6.42     Kd=384nM    18    0.88     243.1    -0.19     S2    V1    H2
2j7h    1.95     2006    7.19     Kd=65nM     18    0.91     208.0    -0.19     S2    V1    H2
2cet    1.97     2006    8.02     Kd=9.6nM    18    0.76     338.2    -0.22     S2    V1    H2
4jfs    2.00     2013    5.27     Ki=5.4uM    20    0.67     209.1    -0.25     S1    V1    H2
4j28    1.73     2013    5.70     Ki=2.0uM    20    0.66     183.8    -0.12     S1    V1    H2
2wvt    1.80     2010    6.12     Kd=755nM    20    0.87     216.1    -0.17     S1    V1    H2
2xii    1.80     2010    7.20     Kd=63.3nM   20    0.70     265.4    -0.17     S1    V1    H2
4pcs    1.77     2014    7.85     Ki=14nM     20    0.65     188.8    -0.25     S1    V1    H2
4owm    1.99     2014    2.96     Ki=1090uM   23    0.67     139.6    -0.49     S2    V1    H1
3twp    1.83     2012    3.92     Ki=119uM    23    0.69     133.0    -0.49     S2    V1    H1
3r88    1.73     2012    4.82     Ki=15uM     23    0.65     185.9    -0.39     S2    V1    H1
4gkm    1.67     2013    5.17     Ki=6.8uM    23    0.73     263.0    -0.37     S2    V1    H1
3qqs    1.97     2012    5.82     Ki=1.5uM    23    0.78     298.0    -0.37     S2    V1    H1
3gv9    1.80     2009    2.12     Ki=7.5mM    24    0.74     194.8    -0.20     S1    V1    H2
3gr2    1.80     2009    2.52     Ki=3mM      24    0.56     112.9    -0.22     S1    V1    H2
4kz6    1.68     2014    3.10     Ki=0.8mM    24    0.67     207.1    -0.09     S1    V1    H2
4jxs    1.90     2014    4.74     Ki=18uM     24    0.68     274.2    -0.24     S1    V1    H2
2r9w    1.80     2008    5.10     Ki=8uM      24    0.58     213.4    -0.31     S1    V1    H2
2hb1    2.00     2006    3.80     Ki=160uM    25    0.84     235.5    -0.52     S2    V1    H1
1bzc    2.35     1999    4.92     Ki=12uM     25    0.67     226.4    -0.62     S2    V1    H1
2qbr    2.30     2008    6.33     Ki=0.47uM   25    0.73     292.4    -0.59     S2    V1    H1
2qbq    2.10     2008    7.44     Ki=0.036uM  25    0.68     281.0    -0.59     S2    V1    H1
2qbp    2.50     2008    8.40     Ki=0.004uM  25    0.73     369.1    -0.68     S2    V1    H1
3kgp    2.35     2009    2.57     Ki=2.68mM   37    0.74     187.8    -0.11     S1    V1    H1
1c5z    1.85     2000    4.01     Ki=97uM     37    0.85     193.1    -0.14     S1    V1    H1
1o5b    1.85     2004    5.77     Ki=1.7uM    37    0.78     223.1    -0.24     S1    V1    H1
1owh    1.61     2003    7.40     Ki=40nM     37    0.64     240.0    -0.31     S1    V1    H1
1sqa    2.00     2004    9.21     Ki=0.62nM   37    0.61     277.2    -0.39     S1    V1    H1
4jsz    1.90     2013    2.30     Ki=5000uM   38    0.66     147.8    -0.28     S2    V1    H3
3kwa    2.00     2010    4.08     Ki=84uM     38    0.81     251.1     0.12     S2    V1    H3
2weg    1.10     2009    6.50     Kd=314nM    38    0.81     211.8    -0.11     S2    V1    H3
3ryj    1.39     2011    7.80     Kd=16nM     38    0.70     226.5    -0.06     S2    V1    H3
3dd0    1.48     2009    9.00     Ki=1nM      38    0.72     227.8    -0.07     S2    V1    H3
4u4s    1.90     2014    2.92     Kd=1200uM   41    0.87     272.9    -0.24     S3    V1    H2
1p1q    2.00     2003    4.89     Kd=12.8uM   41    0.91     253.9    -0.29     S3    V1    H2
1syi    2.10     2005    5.44     Ki=3590nM   41    0.94     317.1    -0.22     S3    V1    H2
1p1n    1.60     2003    6.80     Kd=0.16uM   41    0.85     308.4    -0.30     S3    V1    H2
2al5    1.65     2005    8.40     Ki=4nM      41    0.96     273.2    -0.16     S3    V1    H2
3g2z    1.50     2009    2.36     Ki=4.4mM    42    0.52     117.0    -0.61     S1    V1    H1
3g31    1.70     2009    2.89     Ki=1.3mM    42    0.43      64.1    -0.68     S1    V1    H1
4de2    1.40     2012    4.12     Ki=76.0uM   42    0.64     227.2    -0.74     S1    V1    H1
4de3    1.44     2012    5.52     Ki=3.0uM    42    0.70     232.8    -0.80     S1    V1    H1
4de1    1.26     2012    5.96     Ki=1.1uM    42    0.70     228.0    -0.80     S1    V1    H1
1uto    1.15     2004    2.27     Kd=5.32mM   47    0.73     181.0    -0.24     S1    V1    H3
4abg    1.52     2012    3.57     Kd=271uM    47    0.63     178.6    -0.14     S1    V1    H3
3gy4    1.55     2010    5.10     Kd=8uM      47    0.80     197.9    -0.08     S1    V1    H3
1k1i    2.20     2001    6.58     Kd=264nM    47    0.53     231.0    -0.09     S1    V1    H3
1o3f    1.55     2003    7.96     Ki=0.011uM  47    0.65     232.8     0.05     S1    V1    H3
3ao4    1.95     2011    2.07     Kd=8.5mM    52    0.79     257.1    -0.38     S2    V1    H1
3zt2    1.70     2012    2.84     Kd=1435uM   52    0.73     287.9    -0.35     S2    V1    H1
3zsx    1.95     2012    3.28     Kd=519uM    52    0.61     261.6    -0.54     S2    V1    H1
4cig    1.70     2014    3.67     Kd=214uM    52    0.60     258.9    -0.58     S2    V1    H1
3zso    1.75     2012    5.12     Kd=7.6uM    52    0.60     279.9    -0.34     S2    V1    H1
4bkt    2.35     2013    3.62     Kd=240uM    54    0.57     123.8     0.12     S1    V1    H3
4w9c    2.20     2014    4.65     Kd=22.2uM   54    0.58     214.6     0.24     S1    V1    H3
4w9l    2.20     2014    5.02     Kd=9.52uM   54    0.59     278.2     0.04     S1    V1    H3
4w9i    2.40     2014    5.96     Kd=1.10uM   54    0.57     242.5     0.37     S1    V1    H3
4w9h    2.10     2014    6.73     Kd=0.185uM  54    0.61     274.5     0.16     S1    V1    H3
3nq9    1.90     2010    4.03     Kd=92.6uM   55    0.68     183.2     0.13     S2    V1    H3
3ueu    2.10     2011    5.24     Kd=5.81uM   55    0.72     302.1     0.67     S2    V1    H3
3uev    1.90     2011    5.89     Kd=1.29uM   55    0.76     311.2     0.46     S2    V1    H3
3uew    2.00     2011    6.31     Kd=0.49uM   55    0.68     307.8     0.10     S2    V1    H3
3uex    2.10     2011    6.92     Kd=0.12uM   55    0.72     355.9     0.21     S2    V1    H3
3dxg    1.39     2009    2.40     Ki=4.0mM    57    0.42     137.2    -0.57     S1    V1    H1
3d6q    1.60     2009    3.76     Ki=172uM    57    0.41     132.1    -0.88     S1    V1    H1
1w4o    1.60     2005    5.22     Ki=6uM      57    0.58     158.6    -0.88     S1    V1    H1
1o0h    1.20     2003    5.92     Ki=1.2uM    57    0.59     145.1    -0.74     S1    V1    H1
1u1b    2.00     2005    7.80     Kd=16nM     57    0.50     302.4    -0.72     S1    V1    H1
