,Datatype,Modeltype,Featuretype,Scoretype,Spearman correlation coefficient (SP),Scipy Spearman correlation coefficent (SP),Confidence interval of 90% Spearman SP,Kendall correlation coefficient (tau),Predictive index (PI)
14,all,Lasso,final,pKd_pKi_pIC50,0.619,0.6521059755448971," [0.59 ~ 0.706] 
"," 0.547
"," 0.643
"
15,all,Lasso,GAP,delta_G,-0.621,-0.6539524891555657," [-0.708 ~ -0.592] 
"," -0.540
"," -0.645
"
16,all,Lasso,GAP,Affinity_Data_Value,-0.611,-0.6469585985384023," [-0.702 ~ -0.584] 
"," -0.547
"," -0.631
"
17,all,Lasso,GAP,pKd_pKi_pIC50,0.632,0.6521217865120855," [0.59 ~ 0.706] 
"," 0.551
"," 0.659
"
18,all,ElasticNet,final,delta_G,-0.609,-0.6514307694870937," [-0.706 ~ -0.59] 
"," -0.540
"," -0.633
"
19,all,ElasticNet,final,Affinity_Data_Value,-0.633,-0.6321001773239748," [-0.689 ~ -0.568] 
"," -0.561
"," -0.667
"
20,all,ElasticNet,final,pKd_pKi_pIC50,0.614,0.6513843733702619," [0.589 ~ 0.706] 
"," 0.544
"," 0.640
"
21,all,ElasticNet,GAP,delta_G,-0.639,-0.6520142200959672," [-0.706 ~ -0.59] 
"," -0.558
"," -0.666
"
22,all,ElasticNet,GAP,Affinity_Data_Value,-0.614,-0.6280629375710587," [-0.685 ~ -0.563] 
"," -0.540
"," -0.635
"
23,all,ElasticNet,GAP,pKd_pKi_pIC50,0.626,0.6509813233050471," [0.589 ~ 0.705] 
"," 0.540
"," 0.656
"
24,all,SVR,final,delta_G,0.553,0.5919003316456013," [0.522 ~ 0.654] 
"," 0.497
"," 0.522
"
25,all,SVR,final,Affinity_Data_Value,-0.635,-0.6532744319397448," [-0.707 ~ -0.592] 
"," -0.561
"," -0.658
"
26,all,SVR,final,pKd_pKi_pIC50,-0.362,-0.3106754119959475," [-0.399 ~ -0.217] 
"," -0.342
"," -0.338
"
27,all,SVR,GAP,delta_G,0.0,," [nan ~ nan] 
"," 0.000
"," 0.000
"
28,all,SVR,GAP,Affinity_Data_Value,0.0,," [nan ~ nan] 
"," 0.000
"," 0.000
"
29,all,SVR,GAP,pKd_pKi_pIC50,0.0,," [nan ~ nan] 
"," 0.000
"," 0.000
"
30,all,DecisionTree,final,delta_G,0.2,0.3560922383144021," [0.265 ~ 0.441] 
"," 0.183
"," 0.193
"
31,all,DecisionTree,final,Affinity_Data_Value,-0.096,-0.08088700782748937," [-0.18 ~ 0.02] 
"," -0.081
"," -0.086
"
32,all,DecisionTree,final,pKd_pKi_pIC50,-0.006,0.02292147211266959," [-0.078 ~ 0.123] 
"," 0.001
"," -0.011
"
33,all,DecisionTree,GAP,delta_G,0.054,0.07204650316766097," [-0.029 ~ 0.171] 
"," 0.052
"," 0.053
"
34,all,DecisionTree,GAP,Affinity_Data_Value,0.271,0.2552382833569612," [0.159 ~ 0.347] 
"," 0.234
"," 0.224
"
35,all,DecisionTree,GAP,pKd_pKi_pIC50,0.135,0.02808164098312562," [-0.073 ~ 0.128] 
"," 0.119
"," 0.127
"
36,all,RandomForest,final,delta_G,-0.139,-0.23992909431965412," [-0.332 ~ -0.143] 
"," -0.123
"," -0.156
"
37,all,RandomForest,final,Affinity_Data_Value,0.039,-0.007873084071316752," [-0.108 ~ 0.093] 
"," 0.053
"," 0.043
"
38,all,RandomForest,final,pKd_pKi_pIC50,0.025,0.1221423134929037," [0.022 ~ 0.22] 
"," 0.035
"," 0.010
"
39,all,RandomForest,GAP,delta_G,0.033,-0.0030452959589761484," [-0.104 ~ 0.097] 
"," 0.032
"," 0.013
"
40,all,RandomForest,GAP,Affinity_Data_Value,0.242,0.08709318015456598," [-0.014 ~ 0.186] 
"," 0.221
"," 0.231
"
41,all,RandomForest,GAP,pKd_pKi_pIC50,0.005,0.09767212020879269," [-0.003 ~ 0.196] 
"," 0.025
"," 0.003
"
42,ki,linearRegression,final,delta_G,-0.621,-0.642931208240456," [-0.698 ~ -0.58] 
"," -0.547
"," -0.645
"
43,ki,linearRegression,final,Affinity_Data_Value,-0.63,-0.6382286118847061," [-0.694 ~ -0.575] 
"," -0.561
"," -0.651
"
44,ki,linearRegression,final,pKd_pKi_pIC50,0.616,0.6395183720933934," [0.576 ~ 0.695] 
"," 0.544
"," 0.637
"
45,ki,linearRegression,GAP,delta_G,-0.649,-0.6632604832982836," [-0.716 ~ -0.603] 
"," -0.572
"," -0.668
"
46,ki,linearRegression,GAP,Affinity_Data_Value,-0.588,-0.6481687855187802," [-0.703 ~ -0.586] 
"," -0.502
"," -0.612
"
47,ki,linearRegression,GAP,pKd_pKi_pIC50,0.653,0.6624600854838893," [0.602 ~ 0.715] 
"," 0.575
"," 0.671
"
48,ki,Ridge,final,delta_G,-0.625,-0.6541481822740463," [-0.708 ~ -0.593] 
"," -0.554
"," -0.648
"
49,ki,Ridge,final,Affinity_Data_Value,-0.589,-0.6464321710898806," [-0.701 ~ -0.584] 
"," -0.526
"," -0.605
"
50,ki,Ridge,final,pKd_pKi_pIC50,0.621,0.6522910416198574," [0.59 ~ 0.706] 
"," 0.547
"," 0.642
"
51,ki,Ridge,GAP,delta_G,-0.633,-0.653986703051777," [-0.708 ~ -0.592] 
"," -0.554
"," -0.656
"
52,ki,Ridge,GAP,Affinity_Data_Value,-0.621,-0.6451069010040652," [-0.7 ~ -0.582] 
"," -0.551
"," -0.641
"
53,ki,Ridge,GAP,pKd_pKi_pIC50,0.644,0.654226200325255," [0.593 ~ 0.708] 
"," 0.568
"," 0.664
"
54,ki,Lasso,final,delta_G,-0.621,-0.652284561715272," [-0.706 ~ -0.59] 
"," -0.551
"," -0.644
"
55,ki,Lasso,final,Affinity_Data_Value,-0.614,-0.6478600828643296," [-0.703 ~ -0.585] 
"," -0.547
"," -0.636
"
56,ki,Lasso,final,pKd_pKi_pIC50,0.612,0.6532946492420513," [0.592 ~ 0.707] 
"," 0.547
"," 0.635
"
57,ki,Lasso,GAP,delta_G,-0.635,-0.6548319418059024," [-0.709 ~ -0.593] 
"," -0.561
"," -0.655
"
58,ki,Lasso,GAP,Affinity_Data_Value,-0.596,-0.6362970819258765," [-0.693 ~ -0.572] 
"," -0.530
"," -0.622
"
59,ki,Lasso,GAP,pKd_pKi_pIC50,0.626,0.6540546124518324," [0.592 ~ 0.708] 
"," 0.547
"," 0.652
"
60,ki,ElasticNet,final,delta_G,-0.626,-0.654240456115343," [-0.708 ~ -0.593] 
"," -0.551
"," -0.651
"
61,ki,ElasticNet,final,Affinity_Data_Value,-0.63,-0.6257182488958609," [-0.683 ~ -0.56] 
"," -0.551
"," -0.665
"
62,ki,ElasticNet,final,pKd_pKi_pIC50,0.63,0.6534978590498508," [0.592 ~ 0.708] 
"," 0.558
"," 0.653
"
63,ki,ElasticNet,GAP,delta_G,-0.633,-0.6543026631993633," [-0.708 ~ -0.593] 
"," -0.561
"," -0.658
"
64,ki,ElasticNet,GAP,Affinity_Data_Value,-0.607,-0.6297173868098147," [-0.687 ~ -0.565] 
"," -0.533
"," -0.630
"
65,ki,ElasticNet,GAP,pKd_pKi_pIC50,0.639,0.6541023045495813," [0.593 ~ 0.708] 
"," 0.558
"," 0.662
"
66,ki,SVR,final,delta_G,0.44,0.42750935147917496," [0.342 ~ 0.506] 
"," 0.367
"," 0.399
"
67,ki,SVR,final,Affinity_Data_Value,-0.626,-0.6559804400946269," [-0.71 ~ -0.595] 
"," -0.551
"," -0.650
"
68,ki,SVR,final,pKd_pKi_pIC50,0.084,0.023481160127848785," [-0.077 ~ 0.124] 
"," 0.093
"," 0.064
"
69,ki,SVR,GAP,delta_G,0.0,," [nan ~ nan] 
"," 0.000
"," 0.000
"
70,ki,SVR,GAP,Affinity_Data_Value,0.0,," [nan ~ nan] 
"," 0.000
"," 0.000
"
71,ki,SVR,GAP,pKd_pKi_pIC50,0.0,," [nan ~ nan] 
"," 0.000
"," 0.000
"
72,ki,DecisionTree,final,delta_G,0.091,0.03674297341490429," [-0.064 ~ 0.137] 
"," 0.088
"," 0.072
"
73,ki,DecisionTree,final,Affinity_Data_Value,0.012,-0.06649301285316046," [-0.166 ~ 0.034] 
"," 0.009
"," 0.012
"
74,ki,DecisionTree,final,pKd_pKi_pIC50,-0.018,0.006901088614041639," [-0.094 ~ 0.107] 
"," -0.013
"," -0.013
"
75,ki,DecisionTree,GAP,delta_G,-0.02,-0.01156948812603722," [-0.112 ~ 0.089] 
"," -0.015
"," -0.022
"
76,ki,DecisionTree,GAP,Affinity_Data_Value,-0.155,-0.21652159817435818," [-0.31 ~ -0.119] 
"," -0.130
"," -0.159
"
77,ki,DecisionTree,GAP,pKd_pKi_pIC50,0.148,0.2492528196497849," [0.153 ~ 0.341] 
"," 0.124
"," 0.122
"
78,ki,RandomForest,final,delta_G,0.049,-0.15556929009120143," [-0.252 ~ -0.056] 
"," 0.049
"," 0.059
"
79,ki,RandomForest,final,Affinity_Data_Value,0.181,0.23322550342791862," [0.136 ~ 0.326] 
"," 0.151
"," 0.194
"
80,ki,RandomForest,final,pKd_pKi_pIC50,-0.153,-0.035245890383163565," [-0.135 ~ 0.065] 
"," -0.126
"," -0.178
"
81,ki,RandomForest,GAP,delta_G,0.128,0.0641557209272158," [-0.037 ~ 0.164] 
"," 0.091
"," 0.144
"
82,ki,RandomForest,GAP,Affinity_Data_Value,0.315,0.12776533205386345," [0.028 ~ 0.225] 
"," 0.251
"," 0.333
"
83,ki,RandomForest,GAP,pKd_pKi_pIC50,0.089,0.17613832898172327," [0.077 ~ 0.272] 
"," 0.076
"," 0.087
"
84,kd,linearRegression,final,delta_G,-0.612,-0.6226713977597843," [-0.681 ~ -0.557] 
"," -0.530
"," -0.640
"
85,kd,linearRegression,final,Affinity_Data_Value,-0.646,-0.6638838501194035," [-0.717 ~ -0.604] 
"," -0.568
"," -0.668
"
86,kd,linearRegression,final,pKd_pKi_pIC50,0.614,0.6109419928715769," [0.544 ~ 0.67] 
"," 0.537
"," 0.643
"
87,kd,linearRegression,GAP,delta_G,-0.591,-0.6366493295391413," [-0.693 ~ -0.573] 
"," -0.502
"," -0.621
"
88,kd,linearRegression,GAP,Affinity_Data_Value,-0.289,-0.402760283881673," [-0.484 ~ -0.315] 
"," -0.235
"," -0.310
"
89,kd,linearRegression,GAP,pKd_pKi_pIC50,0.533,0.6285650005783391," [0.564 ~ 0.686] 
"," 0.453
"," 0.570
"
90,kd,Ridge,final,delta_G,-0.607,-0.6440133523062255," [-0.699 ~ -0.581] 
"," -0.533
"," -0.635
"
91,kd,Ridge,final,Affinity_Data_Value,-0.644,-0.6543117350657829," [-0.708 ~ -0.593] 
"," -0.568
"," -0.668
"
92,kd,Ridge,final,pKd_pKi_pIC50,0.612,0.646517965026592," [0.584 ~ 0.701] 
"," 0.540
"," 0.639
"
93,kd,Ridge,GAP,delta_G,-0.621,-0.6457211959587655," [-0.701 ~ -0.583] 
"," -0.530
"," -0.650
"
94,kd,Ridge,GAP,Affinity_Data_Value,-0.44,-0.5391550179121732," [-0.607 ~ -0.464] 
"," -0.365
"," -0.467
"
95,kd,Ridge,GAP,pKd_pKi_pIC50,0.563,0.630466982172259," [0.566 ~ 0.687] 
"," 0.477
"," 0.595
"
96,kd,Lasso,final,delta_G,-0.625,-0.6488302541788625," [-0.703 ~ -0.587] 
"," -0.547
"," -0.646
"
97,kd,Lasso,final,Affinity_Data_Value,-0.623,-0.6492265651433083," [-0.704 ~ -0.587] 
"," -0.554
"," -0.644
"
98,kd,Lasso,final,pKd_pKi_pIC50,0.616,0.6503193362525979," [0.588 ~ 0.705] 
"," 0.544
"," 0.641
"
99,kd,Lasso,GAP,delta_G,-0.63,-0.6541354816610587," [-0.708 ~ -0.593] 
"," -0.561
"," -0.652
"
100,kd,Lasso,GAP,Affinity_Data_Value,-0.621,-0.6491638396669213," [-0.704 ~ -0.587] 
"," -0.554
"," -0.644
"
101,kd,Lasso,GAP,pKd_pKi_pIC50,0.623,0.6483481492777053," [0.586 ~ 0.703] 
"," 0.533
"," 0.651
"
102,kd,ElasticNet,final,delta_G,-0.626,-0.6482670208722955," [-0.703 ~ -0.586] 
"," -0.554
"," -0.651
"
103,kd,ElasticNet,final,Affinity_Data_Value,-0.63,-0.6356229126528067," [-0.692 ~ -0.572] 
"," -0.561
"," -0.662
"
104,kd,ElasticNet,final,pKd_pKi_pIC50,0.621,0.6496244312848547," [0.587 ~ 0.704] 
"," 0.547
"," 0.646
"
105,kd,ElasticNet,GAP,delta_G,-0.626,-0.6510336809340975," [-0.705 ~ -0.589] 
"," -0.558
"," -0.649
"
106,kd,ElasticNet,GAP,Affinity_Data_Value,-0.621,-0.6291917369498433," [-0.686 ~ -0.564] 
"," -0.544
"," -0.642
"
107,kd,ElasticNet,GAP,pKd_pKi_pIC50,0.621,0.6491970167783987," [0.587 ~ 0.704] 
"," 0.533
"," 0.649
"
108,kd,SVR,final,delta_G,0.562,0.6081979372545087," [0.541 ~ 0.668] 
"," 0.506
"," 0.531
"
109,kd,SVR,final,Affinity_Data_Value,-0.633,-0.6453225522286689," [-0.7 ~ -0.583] 
"," -0.561
"," -0.663
"
110,kd,SVR,final,pKd_pKi_pIC50,-0.558,-0.6003891118512045," [-0.661 ~ -0.532] 
"," -0.498
"," -0.526
"
111,kd,SVR,GAP,delta_G,0.0,," [nan ~ nan] 
"," 0.000
"," 0.000
"
112,kd,SVR,GAP,Affinity_Data_Value,0.0,," [nan ~ nan] 
"," 0.000
"," 0.000
"
113,kd,SVR,GAP,pKd_pKi_pIC50,0.0,," [nan ~ nan] 
"," 0.000
"," 0.000
"
114,kd,DecisionTree,final,delta_G,-0.091,-0.12376589539688848," [-0.222 ~ -0.024] 
"," -0.080
"," -0.079
"
115,kd,DecisionTree,final,Affinity_Data_Value,0.135,0.02398907401415454," [-0.077 ~ 0.124] 
"," 0.114
"," 0.106
"
116,kd,DecisionTree,final,pKd_pKi_pIC50,-0.057,0.004867649570668636," [-0.096 ~ 0.105] 
"," -0.049
"," -0.041
"
117,kd,DecisionTree,GAP,delta_G,0.049,0.01741900030929921," [-0.083 ~ 0.118] 
"," 0.044
"," 0.033
"
118,kd,DecisionTree,GAP,Affinity_Data_Value,0.277,0.23888957498638635," [0.142 ~ 0.331] 
"," 0.244
"," 0.231
"
119,kd,DecisionTree,GAP,pKd_pKi_pIC50,0.095,0.1353721301252057," [0.035 ~ 0.233] 
"," 0.089
"," 0.085
"
120,kd,RandomForest,final,delta_G,-0.014,-0.1787263955101177," [-0.274 ~ -0.08] 
"," -0.021
"," -0.015
"
121,kd,RandomForest,final,Affinity_Data_Value,-0.046,-0.062644088785523," [-0.162 ~ 0.038] 
"," -0.011
"," -0.033
"
122,kd,RandomForest,final,pKd_pKi_pIC50,0.228,0.23595069210037375," [0.139 ~ 0.329] 
"," 0.186
"," 0.244
"
123,kd,RandomForest,GAP,delta_G,-0.126,-0.17672280901229784," [-0.272 ~ -0.078] 
"," -0.123
"," -0.142
"
124,kd,RandomForest,GAP,Affinity_Data_Value,0.111,0.12895598330109762," [0.029 ~ 0.227] 
"," 0.110
"," 0.121
"
125,kd,RandomForest,GAP,pKd_pKi_pIC50,-0.121,0.05077059713803313," [-0.05 ~ 0.151] 
"," -0.090
"," -0.128
"
