#===============================================================================
## The subset H1 of PDBbind core set v.2016, latest update: Nov 2016
## A total of 95 complexes in 19 clusters
## PDB code, resolution, release year, -logKd/Ki, original Kd/Ki, cluster ID, deltaSAS, deltaVOL, Hydrophobic scale, group ID of deltaSAS, group ID of deltaVOL, group ID of H-Scale
##===============================================================================
#code   reso     year    logKa    Ka        target  dSAS     VOL      HScale    GSAS  GVOL  GHScale
1nvq    2.00     2003    8.25     Ki=5.6nM    32    0.79     423.4    -0.54     S2    V2    H1
1bcu    2.00     1998    3.28     Kd=0.53mM   34    0.64     216.1    -0.22     S1    V2    H1
3bv9    1.80     2008    5.36     Ki=4.4uM    34    0.58     366.9    -0.25     S1    V2    H1
1oyt    1.67     2003    7.24     Ki=0.057uM  34    0.75     391.8    -0.20     S1    V2    H1
2zda    1.73     2008    8.40     Ki=4nM      34    0.75     394.6    -0.25     S1    V2    H1
3utu    1.55     2012   10.92     Ki=0.012nM  34    0.71     445.5    -0.40     S1    V2    H1
3kgp    2.35     2009    2.57     Ki=2.68mM   37    0.74     187.8    -0.11     S1    V1    H1
1c5z    1.85     2000    4.01     Ki=97uM     37    0.85     193.1    -0.14     S1    V1    H1
1o5b    1.85     2004    5.77     Ki=1.7uM    37    0.78     223.1    -0.24     S1    V1    H1
1owh    1.61     2003    7.40     Ki=40nM     37    0.64     240.0    -0.31     S1    V1    H1
1sqa    2.00     2004    9.21     Ki=0.62nM   37    0.61     277.2    -0.39     S1    V1    H1
3g2z    1.50     2009    2.36     Ki=4.4mM    42    0.52     117.0    -0.61     S1    V1    H1
3g31    1.70     2009    2.89     Ki=1.3mM    42    0.43      64.1    -0.68     S1    V1    H1
4de2    1.40     2012    4.12     Ki=76.0uM   42    0.64     227.2    -0.74     S1    V1    H1
4de3    1.44     2012    5.52     Ki=3.0uM    42    0.70     232.8    -0.80     S1    V1    H1
4de1    1.26     2012    5.96     Ki=1.1uM    42    0.70     228.0    -0.80     S1    V1    H1
2y5h    1.33     2011    5.79     Ki=1620nM   45    0.69     340.8    -0.17     S1    V2    H1
1lpg    2.00     2003    7.09     Ki=82nM     45    0.65     367.5    -0.46     S1    V2    H1
2xbv    1.66     2010    8.43     Kd=3.7nM    45    0.75     397.5    -0.34     S1    V2    H1
1z6e    1.80     2006    9.72     Ki=0.19nM   45    0.71     403.9    -0.42     S1    V2    H1
1mq6    2.10     2003   11.15     Ki=7pM      45    0.69     392.1    -0.42     S1    V2    H1
2yge    1.96     2011    5.06     Kd=8.62uM   48    0.68     359.0    -0.25     S2    V2    H1
2fxs    2.00     2007    6.06     Kd=0.87uM   48    0.64     303.4    -0.36     S2    V2    H1
2iwx    1.50     2006    6.68     Kd=0.21uM   48    0.73     306.4    -0.31     S2    V2    H1
2wer    1.60     2009    7.05     Kd=90nM     48    0.76     339.5    -0.31     S2    V2    H1
2vw5    1.90     2008    8.52     Kd=3nM      48    0.76     401.9    -0.56     S2    V2    H1
3ozt    1.48     2011    4.13     Ki=74.9uM   51    0.79     432.8    -0.46     S2    V3    H1
3ozs    1.44     2011    5.33     Ki=4645nM   51    0.80     469.2    -0.45     S2    V3    H1
3oe5    1.52     2011    6.88     Ki=132nM    51    0.79     456.8    -0.43     S2    V3    H1
3oe4    1.49     2011    7.47     Ki=34nM     51    0.79     462.5    -0.44     S2    V3    H1
3nw9    1.65     2011    9.00     Ki=1nM      51    0.77     452.6    -0.50     S2    V3    H1
3ao4    1.95     2011    2.07     Kd=8.5mM    52    0.79     257.1    -0.38     S2    V1    H1
3zt2    1.70     2012    2.84     Kd=1435uM   52    0.73     287.9    -0.35     S2    V1    H1
3zsx    1.95     2012    3.28     Kd=519uM    52    0.61     261.6    -0.54     S2    V1    H1
4cig    1.70     2014    3.67     Kd=214uM    52    0.60     258.9    -0.58     S2    V1    H1
3zso    1.75     2012    5.12     Kd=7.6uM    52    0.60     279.9    -0.34     S2    V1    H1
3n7a    2.00     2011    3.70     Ki=200uM    53    0.94     238.9    -0.39     S3    V2    H1
4ciw    2.20     2014    4.82     Ki=15.0uM   53    0.93     309.6    -0.39     S3    V2    H1
3n86    1.90     2011    5.64     Ki=2.3uM    53    0.97     459.9    -0.63     S3    V2    H1
3n76    1.90     2011    6.85     Ki=0.14uM   53    0.95     451.0    -0.61     S3    V2    H1
2xb8    2.40     2010    7.59     Ki=26nM     53    0.93     433.1    -0.51     S3    V2    H1
3dxg    1.39     2009    2.40     Ki=4.0mM    57    0.42     137.2    -0.57     S1    V1    H1
3d6q    1.60     2009    3.76     Ki=172uM    57    0.41     132.1    -0.88     S1    V1    H1
1w4o    1.60     2005    5.22     Ki=6uM      57    0.58     158.6    -0.88     S1    V1    H1
1o0h    1.20     2003    5.92     Ki=1.2uM    57    0.59     145.1    -0.74     S1    V1    H1
1u1b    2.00     2005    7.80     Kd=16nM     57    0.50     302.4    -0.72     S1    V1    H1
