PDB code, PI_COUNT, NI_COUNT, AR_COUNT, H_COUNT, HBD_COUNT, HBA_COUNT, XBD_COUNT, XBA_COUNT, HBD_N3_COUNT, HBD_N2_COUNT, HBD_Nar_COUNT, HBD_Nam_COUNT, HBD_Npl3_COUNT, HBD_N4_COUNT, HBD_O3_COUNT, HBD_S3_COUNT, HBA_N3_COUNT, HBA_N2_COUNT, HBA_N1_COUNT, HBA_Nar_COUNT, HBA_Npl3_COUNT, HBA_O3_COUNT, HBA_O2_COUNT, HBA_Oco2_COUNT, HBA_S3_COUNT, HBA_S2_COUNT, HVY_ATOM_COUNT, ROT_BOND_COUNT, TOTAL_HYD, LOGP, TPSA
4kcx,0,0,1,12,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3,0,1,1,0,0,0,29,7,5.172622893246,2.463808674054,95.64
1fkh,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,33,10,7.889662341538,6.1240441301578,63.68
3gvb,0,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,16,2,1.275946852272,0.1124476164784,80.67
4xk9,1,0,0,22,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,0,50,1,8.6270299966766,5.3237532498302,100.58
1k4h,1,0,1,9,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,1,0,1,0,1,0,18,4,2.862809133627,0.725983696208,120.41
3d52,0,0,1,9,0,0,1,0,0,0,0,0,2,0,4,0,0,1,0,0,1,4,1,0,0,0,23,4,3.87462878118,0.2010249277603,143.64
3bra,1,0,1,5,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,10,2,1.58913995575,1.3990168242109,47.87
1qbr,0,0,6,27,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,2,3,0,0,0,54,12,8.594256505511,4.6895874546518,204.47
5j82,0,0,2,15,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,2,3,0,0,0,29,5,5.755427278051,3.593354929469,130.92
6rfw,0,0,2,20,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,36,8,7.467886578977,5.8073743637196,71
5llg,0,0,1,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,14,4,3.347271247258,1.826921582073,93.84
4j93,0,0,3,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,21,2,3.17248630191,1.7435894276778,70.67
4q1y,0,0,2,17,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,3,0,0,0,38,12,5.795077802147,2.4304850720863,148.8
5w2s,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,18,5,2.040324049761,0.966319779509,79.27
4rra,2,0,2,3,0,0,0,0,0,0,1,1,2,3,3,0,0,0,0,3,0,4,1,0,0,0,26,5,1.322304756254,-2.9036801162761,197.53
5fs5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,19,8,3.028266446827,-0.1483365370168,99.38
4oma,0,1,1,5,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,2,1,3,0,0,22,6,1.587162342515,-1.11059763396896,165.71
6d2o,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0.211887964842,-0.6030034371524,24.72
3iww,0,2,1,13,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,4,0,0,29,12,5.154970256925,2.7559133843416,150.49
3mzc,0,0,1,10,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,19,3,3.102019031771,0.5343407981053,109.67
4n9a,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,17,1,1.952386864525,0.5752925995712,52.49
6ets,1,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,0,0,1,0,0,0,10,2,0,-0.8179958460599,111.2
2y80,1,0,3,19,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,33,5,6.426727447751,4.5828927726975,79.3
3l59,1,0,1,10,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,17,2,3.687232209359,2.4152628576524,57.93
6ggb,1,0,4,13,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,23,4,4.307145137796,3.2551267485269,49.78
2vsl,2,1,1,12,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,3,2,0,0,34,13,4.109815392553,1.0491820366691,162.89
4nvp,0,1,2,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,2,0,2,0,0,22,1,1.950208519096,-1.4169473600516,154.59
5wxh,3,1,0,12,0,0,0,0,0,2,0,8,3,3,2,0,0,0,0,0,2,2,7,2,0,0,57,28,4.573053763706,-3.3757182219861,389.56
3zi0,0,1,3,15,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,3,2,0,0,0,31,8,5.391574047637,1.702243955543,144.25
5fe7,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,14,2,0.864923009199,-0.3327352448366,55.12
2ewb,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,21,5,3.681228334528,2.7049151294326,124.54
1n3i,2,0,1,1,0,0,0,0,0,1,1,1,0,1,2,0,0,0,0,1,0,2,1,0,0,0,19,3,0.313193103478,-2.36315542451076,103.76
3jdw,2,1,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,9,4,0.679683881758,0.1620882573406,95.41
2bfr,1,2,2,4,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,3,0,3,0,5,0,0,27,6,1.31802870255,-3.7283097760557,261.96
1nf8,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,0,0,16,4,1.04168561572,-0.0368864625793998,109.72
4l4v,0,0,0,2,0,0,0,0,0,0,0,1,0,0,5,0,0,1,0,0,1,5,2,0,0,0,23,5,0.365399277347,-4.6154138717454,175.28
1o2j,1,0,3,11,0,0,0,0,0,1,2,0,2,0,1,0,0,1,0,1,1,2,0,0,0,0,24,5,3.794366006862,3.2782579449427,109.26
4kxb,1,1,1,9,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,1,1,2,0,0,22,8,3.666215509923,1.997775841021,117.1
2p3b,0,0,4,34,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,2,6,0,0,0,66,25,11.452606381958,5.625450081228,233.52
6o0k,1,0,5,27,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,2,0,1,5,0,0,0,61,13,10.3441289174528,6.9173560082447,184.29
4ibi,0,1,3,21,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,2,0,0,38,6,6.759134899823,4.4285097163523,116.2
1l83,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1.913920278408,1.913920278408,0
2oc2,0,2,2,18,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,3,2,0,0,44,13,5.678020708644,2.2287370700546,169.86
2E+094,0,2,2,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,5,2,0,0,0,29,6,4.250088481094,0.828599677616481,169.47
6d1b,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,18,3,1.768356208318,0.2375355571863,108.53
3uxk,0,0,1,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,10,1,1.908126668818,0.4515458498956,49.33
5efc,2,3,1,6,0,0,0,0,0,2,1,1,1,0,2,0,0,0,0,1,0,3,1,7,0,0,32,8,1.561623234806,-4.0969838017803,336.05
3jvr,1,0,1,11,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,23,4,4.180926511763,2.8244166280331,64.66
1oss,0,0,1,6,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,9,1,1.908126668818,1.4213652516236,49.87
4cp5,1,3,2,5,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,1,1,5,1,0,27,9,1.82050772189,-3.1626805122151,248.38
5fh7,1,0,2,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,19,1,3.251868830109,2.2617645799571,37.04
2a5s,1,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,10,4,0.339841940879,-0.4165076485154,107.9
6n0j,0,0,3,17,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,31,4,5.681497839053,4.0444113109059,62.55
3rlq,2,0,1,10,0,0,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,22,3,3.619316887456,1.0908222354966,73.32
3ozs,1,0,2,9,0,3,0,0,0,0,1,1,0,0,4,0,0,0,0,1,0,5,3,0,0,0,33,7,3.511678027533,-0.3873302267252,184.14
5fsx,1,2,2,4,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,3,0,3,0,5,0,0,27,6,1.31802870255,-3.7283097760557,261.96
3ejp,1,0,1,8,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,3,1,0,0,0,21,3,2.587810550576,-0.1740716552822,82.2
1c5y,0,0,2,4,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,12,1,1.270153242682,0.4995419796017,91
1dl7,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,20,7,2.947309051127,0.6867035173729,114.22
1b40,3,1,1,12,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,2,2,0,0,30,15,3.947178314092,1.9990609806206,181.25
3uri,2,1,1,16,0,0,0,0,0,0,0,6,0,4,1,0,0,4,0,0,0,1,6,2,1,0,65,28,6.293316599051,-1.8299280767742,342.92
1li3,0,0,1,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,2.215569754696,2.1167252206461,20.23
4m12,0,0,3,11,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,1,2,0,0,0,25,5,3.445398300027,0.7710082404246,125.26
5byi,0,0,2,11,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,19,4,3.926852366634,1.8057998388439,118.62
5fyx,2,0,2,13,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,25,4,4.592574167094,3.3867286496707,49.45
4bup,2,1,2,7,0,0,0,0,0,0,1,0,2,3,2,1,0,0,0,3,0,3,0,2,0,0,27,7,2.604605865823,-0.5349267032981,227.13
3lvw,1,2,0,3,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,2,4,1,0,20,9,1.007847359438,-1.2506916801016,204.9
6of5,0,1,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,28,13,8.8041488944208,6.9755471528394,82.23
1d7i,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,2,0.977142271114,-0.6366634385132,61.58
2qtn,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,3,0,5,0,0,22,5,0.249101482818,-2.79130489558356,175.29
2zcr,0,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,28,10,6.7222002631066,4.1729838226906,138.58
4fev,0,0,3,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,21,2,4.961321353255,3.3428043193631,69.62
1f0t,0,0,3,10,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,1,1,1,3,0,0,0,30,6,3.193341529721,0.4307133047536,186.09
3u9q,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,8,4.327883620904,3.986618454473,40.13
5vja,0,0,2,10,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,2,0,1,0,23,4,3.703930032903,1.3097783386315,127.67
2bfq,1,2,2,5,0,0,0,0,0,0,1,0,2,0,5,0,0,0,0,3,0,7,0,4,0,0,36,9,1.567130185368,-5.8659868062281,318.05
6hai,0,1,5,24,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,5,6,2,0,0,62,13,7.379843856956,3.4435148517427,273.06
4umb,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,10,3,0.751580502158,-0.7731934863024,122.36
3s71,0,0,2,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,13,1,1.908126668818,0.3600539254673,81.68
1a4w,1,0,3,17,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,1,2,0,4,0,0,0,42,14,5.596460949318,2.6049655803986,199.94
4zvi,1,1,1,8,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,23,5,3.59322256279,0.8777036218749,112.3
5t8p,0,0,2,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,17,1,1.5192547255,0.0783733780534998,93.45
3gcs,0,0,3,17,0,3,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,2,0,0,0,32,6,5.404978706008,2.967434806883,92.35
4egk,0,0,1,9,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,1,0,0,25,0,3.416047018533,2.4943374424448,96.36
5a81,1,0,1,10,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,1,0,0,0,27,5,3.912965587438,2.0451524704301,79.86
1jev,3,1,0,7,0,0,0,0,0,0,0,2,0,9,0,0,0,1,0,0,0,0,2,2,0,0,33,15,2.478680398322,0.4810809182354,193.61
3po1,2,0,2,8,0,0,0,0,0,2,0,0,3,0,1,0,0,0,0,0,1,1,0,1,0,0,20,6,2.585157925802,0.6564679260706,142.29
4i5c,1,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,23,3,1.44722774014,-1.2635042216652,101.14
2qd8,0,0,2,18,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,3,0,0,0,40,12,5.974294054715,2.9970006731426,141.24
6qgg,2,1,5,33,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,5,2,1,0,60,18,11.314134186561,7.5180695568463,202.58
5d6j,1,3,2,5,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,3,0,3,0,7,0,0,31,8,1.567130185368,-4.5888978587347,321.13
2vwc,0,0,0,10,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,4,0,0,0,40,5,3.552925230002,1.0417312467197,143.25
3gtc,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,2,1,0,15,2,2.100820102742,1.416436084084,120.5
2f6t,0,1,1,10,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,4,0,0,0,26,5,3.493396199503,0.768382986698,136.25
5i3v,0,0,3,17,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,30,7,6.758184836177,4.607086243755,80.9
1g3e,0,1,1,6,0,0,0,0,0,1,0,0,2,0,1,0,0,2,0,0,1,1,0,2,0,0,17,4,2.0858253655,0.6487534187097,122.59
2xde,0,0,2,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,32,7,4.154576952048,2.7271848089026,61.77
5var,1,0,1,10,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,18,3,3.504871650795,2.3280804630282,24.67
1sdt,2,0,3,19,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,1,0,2,2,0,0,0,45,12,6.608905256559,2.7033499969552,120.43
2jdm,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,12,1,0.50247901934,-1.9264027521227,79.15
3e5u,0,1,1,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,12,2,2.209776145106,1.6237474995083,60.36
6qlr,0,0,3,16,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,1,0,31,5,4.854778009907,2.3919857433931,125.93
5j1r,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,14,3,1.270153242682,0.8806216761816,35.14
6otg,1,0,2,17,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,4,3,0,0,0,41,14,5.704337344086,2.0260910128775,148.62
1qbt,2,0,4,27,0,0,0,0,0,2,0,2,0,0,2,0,0,2,0,0,0,2,3,0,0,0,62,12,8.653688274693,2.955892405283,174.87
6np4,5,0,0,2,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,9,0,0,0,0,32,6,0.679683881758,-4.2473105026686,276.27
6cq1,2,0,2,9,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,1,1,0,1,0,0,1,39,11,3.181444450393,0.4456210637529,111.42
3lka,0,0,1,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,12,2,1.838241438568,0.2416096394194,77.77
3ewj,0,1,4,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,0,35,6,6.64737176144,4.4407620725859,91.35
1bcd,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,1,0.878669487171,-1.158313433625,68.54
3p58,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,12,3,2.458525071515,1.8429090580303,35.33
5nki,0,0,3,13,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,3,0,0,0,33,6,4.313618185929,2.2723101614347,137.25
6nzv,0,0,2,24,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,2,6,0,0,0,58,9,9.044374283664,4.0099125268441,203.6
1fl3,0,1,2,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,23,7,4.512676073883,3.5478855300363,69.23
6iht,1,2,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,2,5,0,0,19,8,0.249101482818,-3.043319495822,208.2
4flp,0,0,3,16,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,31,5,5.547351500494,4.4051622993956,97.61
4k0o,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,10,1,0,0,0,27,6,0.211887964842,-5.4093738284083,187.4
3qxv,0,2,3,10,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,4,0,0,1,4,0,0,33,9,3.709118904697,-0.0536163581083998,216.2
2isw,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,3,0,0,10,3,0.249101482818,-2.5535867532468,131.56
4ish,0,1,4,22,0,0,0,0,0,1,0,0,3,0,1,0,0,1,0,0,1,2,0,2,0,0,38,5,6.901473580526,5.4223440504856,131.49
3vtr,1,0,0,4,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,17,3,0,0,0,57,14,1.006238623093,-9.7514538916149,354.21
1ghv,0,0,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,3,0,0,1,0,1,0,0,0,19,2,0.439628753048,-1.09196771319416,103.69
4jfs,1,0,1,7,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,17,2,2.340720457908,0.6945901469229,54.13
6qlq,0,0,3,15,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,1,0,30,5,4.67327271025,2.2104804437361,125.93
5fl4,0,0,4,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,24,3,3.497266624568,1.9357667802614,127.49
1o2o,1,0,3,12,0,1,0,0,0,1,2,0,2,0,1,0,0,1,0,1,1,2,0,0,0,0,25,5,3.975871306519,3.4597632445997,109.26
1if8,0,0,3,13,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,26,6,4.312938747386,1.9894054209407,102.57
1dhj,0,2,3,10,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,4,0,0,1,4,0,0,33,9,3.709118904697,-0.0536163581083998,216.2
2cn0,1,0,2,17,0,3,0,0,0,1,0,0,2,1,0,0,0,1,0,0,1,0,1,0,0,0,32,5,5.257428567575,3.917715765299,74.62
6e5l,0,0,1,16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,23,6,6.5879886222432,5.92239338891,40.46
2zx6,1,0,0,2,0,0,0,0,0,0,0,1,0,2,3,0,0,1,0,0,0,3,1,0,0,0,24,4,0.942107772388,-3.7247470552622,118.76
6mll,0,0,4,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,25,4,4.231959815683,3.6516163574197,101.38
4w9l,0,0,2,15,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,1,4,0,0,0,41,10,5.680825045831,1.7655663182119,168.97
4yo8,3,0,0,6,0,0,0,0,0,2,0,0,2,1,1,0,0,1,0,0,1,1,0,0,0,0,20,8,2.852354803742,-0.2654659162984,90.99
4ufk,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,9,1,0,-2.989157324111,77.3
3q2j,1,0,2,8,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,18,4,2.836162352062,1.1932390572768,95.08
4d3h,2,2,4,8,0,0,0,0,0,0,2,0,4,0,2,0,0,0,0,6,0,4,0,4,0,0,44,2,2.6360574051,-4.0547246905754,337.46
3t01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,7,1,0,-1.4513024753954,113.13
1pot,3,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,7,1.019525822637,0.013558003026,71.89
3gv9,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12,2,0.53087467791,-0.4454962133689,97.47
3n3g,2,0,2,14,0,3,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,29,8,4.335834501566,2.6639415667422,54.79
1zog,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,15,1,3.914285888506,2.6503006598298,50.02
4e5w,2,0,1,6,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,28,3,2.364325802196,1.2313216043344,68.54
4ffs,3,0,0,6,0,0,0,0,0,1,0,0,0,4,1,0,0,2,0,0,0,1,0,0,1,0,23,7,2.331266500561,-0.4956182739622,116.3
2qi5,0,0,3,19,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,1,4,0,0,0,40,15,7.19401112472,3.9742093307607,165.32
6g2m,0,2,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,4,0,0,0,34,6,2.84110867525,-1.30927088015356,223.1
4ara,1,0,1,9,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3,0,0,0,25,7,3.735413820879,1.8582189999008,91.83
4uj2,2,0,2,13,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,25,3,4.816945509658,2.46888800256814,76.75
5n25,0,0,2,9,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,16,2,2.853499588842,0.9923433141954,81.43
1add,1,0,2,2,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,2,0,4,0,0,0,0,19,2,0.728899581525,-2.4466179645934,127.9
1qin,1,2,1,9,0,0,1,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,3,4,0,0,31,12,3.61197062332,0.1295784740429,231.94
2r2m,1,0,2,18,0,3,1,0,0,2,0,1,4,0,0,0,0,0,0,0,2,1,1,0,0,0,30,11,6.069368551405,3.8639454954529,114
1tsy,0,1,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,3,0,0,20,4,0.742454736202,-2.32031141642876,161.1
