PDB code, PI_COUNT, NI_COUNT, AR_COUNT, H_COUNT, HBD_COUNT, HBA_COUNT, XBD_COUNT, XBA_COUNT, HVY_ATOM_COUNT, ROT_BOND_COUNT, TOTAL_HYD, LOGP, TPSA
2vvn,0,0,0,2,4,7,0,0,16,3,0.765254306272,-1.9556506195846,119.61
3f3e,1,1,0,4,3,2,0,0,9,3,4.059511266845,3.3865920476684,61.78
3e5a,1,0,3,14,4,5,0,0,33,7,4.611199120789,3.0150383967368,128.57
3g2z,0,0,1,2,1,5,0,0,13,2,0.749754809336,0.4846173790762,83.56
4gfm,0,0,1,8,1,2,2,0,18,2,3.14939904753,1.8977211649494,58.53
2wvt,1,0,0,0,7,5,0,0,13,2,0,-4.447965262383,117.76
3gy4,1,0,1,6,6,2,0,0,10,1,3.89056238149,3.3453056752163,26.02
3f3c,1,1,1,8,3,3,0,0,13,3,4.391054394215,3.5949301039882,61.78
4jxs,0,2,2,10,1,6,0,0,22,6,7.137357727254,4.3251899704424,151.07
2br1,0,0,4,16,2,6,0,0,29,7,5.122694821006,3.5035346174354,89.64
4e6q,2,0,4,11,3,3,0,0,25,3,3.629903235579,2.9425438833288,52.19
2fxs,0,0,1,7,2,7,1,0,28,6,2.383198788084,0.3327935242848,139.56
4j21,0,0,2,12,3,1,1,0,20,1,4.211654886881,3.2016984372692,55.12
2qbr,0,2,3,16,1,5,1,0,28,8,9.454694926465,7.364364059251,117.78
4dld,1,2,1,9,3,6,1,0,21,7,7.609411891648,5.3184892479371,141.74
1p1q,1,1,0,3,4,4,0,0,13,3,3.013097078481,1.57070471705,100.11
1nvq,1,0,5,16,4,6,0,0,36,2,5.273373285631,2.6159886491314,94.26
2hb1,0,2,1,5,0,5,1,0,14,4,5.957428301897,4.2146317493353,105.75
3ge7,2,0,2,10,9,3,0,0,26,6,3.532348331438,2.153892434315,99.7
2v7a,1,0,3,13,3,5,0,0,35,6,4.220372596503,2.0377120689956,95
4f2w,1,0,2,5,5,5,0,0,20,4,1.828202219086,-0.1443012154898,117.56
4jia,1,0,2,16,3,4,0,0,31,5,5.557124053416,4.2818264293601,56.57
4ddk,0,1,1,7,0,4,0,0,12,1,4.069778634058,3.1670510346486,52.6
1o3f,1,0,4,18,6,4,0,0,25,3,7.695228499946,7.6399136285159,36.02
3k5v,0,0,3,16,3,7,0,0,27,6,5.034950463014,2.9935866782547,90.13
4mme,0,0,2,13,2,3,1,0,20,1,4.431095917402,2.8069393462138,44.62
3ueu,0,1,0,11,0,2,0,0,14,10,7.722278789948,6.9887411522888,34.14
1z9g,0,1,1,9,2,4,0,0,17,6,4.877554513117,3.264149527226,102.04
1oyt,2,0,2,16,5,5,0,0,30,4,6.973071335201,5.4491849781176,41.82
4kzu,0,0,2,13,0,2,1,0,18,1,4.532863361917,4.3227007513979,26.3
4crc,0,0,5,17,2,10,1,0,39,9,5.707042769674,4.6459091647417,156.26
4gid,1,0,3,23,6,6,0,0,47,16,8.171802128695,3.6453704531454,169.9
4ciw,0,1,0,3,4,6,0,0,15,3,3.080893119667,-0.9177625546542,115.06
4eo8,1,1,1,13,1,3,0,0,27,6,8.226471880778,5.6036184948697,87.13
1k1i,1,1,3,21,5,7,0,0,36,8,10.697190035255,8.233426308339,109
2iwx,0,0,1,12,2,4,1,0,24,0,4.6640465302828,3.4874952940728,83.83
1nc1,0,0,2,7,4,7,0,0,20,3,2.557101800611,-0.1891111768566,131.72
2zda,2,0,2,15,8,4,0,0,29,7,6.791566035544,5.3370989383048,77.05
3n86,0,1,1,8,4,6,0,0,23,5,4.675826685007,0.7474146999951,123.93
3b65,0,0,2,15,2,5,1,0,25,7,5.660268513616,2.7302667700228,106.14
3coz,2,0,2,5,9,9,0,0,30,7,2.073885258412,-2.2910740070441,229.05
4f9w,0,0,4,17,0,3,0,0,25,3,5.716143919224,4.7591385396165,41.91
5dwr,1,0,3,18,4,6,0,0,32,4,5.977076227062,4.5940870301161,82.52
4eky,0,0,0,6,5,7,0,0,24,3,4.195306826117,-0.139859286443,139.56
3utu,1,0,3,23,7,9,1,0,47,14,9.572565159212,5.5986333500538,166.08
4qac,0,0,2,15,2,5,0,0,24,3,5.308622328252,3.8230416315709,55.04
2xii,1,0,2,13,6,5,0,0,28,3,4.301351528206,0.1979120883896,123.47
4x6p,1,0,6,18,6,8,1,0,40,8,6.111162028541,5.1755905072352,157.33
1z95,0,0,2,17,2,9,0,0,29,7,5.38204192648,1.5875781749603,115.64
4agn,2,0,1,13,4,2,1,0,24,7,5.368971095123,3.8178633773061,49.34
3pyy,0,0,3,14,2,5,0,0,25,3,4.151269949798,2.3406927291576,76.02
3mss,1,0,2,12,4,2,0,0,21,6,3.746368107386,2.7861640304568,65.97
3arp,0,0,2,20,3,2,0,0,34,10,7.637533770144,7.40041028287484,56.35
3b5r,0,0,2,18,2,8,1,0,28,7,5.938586495176,3.0054718971488,82.35
3ui7,1,0,3,10,2,5,0,0,24,3,2.973536121007,2.2151253809868,64.47
1o0h,1,0,2,4,5,11,0,0,27,6,1.31802870255,-3.3708562491217,292.65
3rsx,0,0,3,10,2,1,0,0,16,1,3.263412457299,2.4972209155709,67.15
4qd6,0,0,4,23,4,6,0,0,35,7,7.675512949205,5.3679324348297,128.38
1q8u,1,0,2,10,2,3,0,0,22,2,3.263941478177,1.0169676830974,75.26
3tsk,0,1,3,17,6,6,0,0,40,15,7.42374585209,3.1729200148028,206.76
2cbv,1,0,0,2,6,4,0,0,12,0,0.679683881758,-3.076235211373,97.53
3gc5,2,0,2,6,10,3,0,0,20,3,1.759691706376,0.945232349487,110.73
4ih5,0,0,3,10,3,4,0,0,17,3,3.789717964344,3.1507655317867,78.52
1p1n,1,2,0,4,2,4,0,0,15,4,5.580977057722,3.2382462274728,84.89
3ejr,1,0,1,11,4,4,0,0,25,4,4.709387291325,1.6375162606288,82.2
3ozt,0,0,1,6,5,10,0,0,31,6,2.633008540362,-0.71335679992142,185.38
1mq6,0,0,3,17,2,6,3,0,36,8,6.333227315795,4.034533437565,133.39
1ps3,0,0,0,0,5,6,0,0,16,1,0,-4.148985664335,130.33
1yc1,0,1,3,13,3,8,0,0,27,4,6.356454820741,5.3108004198164,121.74
4m0y,0,0,3,10,5,4,0,0,22,3,3.012804510937,0.468648730954301,116.03
3arq,1,0,1,10,6,9,0,0,36,3,3.296383925168,-1.5009271989704,175.07
4de2,1,0,3,12,2,5,0,0,24,5,3.862047743545,2.937288351228,88
4ivc,1,0,3,9,3,5,0,0,24,4,3.231854573193,1.8720611650577,91.77
1syi,1,1,0,3,4,4,0,0,17,3,2.794775679124,0.933809502538601,111.19
4k77,0,0,1,7,2,3,0,0,18,2,2.628960107103,1.38063790920134,66.91
2qnq,1,0,4,28,2,4,2,0,41,10,9.974575859378,6.440640178495,108.13
2zb1,0,0,3,16,1,4,0,0,26,5,5.108976751081,4.5882828445444,68.02
3fcq,0,1,1,9,0,3,0,0,14,3,4.557646184402,3.4326550942165,60.44
1lpg,2,0,5,25,5,5,0,0,41,10,10.089661950801,8.1000628129873,43.26
2j7h,1,0,0,0,6,4,0,0,10,1,0,-3.133565636341,89.33
1ydt,1,0,3,15,3,3,1,0,27,8,5.349776839103,3.0165368628198,84.05
1bcu,0,0,3,9,4,1,0,0,16,0,2.859293198432,1.5418867035744,64.93
3g2n,0,0,1,6,5,6,0,0,20,3,1.908126668818,-1.8042058560258,119.25
1o5b,1,0,2,9,4,2,1,0,13,1,5.597320087326,5.597320087326,28.24
2p15,0,0,2,23,2,5,0,0,32,3,7.9779143714138,6.2939456266429,40.46
2qe4,0,0,2,13,2,4,0,0,24,3,4.535415755843,3.9621453293746,58.92
2xj7,1,0,0,2,5,4,0,0,16,1,0.551729905721,-2.5865799420588,94.23
3dx2,1,0,0,2,8,4,0,0,12,1,0.765254306272,-2.017923895257,147.36
2qbq,0,2,2,17,1,5,1,0,31,7,11.609232311509,9.176216834252,117.78
2yge,0,0,0,10,4,8,0,0,40,5,3.506192124253,0.4602230228375,163.48
3u8k,1,0,1,4,2,2,0,0,16,3,1.410409156105,0.0439289427280001,41.97
3prs,0,0,4,20,4,6,0,0,50,18,6.722135463703,3.1827393814343,202.26
2yki,1,0,6,18,4,5,0,0,34,3,5.792131723483,4.0441930710991,100.6
3wtj,0,0,1,7,1,5,1,0,16,4,2.607915473874,0.2545602434277,86.37
2v00,1,0,1,7,4,2,0,0,16,3,2.061637981323,0.6709364666668,69.09
3bgz,0,1,4,19,1,3,0,0,24,3,8.014215213014,7.3129746340098,49.93
3oe4,1,0,3,7,6,11,0,0,33,6,3.042921408819,-0.915491011954,209.92
3fv2,1,2,0,4,5,8,0,0,20,4,5.282528733238,1.4302608344716,154.84
2wtv,0,1,4,23,1,7,1,0,34,4,9.407774870141,7.1353376526796,84.31
3r88,0,1,1,6,2,4,0,0,14,3,3.75079192099,2.3082007051651,78.62
5c2h,0,0,4,16,1,5,1,0,31,8,5.211169339447,4.0976354272307,101.06
4agq,2,0,2,18,4,1,1,0,30,9,6.963904660463,5.8820534844128,41.14
3fv1,2,2,0,4,6,7,0,0,21,5,5.282528733238,1.3770366301497,151.22
4f09,2,0,3,6,4,3,0,0,19,1,1.933664531603,0.7946203468005,64.36
3up2,0,1,3,17,2,8,0,0,28,7,7.433092653733,5.5981790620169,93.21
3kr8,0,0,1,11,1,6,0,0,21,2,3.38361977421,1.9214855736194,66.76
4ddh,0,1,2,7,0,4,0,0,15,3,4.133870254718,3.1504084598127,56.51
2wca,0,0,1,11,5,6,0,0,27,7,4.552059465634,0.968189423573901,149.71
1sqa,2,0,4,17,9,5,0,0,31,6,7.467167942267,5.88453115234,94.55
2ymd,1,0,2,5,5,2,0,0,13,2,1.58334634616,1.379796113665,63.66
4gkm,0,2,2,13,1,4,0,0,20,4,8.193863549005,6.554598664087,80.31
1a30,1,3,0,7,5,8,0,0,26,12,9.002198059204,5.5229604531442,188.26
1u1b,1,0,2,10,5,18,0,0,51,14,2.77057436923,-4.65390231243846,512.38
2zy1,0,0,2,12,1,4,0,0,24,8,3.773016944787,1.7674155841636,123.68
4w9h,0,0,2,12,3,5,0,0,33,7,4.173387987811,1.1427865646373,139.87
3E+093,1,0,4,18,3,4,0,0,37,5,5.854048925443,3.978138574796,84.21
1qkt,0,0,1,13,2,2,0,0,20,0,4.7572830719668,3.8673729704649,40.46
3pxf,0,0,3,14,1,3,0,0,21,3,4.448433154182,2.820142073121,95.33
1h22,2,0,0,12,6,2,0,0,34,13,4.90468101364,2.833204503314,91.42
3u8n,1,0,1,5,2,2,1,0,17,3,2.202698020226,0.8931745704247,41.97
3nx7,0,0,1,7,3,6,0,0,20,7,2.388639841265,-1.1797372685224,124.55
4agp,2,0,2,19,3,2,1,0,30,9,7.213006143281,6.2254332125694,38.34
3gnw,0,0,4,23,2,7,0,0,44,5,7.309534294363,4.597596954636,117.21
3uex,0,1,0,17,0,2,0,0,20,16,11.00119701986,10.2676593822008,34.14
4gr0,0,0,4,23,4,7,2,0,44,12,8.449662592499,5.1162998731299,195.6
4djv,0,0,3,19,3,4,0,0,28,4,5.802212479119,4.6309349287989,41.57
4ih7,0,0,1,10,0,1,0,0,17,2,4.469332162615,3.1819036508076,29.43
3kgp,1,1,1,7,3,2,0,0,11,2,4.203755484968,3.233452252196,61.78
2y5h,2,0,2,7,1,4,1,0,31,6,2.654503776286,1.0489805026687,96.09
3g0w,0,0,1,14,1,7,1,0,24,3,4.364909829065,2.1772802101013,68.85
4lzs,0,0,1,5,2,3,0,0,15,3,1.759285586753,0.8249876881103,61.96
3udh,1,0,1,6,3,1,0,0,14,0,1.928981896629,0.2392009557805,45.71
3uew,0,1,0,15,0,2,0,0,18,14,9.908224276556,9.1746866388968,34.14
3dxg,0,0,0,2,3,8,0,0,21,4,0.402612795323,-3.39702312338276,193.68
4ea2,2,0,0,15,4,0,0,0,24,9,5.5217841679832,3.9799801897788,33.22
4j28,2,0,2,5,6,3,0,0,17,1,1.778425871612,-0.4117433429579,87
4eor,1,0,3,14,5,6,0,0,28,6,5.387123040653,3.2224259347088,145.51
2wbg,0,0,0,9,4,6,0,0,22,7,3.977365613802,0.6371733503498,105.75
2pog,0,0,2,13,2,3,0,0,21,1,4.541209365433,4.1999402861739,49.69
4pcs,1,0,1,9,4,2,0,0,16,2,3.066435898826,0.8109721903264,57.07
1E+066,0,0,2,12,2,1,1,0,21,1,4.6539618928726,3.4674969946481,38.91
4jsz,0,0,1,6,2,2,0,0,10,1,1.908126668818,0.387777003633,68.54
4wiv,0,0,2,16,3,6,0,0,27,4,4.9555509862,4.81983753794462,65.36
1qf1,0,1,1,14,3,5,0,0,26,11,7.521971666753,5.261482962088,131.14
3ebp,1,0,2,12,4,5,1,0,28,2,4.063079201895,2.6227857134742,91.43
3ivg,0,1,4,13,1,7,0,0,29,7,6.047790533126,3.1351280167339,115.99
3qqs,0,2,2,12,1,4,0,0,19,4,7.78112476298,6.141859878062,80.31
1eby,0,0,4,24,6,8,0,0,48,13,7.620919456092,2.8944677879548,157.58
3o9i,0,0,3,19,2,7,0,0,42,14,6.882256935861,4.0494938111181,163.91
4ivd,1,0,3,11,3,5,0,0,25,5,3.91277861986,2.4185475367097,91.77
3b1m,0,0,3,19,3,7,0,0,38,6,6.2516360470128,4.4230350737698,122.16
3zt2,0,1,2,13,0,5,0,0,23,2,5.966318083696,4.7437264539676,69.67
3nw9,1,0,4,15,6,10,0,0,38,6,4.855049940962,1.7260876035544,164.1
5tmn,0,1,1,15,3,6,0,0,32,14,8.128339572091,5.0031997492574,181.88
4twp,0,0,4,15,2,4,0,0,28,5,4.705414831524,4.0826641966326,95.97
2qbp,0,2,3,18,1,7,1,0,37,10,10.134378808223,6.927161620636,163.54
3u5j,0,0,3,13,0,4,1,0,22,1,4.329790778766,3.4942043017029,43.07
3d4z,1,0,1,0,5,5,0,0,14,1,0,-3.1880499535549,99.99
3rr4,2,0,2,5,6,3,0,0,18,2,1.514590710576,0.1871780639207,97.06
3pww,1,0,3,21,7,6,0,0,49,13,7.961820105438,3.8083018716064,167.95
4k18,0,0,3,17,2,7,0,0,29,5,5.458692583019,3.5612186731068,103.83
2xys,1,0,1,9,2,2,0,0,25,0,3.048294531435,1.0217104967265,37.14
2w66,1,0,0,1,7,5,0,0,16,2,0.211887964842,-4.2518543354848,126.63
4cig,1,1,4,24,2,5,0,0,37,10,9.509379114173,7.2907365326625,86.14
2wn9,0,0,2,9,1,4,0,0,22,3,2.810263195993,2.1725992990575,54.71
3ary,0,0,2,5,2,4,0,0,17,3,1.58913995575,0.59520180756604,81.65
3ehy,0,1,1,8,1,5,0,0,17,5,4.642142883648,2.6614095730772,97.92
1c5z,1,0,1,7,4,2,0,0,9,1,4.209549094558,4.209549094558,0
2vw5,0,0,1,17,5,5,0,0,36,3,5.8053189138116,3.0793070228193,131.11
3rlr,0,0,3,14,1,5,2,0,23,3,4.867503927711,3.8021503966401,74.59
5a7b,2,0,2,19,4,2,0,0,31,10,6.460549749735,5.6120554462494,38.34
4de3,0,0,3,12,1,5,1,0,21,3,4.283761879099,3.6816535895258,83.56
4bkt,0,0,1,3,2,5,0,0,19,3,0.870716618789,-1.1977479734754,95.67
1pxn,0,0,3,8,3,4,0,0,22,4,2.626647267096,1.7304563488993,111.2
2wnc,1,0,2,11,2,2,0,0,21,3,3.510802305562,2.8310165007958,46.53
2xnb,1,0,2,8,3,3,0,0,27,4,2.479509685571,0.5017114954214,103.27
2xb8,0,1,1,8,3,7,0,0,22,4,4.479505805187,0.538243987374201,121.13
3gr2,0,0,1,5,0,6,0,0,14,2,2.676527250371,1.7559459214358,87.13
4w9c,0,0,2,10,2,5,0,0,28,6,4.369545350446,1.9628413234438,95.67
3myg,2,0,3,9,5,6,0,0,30,8,3.541905304889,1.5671148724379,138.47
3oe5,0,0,2,10,5,10,0,0,31,7,3.846950356908,0.0968283307235003,203.26
1gpn,1,0,0,4,3,1,0,0,19,0,1.537845030421,-0.074186866327,45.71
4f3c,1,0,2,8,5,5,0,0,23,7,3.054372472496,1.0818690379202,117.56
1w4o,0,0,0,2,3,8,0,0,21,4,0.402612795323,-3.39702312338276,193.68
3nq9,0,1,0,7,0,2,0,0,10,6,5.53633330334,4.8027956656808,34.14
3qgy,0,0,5,18,3,4,0,0,30,4,5.803718942663,3.6070953631578,134.59
3kwa,4,0,0,4,10,0,0,0,14,11,1.359367763516,-0.447545472798,88.5
2al5,1,1,0,3,4,5,0,0,15,3,2.642232647492,0.74229937395104,111.19
3b68,0,0,2,15,3,9,0,0,31,8,5.190822553777,1.3639770557566,133.48
4cra,0,0,4,19,6,5,0,0,38,7,6.122705655731,3.3433590859112,146.44
1r5y,1,0,1,5,6,2,0,0,13,0,1.423664555187,-0.7243934861968,95.11
3syr,0,0,0,2,5,8,0,0,20,2,0.340810221752,-3.76543743826976,139.56
4cr9,0,0,2,8,4,1,0,0,13,0,2.7307783233,1.4193300752982,64.93
3d6q,1,0,0,4,4,5,0,0,22,3,1.173037135142,-1.57621425055476,103.54
4kzq,0,0,2,11,1,3,0,0,18,1,3.427381394318,3.118374249749,46.53
3coy,2,0,2,6,9,9,0,0,31,7,2.576364277752,-2.1380684113821,229.05
3arv,0,0,3,15,0,4,0,0,25,0,4.47629172707,3.9968134598686,40.16
3ag9,4,0,2,17,25,18,0,0,67,32,9.840615819821,1.9375114946323,384.49
1g2k,0,0,4,24,3,7,0,0,45,11,7.498529824362,3.6808731481943,137.02
2c3i,1,0,2,13,2,3,0,0,23,5,4.251704068878,3.2907286395725,61.06
3n7a,0,1,0,4,3,5,0,0,12,1,3.520521872715,0.2545344638774,94.83
3fur,0,0,4,21,1,3,4,0,31,5,7.82384643015,6.3597330673514,76.67
2wer,0,0,1,9,2,5,1,0,25,0,3.416047018533,2.4943374424448,96.36
4llx,0,0,1,4,2,2,0,0,9,0,1.152675511209,0.1378260558608,51.8
3l7b,0,0,0,2,5,7,0,0,19,2,0.446401141562,-2.32051448415176,126.11
3uuo,1,0,3,9,3,4,0,0,23,2,2.660343017529,1.4617284769595,70.65
1q8t,1,0,1,7,4,2,0,0,18,3,2.499820208992,1.3328392338589,69.63
4u4s,0,0,1,3,1,3,0,0,14,1,1.134658835886,-0.3977359635839,70.68
3b27,0,0,2,10,2,4,1,0,16,2,3.703930032903,2.4186578326248,89.99
2w4x,0,0,0,2,5,8,0,0,18,3,0.956095817157,-3.2891940131843,151.92
3jya,1,0,2,8,2,1,2,0,16,0,3.14360543794,2.06172319232814,71.31
1ydr,1,0,2,8,2,3,0,0,20,2,2.718005182046,0.4710313869664,75.26
3gbb,1,2,0,6,3,6,0,0,18,4,5.962212614996,3.5687526545016,114.38
3uo4,0,1,4,20,2,4,0,0,29,6,8.52664145604,6.9618311452816,83.98
3ao4,0,0,2,8,2,4,0,0,16,1,2.497255789843,1.7949705794616,62.3
1bzc,0,1,2,14,3,9,0,0,29,8,6.393736717053,2.524358028929,191.68
4ogj,1,0,3,19,4,5,0,0,37,11,6.646216035852,4.1871851710093,118.06
5c28,0,0,1,6,2,2,1,0,12,1,2.241107617481,1.0385502066918,51.8
1s38,1,0,1,7,4,2,0,0,13,0,1.948745623507,0.3459442883969,69.09
3zso,1,1,4,28,2,7,0,0,44,13,10.805959822301,7.94244905413,104.6
4abg,2,0,1,5,4,0,0,0,15,2,1.58913995575,1.1537831717844,35.32
3f3a,1,1,2,7,4,3,0,0,15,3,4.203755484968,3.3942040937853,77.57
3ryj,0,0,1,9,3,6,0,0,18,4,2.781002546399,0.346955888379601,97.64
4de1,0,0,4,10,2,7,0,0,23,3,3.17248630191,2.5569509113809,112.24
4dli,0,0,3,13,3,2,0,0,21,3,4.267876661715,2.9928797789975,63.83
1vso,1,1,1,7,3,8,0,0,21,7,4.781066938513,2.1256210390912,182.39
3E+092,0,0,3,17,1,4,0,0,26,4,5.521715537106,4.8309490531434,68.02
2zcq,0,0,2,14,0,6,0,0,25,8,4.3307359204038,1.2428568844034,177.88
3cj4,0,1,1,10,1,4,1,0,25,5,6.02185761558,4.3340851078725,83.55
3bv9,2,1,0,16,10,9,0,0,47,12,8.850263855446,5.1993052720644,190.44
2vkm,1,0,4,26,5,6,0,0,47,15,8.502606509243,4.3120547908032,150.03
1uto,1,0,1,6,3,0,0,0,9,2,1.908126668818,1.8168480713288,27.64
1y6r,1,0,2,5,7,6,0,0,20,3,1.828202219086,-1.5124948092934,149.96
4j3l,0,0,2,13,2,3,1,0,26,5,4.524847990359,3.2525074453342,67.43
2r9w,0,2,3,18,0,6,0,0,29,5,9.671870603028,7.3948007215242,105.66
2xbv,1,0,2,12,3,7,1,0,36,7,4.03074100706,2.04759109232584,95.84
4ty7,2,0,4,17,9,4,1,0,35,7,5.887183445897,4.642538709331,141.37
2cet,1,0,2,6,5,5,0,0,22,4,1.908126668818,-1.2005013132316,99.99
4mgd,0,0,2,13,2,2,3,0,19,3,4.588994282921,3.7395586283162,40.46
5aba,2,0,1,11,4,2,2,0,23,3,4.355639163153,3.0301699061001,49.34
4owm,0,1,1,7,2,3,0,0,11,1,4.072067681147,2.7820407332493,60.16
3jvs,0,0,3,19,3,4,0,0,30,5,7.526105712088,4.5355677633482,116.05
2p4y,0,1,5,24,0,11,1,0,40,9,9.705039079495,7.7763556562854,92.79
3uev,0,1,0,13,0,2,0,0,16,12,8.815251533252,8.0817138955928,34.14
3wz8,0,0,4,19,3,2,0,0,33,9,6.037573109932,4.3955752518583,98.47
3zdg,1,0,0,5,1,1,0,0,13,5,1.615508484109,0.7552803049302,33.98
3g31,0,1,0,5,0,4,0,0,17,2,4.443360560036,2.7715180343446,71.52
1gpk,1,0,0,4,4,1,0,0,18,0,1.716322297326,0.3691522556876,56.74
4ivb,1,0,3,9,3,5,0,0,23,3,3.231854573193,1.5386829306369,91.77
1h23,2,0,0,14,6,2,0,0,36,15,5.997653756944,3.926177246618,91.42
4w9i,0,0,2,10,3,6,0,0,33,5,3.00579287067,-0.4401003714679,151.31
2xdl,0,0,1,7,1,3,0,0,16,4,2.52421276418,1.7495012535039,49.77
3p5o,0,0,3,14,1,6,1,0,30,5,4.762384567856,3.4015220231473,81.4
4rfm,0,0,3,13,2,9,0,0,36,5,4.329104272387,1.6904470619845,118.12
4kz6,0,1,0,7,1,4,0,0,15,3,4.491432686276,3.1517149919322,93.25
3acw,1,0,2,14,2,1,0,0,21,2,4.490143609804,3.317330573699,24.67
3twp,0,1,1,6,1,3,0,0,10,1,3.89056238149,3.0469476058161,54.37
4hge,0,0,2,10,2,6,1,0,25,3,3.595986054111,1.41675159318268,74.55
2weg,0,0,1,7,2,3,0,0,11,1,2.089631968475,0.56928230329,68.54
3dx1,1,0,0,1,6,3,0,0,9,0,0.339841940879,-1.986516070394,88.33
