PDB code, ENV_HBA_N_OCC_SUM, ENV_HBA_N_OCC_MAX, ENV_HBA_O_OCC_SUM, ENV_HBA_O_OCC_MAX, ENV_HBA_S_OCC_SUM, ENV_HBA_S_OCC_MAX, ENV_HBD_N_OCC_SUM, ENV_HBD_N_OCC_MAX, ENV_HBD_O_OCC_SUM, ENV_HBD_O_OCC_MAX, ENV_HBD_S_OCC_SUM, ENV_HBD_S_OCC_MAX, PI_AR_SCORE_SUM, PI_AR_SCORE_MAX, AR_PI_SCORE_SUM, AR_PI_SCORE_MAX, H_H_SCORE_SUM, H_H_SCORE_MAX, AR_AR_SCORE_SUM, AR_AR_SCORE_MAX, HBD_HBA_N_SCORE_SUM, HBD_HBA_N_SCORE_MAX, HBD_HBA_O_SCORE_SUM, HBD_HBA_O_SCORE_MAX, HBD_HBA_S_SCORE_SUM, HBD_HBA_S_SCORE_MAX, HBD_N3_HBA_N_SCORE_SUM, HBD_N3_HBA_N_SCORE_MAX, HBD_N3_HBA_O_SCORE_SUM, HBD_N3_HBA_O_SCORE_MAX, HBD_N3_HBA_S_SCORE_SUM, HBD_N3_HBA_S_SCORE_MAX, HBD_N2_HBA_N_SCORE_SUM, HBD_N2_HBA_N_SCORE_MAX, HBD_N2_HBA_O_SCORE_SUM, HBD_N2_HBA_O_SCORE_MAX, HBD_N2_HBA_S_SCORE_SUM, HBD_N2_HBA_S_SCORE_MAX, HBD_Nar_HBA_N_SCORE_SUM, HBD_Nar_HBA_N_SCORE_MAX, HBD_Nar_HBA_O_SCORE_SUM, HBD_Nar_HBA_O_SCORE_MAX, HBD_Nar_HBA_S_SCORE_SUM, HBD_Nar_HBA_S_SCORE_MAX, HBD_Nam_HBA_N_SCORE_SUM, HBD_Nam_HBA_N_SCORE_MAX, HBD_Nam_HBA_O_SCORE_SUM, HBD_Nam_HBA_O_SCORE_MAX, HBD_Nam_HBA_S_SCORE_SUM, HBD_Nam_HBA_S_SCORE_MAX, HBD_Npl3_HBA_N_SCORE_SUM, HBD_Npl3_HBA_N_SCORE_MAX, HBD_Npl3_HBA_O_SCORE_SUM, HBD_Npl3_HBA_O_SCORE_MAX, HBD_Npl3_HBA_S_SCORE_SUM, HBD_Npl3_HBA_S_SCORE_MAX, HBD_N4_HBA_N_SCORE_SUM, HBD_N4_HBA_N_SCORE_MAX, HBD_N4_HBA_O_SCORE_SUM, HBD_N4_HBA_O_SCORE_MAX, HBD_N4_HBA_S_SCORE_SUM, HBD_N4_HBA_S_SCORE_MAX, HBD_O3_HBA_N_SCORE_SUM, HBD_O3_HBA_N_SCORE_MAX, HBD_O3_HBA_O_SCORE_SUM, HBD_O3_HBA_O_SCORE_MAX, HBD_O3_HBA_S_SCORE_SUM, HBD_O3_HBA_S_SCORE_MAX, HBD_S3_HBA_N_SCORE_SUM, HBD_S3_HBA_N_SCORE_MAX, HBD_S3_HBA_O_SCORE_SUM, HBD_S3_HBA_O_SCORE_MAX, HBD_S3_HBA_S_SCORE_SUM, HBD_S3_HBA_S_SCORE_MAX, HBA_HBD_N_SCORE_SUM, HBA_HBD_N_SCORE_MAX, HBA_HBD_O_SCORE_SUM, HBA_HBD_O_SCORE_MAX, HBA_HBD_S_SCORE_SUM, HBA_HBD_S_SCORE_MAX, HBA_N3_HBD_N_SCORE_SUM, HBA_N3_HBD_N_SCORE_MAX, HBA_N3_HBD_O_SCORE_SUM, HBA_N3_HBD_O_SCORE_MAX, HBA_N3_HBD_S_SCORE_SUM, HBA_N3_HBD_S_SCORE_MAX, HBA_N2_HBD_N_SCORE_SUM, HBA_N2_HBD_N_SCORE_MAX, HBA_N2_HBD_O_SCORE_SUM, HBA_N2_HBD_O_SCORE_MAX, HBA_N2_HBD_S_SCORE_SUM, HBA_N2_HBD_S_SCORE_MAX, HBA_N1_HBD_N_SCORE_SUM, HBA_N1_HBD_N_SCORE_MAX, HBA_N1_HBD_O_SCORE_SUM, HBA_N1_HBD_O_SCORE_MAX, HBA_N1_HBD_S_SCORE_SUM, HBA_N1_HBD_S_SCORE_MAX, HBA_Nar_HBD_N_SCORE_SUM, HBA_Nar_HBD_N_SCORE_MAX, HBA_Nar_HBD_O_SCORE_SUM, HBA_Nar_HBD_O_SCORE_MAX, HBA_Nar_HBD_S_SCORE_SUM, HBA_Nar_HBD_S_SCORE_MAX, HBA_Npl3_HBD_N_SCORE_SUM, HBA_Npl3_HBD_N_SCORE_MAX, HBA_Npl3_HBD_O_SCORE_SUM, HBA_Npl3_HBD_O_SCORE_MAX, HBA_Npl3_HBD_S_SCORE_SUM, HBA_Npl3_HBD_S_SCORE_MAX, HBA_O3_HBD_N_SCORE_SUM, HBA_O3_HBD_N_SCORE_MAX, HBA_O3_HBD_O_SCORE_SUM, HBA_O3_HBD_O_SCORE_MAX, HBA_O3_HBD_S_SCORE_SUM, HBA_O3_HBD_S_SCORE_MAX, HBA_O2_HBD_N_SCORE_SUM, HBA_O2_HBD_N_SCORE_MAX, HBA_O2_HBD_O_SCORE_SUM, HBA_O2_HBD_O_SCORE_MAX, HBA_O2_HBD_S_SCORE_SUM, HBA_O2_HBD_S_SCORE_MAX, HBA_Oco2_HBD_N_SCORE_SUM, HBA_Oco2_HBD_N_SCORE_MAX, HBA_Oco2_HBD_O_SCORE_SUM, HBA_Oco2_HBD_O_SCORE_MAX, HBA_Oco2_HBD_S_SCORE_SUM, HBA_Oco2_HBD_S_SCORE_MAX, HBA_S3_HBD_N_SCORE_SUM, HBA_S3_HBD_N_SCORE_MAX, HBA_S3_HBD_O_SCORE_SUM, HBA_S3_HBD_O_SCORE_MAX, HBA_S3_HBD_S_SCORE_SUM, HBA_S3_HBD_S_SCORE_MAX, HBA_S2_HBD_N_SCORE_SUM, HBA_S2_HBD_N_SCORE_MAX, HBA_S2_HBD_O_SCORE_SUM, HBA_S2_HBD_O_SCORE_MAX, HBA_S2_HBD_S_SCORE_SUM, HBA_S2_HBD_S_SCORE_MAX, XBD_XBA_SCORE_SUM, XBD_XBA_SCORE_MAX, ES_ENERGY, ES_ENERGY_SQRD_DIST, VDW_ENERGY_ATT, VDW_ENERGY_REP
4eky,4.81120854265408,4.8112085331681,16.4541778288895,13.0043352866411,7.47029054233211E-17,7.46780874451915E-17,5.8454276133387,5.61274900125075,5.49766283590128E-05,5.49766283461008E-05,1.31301847910315E-18,1.31301847910315E-18,0,0,0,0,10.9351193780077,2.96217146264877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04827375440279E-14,1.96314590980734E-14,0.624975315824994,0.609381098345284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999990175585,0.999999983522012,5.12218693244453,3.94165426067933,6.90360037938096E-17,6.90360037938096E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43363351724631,2.25267766216928,5.497652152499E-05,5.49765215132923E-05,0,0,1.42081262609966,1.38832908014245,9.50503173883597E-17,9.47954139574796E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109339826214885,0.102545157822933,-192.425999846487,104.589455248382
3utu,3.60608862423317,2.81389657286346,17.1974644041719,11.330596052521,0.303379426300232,0.303379426299987,0.980831577351515,0.980829347281191,0.879879217131746,0.879879217131735,0,0,0.13976610397417,0.0719930603858941,2.98825311555879E-10,2.98825311555879E-10,22.4491578064603,4.99013852904494,0.381365052610539,0.207124008157101,0,0,0,0,0,0,7.04841432433298E-18,3.41341624506175E-18,0.992931670426418,0.992931670425648,6.60369003996102E-18,6.60369003996102E-18,4.52906461506078E-17,4.4942574603408E-17,3.89976550556553,1.51427071757803,0.30336836365516,0.303368363655043,0,0,0,0,0,0,0.878015131161592,0.878015075955103,1.99593848577035,0.998521817112727,1.65108432992338E-15,1.2814353887096E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25357601364538E-08,7.11026099379314E-08,1.31671300380955E-14,1.31671297193331E-14,0,0,3.25296669249909E-11,3.13167583778672E-11,4.95394376800856E-22,4.68655450736016E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81815796879057E-08,4.81811937748483E-08,1.18334548054978E-07,1.18334547998189E-07,0,0,0.980187205949101,0.98018720594777,8.33863200896478E-12,8.33863165049934E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.986287126201832,0.944027940615701,-0.398795849976488,-0.318628759286365,-263.86876580567,130.303769884424
4qac,0.366476854347118,0.366474957467017,10.9091280102129,8.88496364000861,0.0216800044096524,0.0216792450428921,1.04592295432188E-06,1.04482485503937E-06,0.0233437971620811,0.0233437971620739,0,0,0,0,0,0,30.1134086703178,2.8619004386054,5.85625886034863,1.99999999972683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.45102544114377E-17,3.83504641341971E-17,1.67673624423771,0.999482454251172,5.80601691390044E-17,4.69968079390885E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04378174307278E-06,1.04337822756378E-06,1.26916145296681E-14,1.26699112193707E-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31106189331471E-16,8.05211646215739E-17,1.5050830344034E-09,1.50507908018017E-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00701855511604326,0.00915115813588291,-193.525469855146,94.8181341623233
2xii,13.324985532437,9.16949509068596,14.4562437433667,11.0609243024616,1.01854124685179E-06,1.01854124685075E-06,4.56004453555866,2.94396560529944,0.0506870023244768,0.0506870023244768,1.0642626397651E-08,1.0642626397651E-08,1.59194815810768,0.813265525942888,0,0,7.27402923478547,1.45581368746346,3.74363457428546E-07,3.64544770459513E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998950496617063,0.998950487307662,1.3608938140836,0.843153553652412,8.43815864559542E-16,8.43783367068738E-16,0,0,0,0,0,0,0.110424281610137,0.110424271640242,1.48404349073966,0.961212517753934,1.24361486556154E-12,1.24361486556154E-12,6.02669126427178,2.99938368154858,1.98414479531874,1.70466145461302,1.23642185663013E-15,1.23612958076649E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33522384587272,2.04913362783561,0.0506867060569107,0.0506867060569107,1.77857770455519E-16,1.77857770455519E-16,2.04015145245995E-06,2.03964737602047E-06,4.62027645230272E-17,4.54458729719928E-17,3.03472311922343E-20,3.03472311922343E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367111616179786,0.059805571470117,-179.91469051582,97.9148021800427
4x6p,2.61176279644018,2.61176278596122,17.8296371319962,14.1625314883714,5.03452491617163,5.03405147875056,1.17149838920605,0.986846562799237,0.620167948521919,0.620167948521919,0,0,1.82905366283808E-07,1.82905366283808E-07,7.03750774042513E-06,7.03750773726197E-06,13.0114943622212,3.58471293774152,0.184098913962297,0.184098665687373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35194580448781E-11,1.34635992215334E-11,0.738039387960331,0.73803341511057,8.64924510434638E-11,8.64920567297247E-11,0.000489791860720919,0.000489791849628459,0.0624692534827086,0.0624685126591045,1.00547197363209E-13,9.86173040681399E-14,7.74659831234714E-09,7.74623935096282E-09,0.99976569258771,0.999765692587024,7.3080476948426E-19,7.3080476948426E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2424919190291E-06,1.24248892514156E-06,0.600066854470788,0.600066854470788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952236066327801,0.822935375342352,1.16221828232689E-08,1.16221828230829E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55281660821207,0.999956458377044,0.414890514068848,0.0104230626185103,-240.860438072274,124.044681729041
1z95,1.80980050647161,1.8098005045095,12.6868184772574,10.146830737435,2.02815721805245,2.02815501584019,0.0580472198335334,0.044601318528711,3.27536661699213E-05,3.27536661699212E-05,8.11605557122958E-22,8.11605557122958E-22,0,0,0,0,35.4558167724899,3.816400239278,0.000596998918173488,0.000596998917769928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27336430799621E-19,6.10295939804722E-19,0.656197975187818,0.656197965849485,5.60210863221912E-10,5.02511859963658E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03674482266628,0.998399713635364,4.69017258479684E-14,2.68013375452097E-14,0,0,0,0,0,0,0.00214825124782499,0.0021482240466325,7.93269869011872E-15,7.93265268793376E-15,6.85018783395761E-22,6.85018783395761E-22,0,0,0,0,0,0,0,0,0,0,0,0,0.0558790980842223,0.0424340951453836,5.19813811156339E-20,5.19813811156339E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63088533088282E-10,3.56147368225461E-10,4.25581774601729E-15,4.2558177409474E-15,0,0,6.4312117034723E-10,6.42966502859638E-10,8.0140468857867E-09,8.0140468857867E-09,7.32153814225695E-24,7.32153814225695E-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15250016230485,-0.0399390610649326,-220.61307970389,106.467463857642
4agn,1.91476029116484E-13,1.50690293827209E-13,11.5226834950935,8.94439668340251,0.394590162273398,0.394590162273397,4.48432014798891E-05,4.48428928644803E-05,8.92096259795552E-10,8.92088673343024E-10,1.57777723012495E-11,1.5777772264449E-11,0.0349620983754459,0.02300876455654,0,0,11.5793178583115,2.19125288491946,4.43087612007778E-15,3.90975245169606E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31009594893369E-16,9.52140332476837E-17,0.0234808399414609,0.0234807085175277,6.78874160551372E-18,6.7885869472709E-18,2.26466192879212E-17,1.24416372282836E-17,1.07862469667485,1.00345938117788,1.57547717904188E-12,1.57547696614851E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.78145098146278E-10,6.77215692081758E-10,1.25037987952229E-14,1.24989970232332E-14,9.24829336517196E-17,9.24824933195317E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50402227303151,0.99999999999038,-0.826537032652746,-0.0988982541589436,-151.367035100548,78.258128693054
3pyy,3.4290113385748E-13,3.42419293701519E-13,8.99315649736684,6.70432113640226,0.00348915394419201,0.00348915394419026,3.90529973475849E-09,3.90383492465326E-09,1.05793482070636E-05,1.05793482070635E-05,3.33038180798257E-13,3.33038180798257E-13,0,0,0,0,19.7192219482774,2.81170753863578,7.70516433744831E-06,7.70515132309611E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10179351473437E-15,3.72651257019256E-15,2.01568037517978,0.998199584176548,2.61712821164023E-14,2.61707733649666E-14,5.40208245215698E-16,5.36590948447191E-16,0.018279929696237,0.0182753390002494,7.17879042365602E-17,7.17879042365602E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.83324602878148E-12,4.73185690859801E-12,9.96033888660187E-22,8.79726166141708E-22,2.86191442615597E-19,2.86191442615597E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.02708224978191E-14,5.01649207383463E-14,6.95994575226169E-15,6.95994310017158E-15,8.73704502469955E-20,8.73704502469955E-20,0,0,0,0,0,0,0,0,0,0,0,0,5.22212458300586E-11,5.22199716030889E-11,3.48762571881432E-19,3.4863134122634E-19,3.30412573022858E-13,3.30412573022858E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141626872068019,-0.0343011743869055,-163.866940253691,84.9760780623099
3mss,4.02948604231884E-18,4.02470741642184E-18,1.1139544882676,1.11394672942871,0.0674405918764456,0.0674405918759886,1.72707324178103E-09,1.7269852161362E-09,1.46987472711285E-19,1.37973826786246E-19,1.0841526782659E-15,1.0841526782659E-15,0,0,0,0,19.5760482384008,2.65663746306974,8.87801693905709E-08,8.87769821431363E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80635226109856E-15,3.74055677921124E-15,1.46357415538986E-19,1.46357415538986E-19,0,0,0,0,0,0,0,0,9.07197362943149E-14,9.0685622493324E-14,6.65365325820106E-15,6.65365325820106E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92366141421503E-12,2.92333055234169E-12,1.50630224198491E-20,1.5017517903613E-20,5.46877063574385E-21,5.46877063574385E-21,1.70306514896086E-19,1.69637536416964E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136307542176381,0.00954860552463497,-122.036020286712,56.6150274446679
3arp,3.3550471916119,3.35450317654698,0.324723418815394,0.32469074057097,3.96295442365405E-18,3.96295442365405E-18,0.000169145967460887,0.000169140352166263,0.019622381623756,0.0196223815143718,0,0,0,0,3.04933667111631E-10,3.0493143093811E-10,23.4761549977039,3.24411696736263,1.18081568170227,1.10395792847555,0,0,0,0,0,0,0,0,0,0,0,0,0.0397469395536713,0.0397469395536713,2.45667882077891E-12,1.55104031692029E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04319270994511E-10,8.89223463867876E-11,2.92411893377592E-06,2.92411878212397E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79490689589086E-10,1.7948885615259E-10,1.36264898247023E-22,1.36264898247023E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23357250184192E-15,5.00276083321289E-15,4.88740185358015E-11,4.88739651040719E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325082867699651,0.024809704747673,-201.522834005483,96.5406783865632
3b5r,1.70636960392128,1.70636959452191,9.37059878600783,7.98024123858358,1.62035318974535,1.62032733792246,0.22227386736041,0.142066493772295,0.571608746864157,0.571608746864157,5.9562984380747E-21,5.9562984380747E-21,0,0,0,0,39.1108035949156,4.0483492849427,1.18680700955843,1.04682043862082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.436246707007E-15,3.43529514005569E-15,0.661446565488839,0.661446565020759,3.33723348390305E-10,2.34066418392345E-10,0,0,0,0,0,0,0,0,0,0,0,0,8.78188321064206E-18,8.78188321064206E-18,1.00833521863133,0.980621555313657,4.14826862242407E-05,4.14826859227038E-05,0,0,0,0,0,0,2.86822837800245E-08,2.86820201096502E-08,1.03028189971831E-08,1.03028189968752E-08,4.99072770826671E-21,4.99072770826671E-21,0,0,0,0,0,0,0,0,0,0,0,0,0.2221308381091,0.141926486643887,2.81879471883211E-20,2.81879471883211E-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36215971163875E-09,4.33034680562747E-09,0.0143579222519498,0.0143579222519498,0,0,5.92677394029793E-17,5.44751302962451E-17,3.85673399685016E-11,3.85673399083613E-11,1.81158895594805E-22,1.81158895594805E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.964917984897834,0.96074751793291,-0.21530762869455,-0.0470855391477349,-222.434226929248,113.017675803047
3ui7,1.00960809881053,1.00960473761769,3.08537912915056,3.04030544159234,0.654760218306001,0.654760218306001,1.76936644095939,1.76936196502946,2.11583343570971E-08,2.11536019741458E-08,9.13956457094431E-20,9.08110133225822E-20,0.203654172309685,0.203522566498362,0,0,15.5228597664074,1.93416682155891,4.01321326482514,2.97986930443444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.02706427861265E-15,9.02466473722611E-15,0.304645883180218,0.304623041007264,7.48779328556341E-18,7.28071958456158E-18,0,0,0,0,0,0,0,0,0,0,0,0,3.83563879740209E-11,3.83528945952559E-11,1.94833323152352E-11,1.78868275659859E-11,1.44619503273659E-15,1.44619503273659E-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870926392819018,0.870926388643151,1.61142220937166E-11,1.18201713515233E-11,5.50945313881712E-22,5.50799904946081E-22,0,0,0,0,0,0,0.0222529659653872,0.0222529659653801,8.05472546854707E-19,5.63865575639467E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250684518913624,0.0359944146042379,-153.558001349437,72.6732167390597
1o0h,8.15842466502802,6.14231733093057,7.66652208686651,6.69388162515003,0.182147604440596,0.175296156227461,8.27158282812296,6.45234720181744,7.15736713934507E-19,6.17555617964833E-19,0,0,0.00140291961140368,0.0014014317972077,2.01698653863433E-13,2.01698653863433E-13,1.81796898057637,0.581094605113427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3982577007249E-12,2.35830023321315E-12,0.820945057905905,0.804201940845883,7.55353099287938E-12,5.77489108653265E-12,0,0,0,0,0,0,5.57925729983987E-10,5.56940005387254E-10,1.88769327545693,0.963206032099615,0.182146951883171,0.175295591501195,0,0,0,0,0,0,2.86271400754355E-14,2.86263029947353E-14,4.15690441673136E-08,4.09947296571541E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83614168574723E-07,1.83039519308283E-07,0,0,0,0,0,0,0,0,0,0,3.40682939511644E-07,3.40682538700107E-07,0,0,0,0,4.96250188273199,3.6236004070093,5.70423871736515E-22,5.70423871736515E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947006958288118,-0.0678828568718396,-117.771278148759,62.5595015649126
3rsx,0.000508927532718591,0.000508927532115362,5.53410628650605,4.67984864284935,6.70187491615303E-19,6.70187491615303E-19,1.88006558413932E-06,1.87939606483027E-06,3.33434891523934E-07,3.33434867700535E-07,0,0,0,0,0,0,8.93317507623709,1.79751613158496,2.42517027869649,2.24326806281589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6772505240229E-16,1.6583147154803E-16,1.40998770589985,0.843427413202025,6.70187491615303E-19,6.70187491615303E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83067664128372E-14,1.77444566389663E-14,2.30365049648654E-11,2.30363668273636E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127302525959315,-0.055259325357525,-104.863287111326,53.1532466125471
4qd6,1.10325935688696E-10,1.10325933322939E-10,9.71524037246894,9.42077353457889,1.15201131702638E-08,1.15201131433205E-08,0.887433343397646,0.887433335825309,1.73696040027997E-11,1.73696039916974E-11,3.34470700402022E-13,3.34470700402022E-13,0,0,0.00392412533750361,0.00392412533750361,18.8252318172651,4.03492108768961,2.00000957714846,2.00000930101522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999838322685621,0.999838314628144,1.72994386839775E-12,1.729943868094E-12,0,0,0,0,0,0,6.56978367114412E-18,6.56844697598848E-18,0.991807718752818,0.991807717882781,2.82034692720009E-14,2.82033971604339E-14,0,0,0,0,0,0,1.35800033422272E-18,1.3574721733718E-18,0.0019378819946098,0.00193788078082199,7.67472372799389E-16,7.67472372799389E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683394511666376,0.683394511665979,1.0748596626261E-14,1.07485966017607E-14,2.37489605653947E-20,2.37489605653947E-20,0,0,0,0,0,0,1.27066925024655E-09,1.27066260091756E-09,6.08249142229278E-14,6.08249137425672E-14,8.78206459560875E-17,8.78206459560875E-17,6.15857036569335E-11,6.1472175421269E-11,3.68103990166684E-19,3.64958474376714E-19,1.16216928779914E-22,1.16216928779914E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.36533802628696,-0.103642199678679,-145.173529684976,74.517819823375
1q8u,1.37446122370613E-09,1.3744396508966E-09,11.5203497691297,8.73706530294638,0.460455541770219,0.460455541770219,1.81516014523848,1.81516014523802,0.053846994468712,0.0538469944687084,0,0,0.0529674244967598,0.0529663688205981,4.88675052846208E-11,4.88675052846208E-11,15.6991714559575,2.24431099625362,0.000158795108039034,8.40678920347895E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37294229682313E-09,1.3729230014409E-09,0.997432396924654,0.996644595526002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.996936191734985,0.99693619173497,2.62844290995917E-16,2.53250466037285E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49497570004566E-13,3.54211939825569E-13,5.23249768288298E-11,5.23248978572689E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.771465871880383,-0.141001685038522,-163.569247239037,78.7772565412318
3tsk,3.31739632861808,2.3605864331744,17.3377296800005,16.2073635538641,1.87826002883193E-15,1.87826002883193E-15,2.24678005708152,2.17488646804772,7.60300902734221E-14,7.60272121664542E-14,0,0,0,0,0.266376648118995,0.266376647886604,16.3612129222545,4.7406138044316,1.02026855416919,1.02026854308322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5238550047796E-14,4.85364682299448E-14,2.98009637206727,2.98009021368731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01053595757178,1.9386423846902,7.17079168123146E-16,7.16816385663963E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.33029702632509,-0.170698006625728,-244.828520667099,114.097250743993
